         MJD         m       dm  uJy  duJy F  err  chi/N        RA      Dec        x        y  maj  min   phi  apfit  mag5sig   Sky            Obs     Mask   duJy_new
57396.587948 19.038793      NaN   27    20 c    0   0.90 210.91068 54.31167  7750.35  2256.65 3.99 3.60   7.9 -0.427    19.59 21.57 02a57396o0607c   524288  25.249893
57396.598947 19.510313      NaN  -18    19 c    0   1.01 210.91068 54.31167  7463.99  1683.68 4.10 3.60   5.1 -0.444    19.60 21.58 02a57396o0625c   524288  24.465427
57396.614233 18.786693      NaN   -3    37 c    0   0.86 210.91068 54.31167  8277.58  2827.67 3.80 3.60  20.2 -0.418    19.60 21.56 02a57396o0650c   524288  40.081880
57396.627717 18.729535      NaN  -63    39 c    0   1.03 210.91068 54.31167  8540.03  1066.35 4.33 3.66  11.1 -0.431    19.59 21.57 02a57396o0672c   524288  41.935154
57424.598946 19.401649      NaN    8    18 c    0   1.02 210.91068 54.31167  8248.88  1582.52 4.32 3.76  10.3 -0.440    19.70 21.79 02a57424o0633c        0  23.697196
57424.604067 19.454622      NaN    2    19 c    0   0.98 210.91068 54.31167  8512.84  2152.58 4.25 3.83  15.2 -0.423    19.68 21.79 02a57424o0641c        0  24.465427
57424.621336 19.569016      NaN   -3    18 c    0   0.83 210.91068 54.31167  7357.55  2770.18 4.01 3.71   9.8 -0.415    19.70 21.79 02a57424o0667c   524288  23.697196
57424.633626 19.569016      NaN   -7    18 c    0   0.98 210.91068 54.31167  7280.50  2864.02 3.96 3.67  11.4 -0.418    19.70 21.79 02a57424o0685c        0  23.697196
57448.521048 19.212347      NaN   -4    25 c    0   0.96 210.91068 54.31167  7915.51  1773.42 4.00 3.65  14.9 -0.450    19.26 20.81 02a57448o0458c        0  29.369323
57448.543577 19.002397      NaN   24    22 c    0   1.05 210.91068 54.31167  8207.46  2353.72 3.94 3.73  23.0 -0.440    19.21 20.77 02a57448o0497c   524288  26.861815
57448.565924 19.302877      NaN  -37    23 c    0   0.99 210.91068 54.31167  7066.72  2975.91 4.38 3.91  -1.2 -0.388    19.09 20.75 02a57448o0536c        0  27.686768
57448.596475 19.063754      NaN   19    22 c    0   1.01 210.91068 54.31167  3361.43  7822.18 3.87 3.61 -70.4 -0.422    19.20 20.80 02a57448o0592c        0  26.861815
57449.515332 19.351140      NaN  -28    22 c    0   0.98 210.91068 54.31167  8152.24  1724.05 4.04 3.63  15.4 -0.462    19.45 21.19 02a57449o0610c        0  26.861815
57449.538360 18.878500      NaN   47    18 c    0   1.05 210.91068 54.31167  8450.60  2301.89 3.82 3.59  30.5 -0.456    19.42 21.11 02a57449o0650c        0  23.697196
57449.558557 19.212347      NaN   17    19 c    0   1.24 210.91068 54.31167  7310.12  2929.49 3.78 3.62  14.9 -0.427    19.39 21.07 02a57449o0688c        0  24.465427
