         MJD         m       dm     uJy   duJy F  err    chi/N        RA      Dec        x        y  maj  min   phi  apfit  mag5sig   Sky            Obs     Mask      duJy_new
57233.262703 18.255804      NaN      17     53 o    0     1.82 210.91068 54.31167  2829.20  8517.83 3.57 3.45 -66.1 -0.436    18.44 19.38 02a57233o0013o     8192     56.719897
57233.282702 17.972330      NaN      32     66 o    0     1.10 210.91068 54.31167  2814.94  8526.47 3.53 3.35 -63.5 -0.453    18.41 19.29 02a57233o0029o   532480     69.022799
57365.645360 18.944322      NaN      -8     32 o    0     0.88 210.91068 54.31167  7592.31  2250.84 4.37 3.89   4.6 -0.435    18.89 20.47 02a57365o0696o     8192     37.843715
57365.663252 18.396507      NaN    -109     53 o    0     1.19 210.91068 54.31167  7336.53  1681.09 4.13 3.57   3.5 -0.484    18.19 18.98 02a57365o0723o     8192     56.719897
57386.594331 18.878500      NaN     -10     34 o    0     0.89 210.91068 54.31167  7590.10  2247.14 3.85 3.33  10.8 -0.515    18.84 20.09 02a57386o0639o        0     39.549295
57386.602983 19.051202      NaN     -27     29 o    0     1.40 210.91068 54.31167  7319.65  1672.34 4.12 3.41   6.1 -0.512    18.83 20.09 02a57386o0653o        0     35.343270
57386.614803 18.857417      NaN       0     33 o    0     1.16 210.91068 54.31167  8152.43  2815.99 3.84 3.55  21.8 -0.476    18.88 20.21 02a57386o0669o        0     38.692981
57386.624437 18.496580      NaN      32     36 o    0     0.95 210.91068 54.31167  8435.19  1052.98 4.33 3.39  13.3 -0.526    18.93 20.24 02a57386o0683o   524288     41.281312
57387.583683 19.089302      NaN      -9     28 o    0     1.14 210.91068 54.31167  7593.03  2245.07 3.69 3.44   6.8 -0.483    18.92 19.99 02a57387o0634o   524288     34.527478
57387.591656 19.089302      NaN     -78     28 o    0     0.89 210.91068 54.31167  7322.67  1668.87 3.91 3.43   2.3 -0.498    18.95 20.02 02a57387o0647o   524288     34.527478
57387.605357 18.836735      NaN      -4     35 o    0     1.13 210.91068 54.31167  8153.58  2811.64 3.58 3.45  28.9 -0.475    18.97 20.08 02a57387o0661o        0     40.412210
57387.612122 18.459772      NaN      37     36 o    0     0.94 210.91068 54.31167  8436.44  1047.39 4.02 3.42   9.9 -0.516    19.01 20.11 02a57387o0672o        0     41.281312
57409.597826 18.317510      NaN     -10     57 o    0     1.02 210.91068 54.31167  8172.60  1665.41 3.87 3.50  12.4 -0.489    18.59 19.61 02a57409o0642o  4194560     60.474348
57409.623123 18.649074      NaN     -56     42 o    0     0.99 210.91068 54.31167  8460.89  2249.53 3.53 3.41  32.7 -0.505    18.69 19.72 02a57409o0679o        0     46.606295
57409.630689 18.693037      NaN      11     35 o    0     0.97 210.91068 54.31167  7628.53  1108.98 3.82 3.36   5.0 -0.513    18.73 19.78 02a57409o0690o        0     40.412210
57409.635100 19.051202      NaN     -24     29 o    0     1.05 210.91068 54.31167  7320.24  2873.57 3.50 3.41  25.2 -0.458    18.75 19.82 02a57409o0697o        0     35.343270
57414.610678 18.978793      NaN     -39     31 o    0     1.35 210.91068 54.31167  8099.23  1932.79 3.87 3.44  11.8 -0.492    18.77 19.88 02a57414o0661o        0     37.001983
57414.627553 18.806434      NaN       2     34 o    0     1.00 210.91068 54.31167  8386.83  2512.08 3.68 3.48  23.9 -0.478    18.77 19.88 02a57414o0687o        0     39.549295
57414.645156 18.738855      NaN      21     30 o    0     0.99 210.91068 54.31167  7253.73  3132.97 3.52 3.40  20.8 -0.458    18.78 19.88 02a57414o0714o   524288     36.168311
57414.661382 18.978793      NaN       4     28 o    0     1.18 210.91068 54.31167  7326.33  2884.59 3.55 3.35  18.6 -0.468    18.77 19.85 02a57414o0740o        0     34.527478
57418.601312 18.631975      NaN      51     24 o    0     1.09 210.91068 54.31167  8268.32  1954.84 3.77 3.48  14.8 -0.480    19.19 20.72 02a57418o0642o   524288     31.371113
57418.622559 19.256669      NaN      -7     24 o    0     1.19 210.91068 54.31167  8548.64  2531.72 3.76 3.63  37.8 -0.450    19.14 20.72 02a57418o0674o   524288     31.371113
57418.640915 19.226921      NaN       3     22 o    0     0.92 210.91068 54.31167  7433.25  3155.94 3.55 3.48  25.9 -0.437    19.18 20.73 02a57418o0701o        0     29.868826
57418.657638 19.169763      NaN     -10     26 o    0     1.01 210.91068 54.31167  7336.44  2890.61 3.90 3.75  18.7 -0.420    19.06 20.63 02a57418o0727o   524288     32.926384
57419.602717 19.142275      NaN       0     25 o    0     0.86 210.91068 54.31167  7963.52  1399.08 4.13 3.58   7.2 -0.478    19.30 21.02 02a57419o0615o  4194560     32.142600
57419.622718 19.256669      NaN      -5     24 o    0     0.94 210.91068 54.31167  8244.59  1982.22 3.84 3.51  15.8 -0.479    19.33 21.02 02a57419o0644o        0     31.371113
57419.638318 19.026525      NaN      21     21 o    0     0.83 210.91068 54.31167  7120.87  2598.05 3.78 3.54  10.0 -0.445    19.30 21.20 02a57419o0668o        0     29.140123
57419.655984 19.026525      NaN      18     22 o    0     1.10 210.91068 54.31167  7339.54  2887.06 3.78 3.61  14.2 -0.433    19.30 21.01 02a57419o0695o   524288     29.868826
57440.518111 18.376212      NaN     -95     54 o    0     1.14 210.91068 54.31167  8344.49  1383.67 4.29 3.46  13.2 -0.540    18.27 18.98 02a57440o0547o   524288     57.655414
57440.529939 18.438271      NaN       4     48 o    0     1.31 210.91068 54.31167  8630.51  1960.82 3.98 3.44  21.7 -0.545    18.27 18.97 02a57440o0569o        0     52.078275
57440.551953 18.142010      NaN      64     44 o    0     1.26 210.91068 54.31167  7499.46  2593.33 3.88 3.45  12.7 -0.499    18.29 19.00 02a57440o0611o        0     48.416389
57440.562821 18.550302      NaN     -19     46 o    0     0.98 210.91068 54.31167  7287.87  2874.30 3.77 3.43  11.5 -0.496    18.30 19.02 02a57440o0632o        0     50.240887
57441.518643 18.000411      NaN      68     52 o    0     1.01 210.91068 54.31167  8126.25  1783.36 3.98 3.40  15.0 -0.534    18.23 18.89 02a57441o0557o        0     55.786618
57441.526896 18.039019      NaN      36     60 o    0     0.77 210.91068 54.31167  8411.24  2358.09 3.78 3.38  24.7 -0.522    18.25 18.92 02a57441o0573o        0     63.309926
57441.531928 18.598565      NaN     -21     44 o    0     1.10 210.91068 54.31167  7286.86  2977.32 3.57 3.38  12.7 -0.491    18.26 18.93 02a57441o0583o        0     48.416389
57441.552276 18.550302      NaN     -13     46 o    0     1.11 210.91068 54.31167  7288.68  2868.22 3.65 3.40  15.7 -0.483    18.27 18.94 02a57441o0622o        0     50.240887
57466.479054 18.232071      NaN      69     37 o    0     1.19 210.91068 54.31167  8199.94  1468.79 4.59 3.60  16.4 -0.539    18.73 19.97 02a57466o0545o        0     42.156218
57466.500550 18.816441      NaN     -31     36 o    0     1.04 210.91068 54.31167  8498.71  2042.97 4.14 3.61  26.0 -0.544    18.77 20.03 02a57466o0585o   524288     41.281312
57466.521973 18.978793      NaN     -12     31 o    0     1.03 210.91068 54.31167  7383.97  2669.21 3.84 3.39  11.7 -0.514    18.81 20.05 02a57466o0625o   524288     37.001983
57466.532670 18.702047      NaN      31     28 o    0     1.23 210.91068 54.31167  7289.60  2867.07 3.85 3.43   9.9 -0.514    18.82 20.07 02a57466o0647o        0     34.527478
57470.480982 15.967763      NaN     542    314 o    0     1.00 210.91068 54.31167  7279.15  2861.02 3.95 3.64  10.7 -0.488    16.46 16.46 02a57470o0553o 12584962    314.649244
57474.485989 18.169360      NaN      71     40 o    0     1.01 210.91068 54.31167  8154.37  1695.35 4.25 3.41  13.4 -0.525    18.71 19.95 02a57474o0492o   524288     44.812350
57474.506959 18.878500      NaN     -13     34 o    0     1.26 210.91068 54.31167  2193.24  8421.30 4.02 3.43 -65.5 -0.490    18.70 19.95 02a57474o0529o        0     39.549295
57474.528572 19.051202      NaN     -38     29 o    0     1.25 210.91068 54.31167  3307.94  7800.63 3.70 3.23 -71.2 -0.491    18.72 19.91 02a57474o0566o        0     35.343270
57474.543901 18.767304      NaN      21     29 o    0     1.47 210.91068 54.31167  3332.20  7825.43 3.81 3.26 -70.0 -0.508    18.69 19.92 02a57474o0592o   524288     35.343270
57492.402356 18.910912      NaN      10     28 o    0     1.17 210.91068 54.31167  8214.76  1755.95 4.08 3.65  24.4 -0.505    19.02 20.45 02a57492o0382o        0     34.527478
57492.415099 19.169763      NaN     -14     26 o    0     0.96 210.91068 54.31167  8499.90  2324.60 3.81 3.54  35.7 -0.502    19.10 20.55 02a57492o0405o   524288     32.926384
57492.430506 19.351140      NaN     -12     22 o    0     1.26 210.91068 54.31167  7361.84  2952.89 3.67 3.53  30.8 -0.475    19.11 20.59 02a57492o0433o   524288     29.868826
57492.449596 18.900000      NaN      29     22 o    0     1.34 210.91068 54.31167  7283.90  2857.83 3.74 3.58  19.6 -0.458    19.13 20.66 02a57492o0472o        0     29.868826
57523.355574 18.910912      NaN     -51     33 o    0     0.96 210.91068 54.31167  6168.34  1386.34 4.31 3.45   1.7 -0.534    18.86 20.17 02a57523o0219o   524288     38.692981
57523.364398 18.255804      NaN      80     32 o    0     0.91 210.91068 54.31167  4311.87  9112.49 3.88 3.60 -78.5 -0.470    18.84 20.22 02a57523o0237o        0     37.843715
57523.381095 18.738855      NaN      24     29 o    0     1.08 210.91068 54.31167  4375.04  9194.59 3.84 3.59 -75.7 -0.464    18.84 20.19 02a57523o0271o        0     35.343270
57523.387699 18.816441      NaN       7     32 o    0     1.00 210.91068 54.31167  4399.54  9079.80 3.94 3.65 -75.4 -0.455    18.81 20.18 02a57523o0284o        0     37.843715
57523.409491 18.748255      NaN      20     30 o    0     1.15 210.91068 54.31167  4356.69  9140.05 3.83 3.53 -77.7 -0.473    18.80 20.13 02a57523o0325o        0     36.168311
57527.358027 18.376212      NaN      28     43 o    0     1.00 210.91068 54.31167  2663.15  9386.88 4.15 3.76 -55.2 -0.471    18.46 19.51 02a57527o0104o   524288     47.509438
57527.369297 18.445391      NaN      12     45 o    0     1.10 210.91068 54.31167  2648.83  9351.28 4.31 3.88 -46.6 -0.459    18.41 19.50 02a57527o0126o        0     49.326937
57527.371716 18.598565      NaN     -14     44 o    0     1.03 210.91068 54.31167  2707.51  9430.35 4.06 3.66 -56.9 -0.480    18.46 19.48 02a57527o0131o        0     48.416389
57527.394983 18.382935      NaN      24     44 o    0     1.20 210.91068 54.31167  2728.63  9315.28 4.33 3.86 -63.3 -0.461    18.38 19.45 02a57527o0177o   524288     48.416389
57527.405379 18.232071      NaN      33     49 o    0     0.83 210.91068 54.31167  2697.99  9374.72 4.33 3.86 -61.2 -0.456    18.37 19.43 02a57527o0198o   524288     53.001384
57535.336981 15.120960      NaN    1422    607 o    0     0.93 210.91068 54.31167  2452.60  8207.14 3.91 3.44 -66.3 -0.480    15.47 16.84 02a57535o0225o  4196354    607.336107
57535.346198 17.063000      NaN     118    140 o    0     0.73 210.91068 54.31167  2440.92  8166.20 3.83 3.37 -66.1 -0.484    17.61 19.09 02a57535o0244o   524288    141.450156
57535.363162 17.696393      NaN      70     76 o    0     0.70 210.91068 54.31167  2500.38  8241.45 3.85 3.45 -67.2 -0.476    18.26 19.82 02a57535o0278o        0     78.639346
57535.369944 18.910912      NaN     -20     33 o    0     0.95 210.91068 54.31167  2514.42  8124.54 3.84 3.44 -65.9 -0.459    18.86 20.44 02a57535o0292o        0     38.692981
57535.380630 18.878500      NaN      25     24 o    0     1.26 210.91068 54.31167  2480.08  8191.36 3.84 3.47 -62.5 -0.454    19.07 20.70 02a57535o0313o        0     31.371113
57568.311481 19.169763      NaN     -25     26 o    0     1.10 210.91068 54.31167  2677.76  7882.29 3.89 3.50 -65.9 -0.471    19.04 20.65 02a57568o0155o   524288     32.926384
57568.321807 19.169763      NaN     -28     26 o    0     0.95 210.91068 54.31167  2666.00  7840.09 3.77 3.41 -65.7 -0.475    19.08 20.69 02a57568o0176o  4194560     32.926384
57568.337986 18.369531      NaN      68     30 o    0     0.96 210.91068 54.31167  2721.91  7914.46 3.85 3.46 -62.6 -0.470    19.09 20.74 02a57568o0209o   524288     36.168311
57568.343307 18.955691      NaN      15     25 o    0     1.08 210.91068 54.31167  2733.52  7796.47 3.78 3.38 -67.0 -0.460    19.12 20.79 02a57568o0220o        0     32.142600
57568.356106 19.256669      NaN     -14     24 o    0     1.00 210.91068 54.31167  2700.42  7856.25 3.76 3.39 -64.4 -0.463    19.13 20.81 02a57568o0246o   524288     31.371113
57589.280444 18.191747      NaN     -32     64 o    0     0.97 210.91068 54.31167  2879.86  9838.05 3.78 3.57 -43.7 -0.496    18.28 19.15 02a57589o0116o     8192     67.112940
57589.288075 21.202047      NaN     -39      4 o    0 60900.81 210.91068 54.31167  1696.06    31.97 5.07 3.13  -8.4 -0.495    18.20 19.05 02a57589o0131o  4196353     20.594823
57589.293601 18.063866      NaN     -32     72 o    0     0.96 210.91068 54.31167  2855.74  9798.19 3.80 3.56 -47.9 -0.507    18.19 19.03 02a57589o0142o     8192     74.780658
57598.263361 19.102305      NaN       0     26 o    0     1.19 210.91068 54.31167  3935.91  8874.88 4.11 3.89 -68.6 -0.436    19.08 20.79 02a57598o0056o   524288     32.926384
57598.273753 19.212347      NaN     -11     25 o    0     1.12 210.91068 54.31167  3911.82  8835.20 4.32 3.97 -67.5 -0.422    19.06 20.87 02a57598o0077o        0     32.142600
57598.286435 19.169763      NaN     -19     26 o    0     0.96 210.91068 54.31167  3966.58  8911.38 4.27 3.92 -69.0 -0.436    19.06 20.87 02a57598o0103o   524288     32.926384
57598.302465 19.076453      NaN      -4     28 o    0     1.17 210.91068 54.31167  3989.52  8789.50 4.60 4.18 -71.4 -0.416    18.98 20.86 02a57598o0136o   524288     34.527478
57598.311407 19.014394      NaN     -12     30 o    0     0.89 210.91068 54.31167  3956.53  8849.78 4.57 4.14 -69.5 -0.450    18.96 20.84 02a57598o0154o   524288     36.168311
57613.253769 18.606822      NaN      15     37 o    0     1.34 210.91068 54.31167  2767.49  8671.52 3.66 3.62  54.5 -0.444    18.68 20.28 02a57613o0050o   524288     42.156218
57613.267021 18.445391      NaN      21     42 o    0     0.83 210.91068 54.31167  1650.70  8675.97 3.77 3.73 -75.9 -0.456    18.65 20.29 02a57613o0075o  4194560     46.606295
57613.286519 18.452558 0.294803     146     41 o    0     0.94 210.91068 54.31167  1702.36  8748.53 3.80 3.67 -55.8 -0.451    18.59 20.15 02a57613o0111o   528384     45.707185
57613.295862 18.702047      NaN     -45     40 o    0     1.13 210.91068 54.31167  1724.45  8627.79 3.71 3.55 -53.0 -0.467    18.58 20.10 02a57613o0129o        0     44.812350
57613.300693 18.675237      NaN     -19     41 o    0     1.38 210.91068 54.31167  1688.40  8687.51 3.62 3.45 -57.5 -0.469    18.58 20.04 02a57613o0138o        0     45.707185
57617.259169 17.664614      NaN      -8    104 o    0     0.95 210.91068 54.31167 10268.16  8532.42 4.92 3.21  87.7 -0.484    18.31 19.62 02a57617o0071o        0    105.944074
57617.268637 17.233705      NaN     159    100 o    0     1.06 210.91068 54.31167 10242.54  8490.64 4.95 3.22  87.5 -0.493    18.29 19.58 02a57617o0089o        0    102.020325
57617.277966 17.740268      NaN     -56     97 o    0     0.96 210.91068 54.31167  1063.93  8438.02 4.05 3.29 -57.2 -0.518    18.16 19.35 02a57617o0107o        0     99.081516
57617.285399 17.422338      NaN      49    112 o    0     1.13 210.91068 54.31167 10297.83  8571.00 5.18 3.22  87.8 -0.478    18.23 19.49 02a57617o0121o        0    113.807499
57617.296271 17.264559      NaN      95    117 o    0     1.12 210.91068 54.31167 10318.71  8453.99 5.22 3.26  86.9 -0.447    18.20 19.42 02a57617o0142o        0    118.731406
57617.300548 17.208266      NaN     113    119 o    0     1.05 210.91068 54.31167 10272.26  8508.67 5.28 3.28  89.7 -0.512    18.18 19.42 02a57617o0150o        0    120.702721
57620.277061 16.834813      NaN      59    202 o    0     0.17 210.91068 54.31167 10462.19  9014.22 4.76 3.43  85.9 -0.512    18.50 19.93 02a57620o0085o  4194562    203.007750
57620.286887 18.094452      NaN     -53     70 o    0     1.14 210.91068 54.31167 10435.37  8974.38 4.92 3.51  85.3 -0.518    18.39 19.81 02a57620o0103o     8192     72.857029
57620.299398 16.593186      NaN     -31    279 o    0     0.20 210.91068 54.31167 10490.27  9056.70 5.15 3.64  87.0 -0.503    18.30 19.68 02a57620o0127o  4196354    279.730489
57762.575567 18.816441      NaN      19     28 o    0     1.15 210.91068 54.31167  6048.77  2441.70 3.59 3.51 -75.7 -0.429    18.96 20.19 02a57762o0748o   524288     34.527478
57762.587569 19.351140      NaN     -35     22 o    0     1.07 210.91068 54.31167  6069.49  2483.35 3.55 3.41 -81.7 -0.435    19.22 20.65 02a57762o0770o   524288     29.868826
57762.598663 19.287255      NaN       5     20 o    0     0.83 210.91068 54.31167  6014.30  2407.70 3.56 3.44 -76.2 -0.433    19.50 21.20 02a57762o0791o   524288     28.427922
57762.609868 19.401649      NaN       1     19 o    0     1.11 210.91068 54.31167  5989.79  2525.15 3.53 3.41 -83.8 -0.432    19.58 21.35 02a57762o0812o        0     27.733495
57762.621499 19.569016      NaN     -36     18 o    0     0.86 210.91068 54.31167  6034.00  2467.39 3.59 3.46 -82.9 -0.429    19.55 21.33 02a57762o0834o        0     27.058210
57766.588053 18.649074      NaN     -17     42 o    0     1.13 210.91068 54.31167  8267.92  2312.91 3.54 3.21  87.7 -0.479    18.50 19.21 02a57766o0718o   524288     46.606295
57766.600816 18.220396      NaN      56     42 o    0     1.06 210.91068 54.31167  8279.18  2354.83 3.55 3.17  89.2 -0.478    18.53 19.25 02a57766o0741o   524288     46.606295
57766.614587 18.317510      NaN      37     43 o    0     0.96 210.91068 54.31167  8224.13  2280.93 3.55 3.25  85.3 -0.471    18.54 19.28 02a57766o0765o   524288     47.509438
57766.628115 18.286218      NaN      54     39 o    0     1.10 210.91068 54.31167  8209.47  2400.09 3.61 3.29  86.6 -0.468    18.55 19.32 02a57766o0789o        0     43.922053
