         MJD         m       dm      uJy    duJy   F  err    chi/N        RA      Dec        x        y  maj  min   phi  apfit  mag5sig   Sky            Obs   __tmp_SN     Mask
57233.262703 18.220396      NaN      5.0    61.0   o  0.0     1.10 210.92687 54.31167  2810.83  8518.43 3.57 3.45 -66.0 -0.436    18.44 19.38 02a57233o0013o   0.065574     8192
57233.282702 18.089294      NaN     23.0    63.0   o  0.0     1.07 210.92687 54.31167  2796.57  8527.07 3.53 3.35 -63.4 -0.452    18.41 19.29 02a57233o0029o   0.349206   532480
57365.645360 18.806434      NaN     20.0    30.0   o  0.0     0.85 210.92687 54.31167  7610.65  2250.29 4.37 3.89   4.7 -0.435    18.89 20.47 02a57365o0696o   0.633333     8192
57365.663252 18.459772      NaN    -56.0    50.0   o  0.0     1.53 210.92687 54.31167  7354.88  1680.59 4.13 3.57   3.6 -0.484    18.19 18.98 02a57365o0723o  -1.140000     8192
57386.594331 18.574166      NaN     28.0    36.0   o  0.0     0.74 210.92687 54.31167  7608.45  2246.58 3.85 3.33  11.0 -0.515    18.84 20.09 02a57386o0639o   0.750000        0
57386.602983 18.944322      NaN     -3.0    32.0   o  0.0     1.11 210.92687 54.31167  7338.00  1671.85 4.12 3.41   6.3 -0.513    18.83 20.09 02a57386o0653o  -0.125000        0
57386.614803 18.615142      NaN     32.0    33.0   o  0.0     0.94 210.92687 54.31167  8170.79  2815.31 3.84 3.55  22.1 -0.476    18.88 20.21 02a57386o0669o   0.939394        0
57386.624437 18.438271      NaN     37.0    39.0   o  0.0     0.86 210.92687 54.31167  8453.63  1052.19 4.33 3.39  13.5 -0.526    18.93 20.24 02a57386o0683o   0.923077   524288
57387.583683 18.657725      NaN     36.0    30.0   o  0.0     1.02 210.92687 54.31167  7611.37  2244.52 3.69 3.44   7.1 -0.483    18.92 19.99 02a57387o0634o   1.166667   524288
57387.591656 19.051202      NaN    -13.0    29.0   o  0.0     0.93 210.92687 54.31167  7341.01  1668.37 3.91 3.43   2.4 -0.498    18.95 20.02 02a57387o0647o  -0.482759   524288
57387.605357 18.786693      NaN    -13.0    37.0   o  0.0     0.85 210.92687 54.31167  8171.95  2810.96 3.58 3.45  29.3 -0.476    18.97 20.08 02a57387o0661o  -0.378378        0
57387.612122 18.169360      NaN     83.0    38.0   o  0.0     0.85 210.92687 54.31167  8454.87  1046.60 4.02 3.42  10.1 -0.517    19.01 20.11 02a57387o0672o   2.157895        0
57409.597826 17.963129      NaN     76.0    54.0   o  0.0     1.28 210.92687 54.31167  8190.99  1664.71 3.87 3.50  12.6 -0.489    18.59 19.61 02a57409o0642o   1.388889  4194560
57409.623123 18.186107      NaN     47.0    49.0   o  0.0     0.83 210.92687 54.31167  8479.29  2248.78 3.53 3.41  33.2 -0.505    18.69 19.72 02a57409o0679o   0.938776        0
57409.630689 18.776955      NaN      5.0    36.0   o  0.0     0.90 210.92687 54.31167  7646.92  1108.42 3.81 3.36   5.1 -0.513    18.73 19.78 02a57409o0690o   0.111111        0
57409.635100 19.169763      NaN    -34.0    26.0   o  0.0     1.11 210.92687 54.31167  7338.56  2873.12 3.50 3.41  25.8 -0.459    18.75 19.82 02a57409o0697o  -1.346154        0
57414.610678 18.534680      NaN     21.0    40.0   o  0.0     0.67 210.92687 54.31167  8117.61  1932.12 3.86 3.44  11.9 -0.493    18.77 19.88 02a57414o0661o   0.500000        0
57414.627553 18.657725      NaN     21.0    35.0   o  0.0     0.77 210.92687 54.31167  8405.22  2511.35 3.68 3.48  24.2 -0.478    18.77 19.88 02a57414o0687o   0.571429        0
57414.645156 19.089302      NaN    -22.0    28.0   o  0.0     1.24 210.92687 54.31167  7272.05  3132.54 3.51 3.40  21.3 -0.458    18.78 19.88 02a57414o0714o  -0.821429   524288
57414.661382 18.702047      NaN     37.0    28.0   o  0.0     1.28 210.92687 54.31167  7344.65  2884.14 3.55 3.35  18.9 -0.468    18.77 19.85 02a57414o0740o   1.285714        0
57418.601312 19.212347      NaN    -37.0    25.0   o  0.0     0.79 210.92687 54.31167  8286.72  1954.13 3.77 3.48  15.0 -0.480    19.19 20.72 02a57418o0642o  -1.520000   524288
57418.622559 19.102305      NaN      3.0    27.0   o  0.0     0.77 210.92687 54.31167  8567.04  2530.95 3.76 3.63  38.2 -0.450    19.14 20.72 02a57418o0674o   0.074074   524288
57418.640915 19.401649      NaN     -5.0    21.0   o  0.0     1.11 210.92687 54.31167  7451.58  3155.47 3.55 3.48  26.6 -0.437    19.18 20.73 02a57418o0701o  -0.285714        0
57418.657638 18.955691      NaN     30.0    22.0   o  0.0     0.86 210.92687 54.31167  7354.77  2890.15 3.90 3.75  19.0 -0.420    19.06 20.63 02a57418o0727o   1.318182   524288
57419.602717 19.212347      NaN    -31.0    25.0   o  0.0     0.83 210.92687 54.31167  7981.91  1398.43 4.12 3.58   7.3 -0.478    19.30 21.02 02a57419o0615o  -1.280000  4194560
57419.622718 19.115465      NaN     20.0    21.0   o  0.0     1.15 210.92687 54.31167  8262.99  1981.52 3.84 3.51  16.0 -0.480    19.33 21.02 02a57419o0644o   0.904762        0
57419.638318 19.401649      NaN      0.0    21.0   o  0.0     1.09 210.92687 54.31167  7139.19  2597.65 3.78 3.54  10.2 -0.446    19.30 21.20 02a57419o0668o  -0.047619        0
57419.655984 19.401649      NaN     -6.0    21.0   o  0.0     0.88 210.92687 54.31167  7357.87  2886.61 3.78 3.61  14.4 -0.433    19.30 21.01 02a57419o0695o  -0.333333   524288
57440.518111 18.273950      NaN     14.0    55.0   o  0.0     1.05 210.92687 54.31167  8362.91  1382.91 4.30 3.46  13.4 -0.540    18.27 18.98 02a57440o0547o   0.236364   524288
57440.529939 18.292405      NaN     20.0    52.0   o  0.0     1.13 210.92687 54.31167  8648.93  1960.00 3.98 3.44  21.9 -0.545    18.27 18.97 02a57440o0569o   0.365385        0
57440.551953 18.459772      NaN   -112.0    50.0   o  0.0     0.89 210.92687 54.31167  7517.80  2592.81 3.88 3.45  12.9 -0.499    18.29 19.00 02a57440o0611o  -2.260000        0
57440.562821 18.323878      NaN     24.0    49.0   o  0.0     0.76 210.92687 54.31167  7306.19  2873.85 3.77 3.43  11.8 -0.496    18.30 19.02 02a57440o0632o   0.469388        0
57441.518643 18.376212      NaN    -34.0    54.0   o  0.0     1.08 210.92687 54.31167  8144.64  1782.67 3.98 3.40  15.2 -0.534    18.23 18.89 02a57441o0557o  -0.648148        0
57441.526896 18.459772      NaN    -29.0    50.0   o  0.0     1.03 210.92687 54.31167  8429.64  2357.34 3.79 3.38  25.0 -0.523    18.25 18.92 02a57441o0573o  -0.600000        0
57441.531928 18.163834      NaN     54.0    48.0   o  0.0     0.90 210.92687 54.31167  7305.18  2976.86 3.57 3.39  13.2 -0.491    18.26 18.93 02a57441o0583o   1.104167        0
57441.552276 18.459772      NaN    -73.0    50.0   o  0.0     0.86 210.92687 54.31167  7307.00  2867.77 3.65 3.40  16.0 -0.483    18.27 18.94 02a57441o0622o  -1.480000        0
57466.479054 18.606822      NaN      9.0    41.0   o  0.0     1.00 210.92687 54.31167  8218.34  1468.07 4.59 3.60  16.5 -0.540    18.73 19.97 02a57466o0545o   0.195122        0
57466.500550 18.389700      NaN     41.0    40.0   o  0.0     0.80 210.92687 54.31167  8517.12  2042.20 4.14 3.61  26.3 -0.544    18.77 20.03 02a57466o0585o   1.000000   524288
