         MJD         m       dm  uJy  duJy F  err  chi/N        RA      Dec        x        y  maj  min   phi  apfit  mag5sig   Sky            Obs  __tmp_SN     Mask
57396.587948 19.549093      NaN   -7    17 c    0   2.34 210.92564 54.31529  7767.12  2249.07 3.99 3.60   8.0 -0.427    19.59 21.57 02a57396o0607c  0.235294   524288
57396.598947 19.128787      NaN   13    19 c    0   1.99 210.92564 54.31529  7480.80  1676.14 4.10 3.60   5.2 -0.444    19.60 21.58 02a57396o0625c  1.263158   524288
57396.614233 18.729535      NaN    1    35 c    0   1.51 210.92564 54.31529  8294.33  2819.99 3.80 3.60  20.4 -0.418    19.60 21.56 02a57396o0650c  0.342857   524288
57396.627717 17.949472      NaN  106    41 c    0   1.47 210.92564 54.31529  8556.84  1058.51 4.33 3.66  11.2 -0.431    19.59 21.57 02a57396o0672c  2.853659   524288
57424.598946 19.038793      NaN   26    17 c    0   1.91 210.92564 54.31529  8265.68  1574.79 4.32 3.76  10.4 -0.440    19.70 21.79 02a57424o0633c  2.176471        0
57424.604067 19.631075      NaN  -19    17 c    0   1.90 210.92564 54.31529  8529.61  2144.83 4.25 3.83  15.3 -0.423    19.68 21.79 02a57424o0641c -0.470588        0
57424.621336 19.026525      NaN   27    17 c    0   2.20 210.92564 54.31529  7374.34  2762.72 4.01 3.71  10.0 -0.415    19.70 21.79 02a57424o0667c  2.235294   524288
57424.633626 19.115465      NaN   23    16 c    0   1.46 210.92564 54.31529  7297.29  2856.59 3.97 3.67  11.5 -0.418    19.70 21.79 02a57424o0685c  2.125000        0
57448.521048 18.910912      NaN   16    24 c    0   1.23 210.92564 54.31529  7932.30  1765.78 4.00 3.65  15.1 -0.450    19.26 20.81 02a57448o0458c  1.125000        0
57448.543577 19.351140      NaN  -30    22 c    0   1.48 210.92564 54.31529  8224.23  2346.04 3.94 3.73  23.2 -0.440    19.21 20.77 02a57448o0497c -0.863636   524288
57448.565924 19.302877      NaN  -25    23 c    0   1.25 210.92564 54.31529  7083.51  2968.52 4.38 3.91  -1.1 -0.389    19.09 20.75 02a57448o0536c -0.608696        0
57448.596475 19.197966      NaN   -1    22 c    0   1.88 210.92564 54.31529  3344.65  7829.64 3.87 3.61 -70.3 -0.422    19.20 20.80 02a57448o0592c  0.454545        0
57449.515332 19.271854      NaN    0    20 c    0   1.84 210.92564 54.31529  8169.03  1716.35 4.04 3.63  15.6 -0.462    19.45 21.19 02a57449o0610c  0.550000        0
57449.538360 19.384550      NaN   -7    20 c    0   1.45 210.92564 54.31529  8467.37  2294.15 3.82 3.59  30.6 -0.457    19.42 21.11 02a57449o0650c  0.200000        0
57449.558557 19.569016      NaN  -14    18 c    0   1.72 210.92564 54.31529  7326.90  2922.04 3.78 3.62  15.2 -0.427    19.39 21.07 02a57449o0688c -0.166667        0
57449.570520 19.454622      NaN  -45    20 c    0   1.36 210.92564 54.31529  7308.77  2861.39 3.76 3.57  18.3 -0.439    19.39 21.06 02a57449o0709c -1.700000        0
57458.509881 18.796518      NaN   39    20 c    0   1.38 210.92564 54.31529  8251.56  1568.86 4.32 3.77  15.5 -0.446    19.65 21.70 02a57458o0606c  2.500000   524288
57458.513259 19.271854      NaN    6    18 c    0   1.78 210.92564 54.31529  8537.37  2137.57 4.21 3.91  23.9 -0.426    19.61 21.68 02a57458o0613c  0.944444        0
57458.536888 18.900000      NaN   38    17 c    0   1.63 210.92564 54.31529  7410.40  2763.47 4.12 3.83   2.2 -0.403    19.60 21.68 02a57458o0653c  2.882353  4195328
57458.567769 19.472870      NaN   -3    17 c    0   1.90 210.92564 54.31529  3340.95  7827.55 3.85 3.61 -72.8 -0.421    19.64 21.68 02a57458o0708c  0.470588   524288
57488.426551 19.569016      NaN  -63    18 c    0   1.71 210.92564 54.31529  8383.90  1641.13 4.32 3.81  20.2 -0.478    19.60 21.59 02a57488o0373c -2.888889  8916992
57488.444090 19.472870      NaN   -3    17 c    0   2.18 210.92564 54.31529  8671.24  2197.53 4.18 3.80  29.7 -0.461    19.60 21.61 02a57488o0405c  0.470588  8388608
57488.465855 19.256669 0.301593   61    20 c    0   1.64 210.92564 54.31529  7549.31  2844.72 4.06 3.72  15.8 -0.447    19.57 21.56 02a57488o0444c  3.600000  8916992
57488.475297 19.401649      NaN   -5    19 c    0   2.08 210.92564 54.31529  3326.99  7819.21 3.99 3.61 -64.9 -0.438    19.55 21.54 02a57488o0460c  0.315789  8388608
57512.362600 19.384550      NaN   -7    20 c    0   1.55 210.92564 54.31529  9571.49  2707.64 4.67 4.15  38.4 -0.436    19.51 21.58 02a57512o0305c  0.200000        0
57512.371077 19.063754      NaN   15    20 c    0   1.47 210.92564 54.31529  9594.39  2743.94 4.57 4.08  39.7 -0.441    19.53 21.60 02a57512o0322c  1.300000   524288
57512.373986 18.910912      NaN   28    20 c    0   1.76 210.92564 54.31529   387.54  2633.25 5.06 3.82 -34.1 -0.413    19.58 21.60 02a57512o0328c  1.950000   524288
57512.383392 19.302877      NaN    1    19 c    0   1.71 210.92564 54.31529   407.38  2670.41 5.10 3.92 -33.9 -0.414    19.54 21.60 02a57512o0347c  0.631579        0
57512.386899 19.491430      NaN   -7    18 c    0   1.62 210.92564 54.31529   969.18  7900.79 4.46 3.82 -58.3 -0.428    19.55 21.63 02a57512o0354c  0.222222   524288
57512.388945 19.401649      NaN    1    17 c    0   2.80 210.92564 54.31529   341.53  2593.97 5.15 3.88 -31.4 -0.404    19.57 21.61 02a57512o0358c  0.705882   524288
57512.397027 19.631075      NaN  -11    17 c    0   2.60 210.92564 54.31529   999.66  7781.55 4.39 3.76 -57.8 -0.428    19.55 21.60 02a57512o0374c  0.000000   524288
