         MJD         m       dm     uJy    duJy   F  err  chi/N        RA      Dec        x        y  maj  min   phi  apfit  mag5sig   Sky            Obs   __tmp_SN     Mask
57233.262703 17.935984      NaN    79.0    56.0   o  0.0   2.08 210.92564 54.31529  2812.41  8525.44 3.57 3.45 -65.9 -0.436    18.44 19.38 02a57233o0013o   1.339286     8192
57233.282702 18.191747      NaN  -106.0    64.0   o  0.0   1.40 210.92564 54.31529  2798.15  8534.07 3.53 3.35 -63.3 -0.452    18.41 19.29 02a57233o0029o  -1.718750   532480
57365.645360 18.684100      NaN    36.0    30.0   o  0.0   1.17 210.92564 54.31529  7609.08  2243.29 4.38 3.89   4.7 -0.435    18.89 20.47 02a57365o0696o   1.066667     8192
57365.663252 18.232071      NaN    30.0    53.0   o  0.0   1.23 210.92564 54.31529  7353.33  1673.57 4.14 3.57   3.6 -0.484    18.19 18.98 02a57365o0723o   0.490566     8192
57386.594331 18.574166      NaN    31.0    36.0   o  0.0   1.15 210.92564 54.31529  7606.88  2239.59 3.86 3.33  10.9 -0.516    18.84 20.09 02a57386o0639o   0.750000        0
57386.602983 19.051202      NaN    -6.0    29.0   o  0.0   1.58 210.92564 54.31529  7336.46  1664.83 4.12 3.41   6.3 -0.513    18.83 20.09 02a57386o0653o  -0.344828        0
57386.614803 18.786693      NaN    16.0    33.0   o  0.0   1.08 210.92564 54.31529  8169.18  2808.33 3.84 3.55  21.9 -0.476    18.88 20.21 02a57386o0669o   0.363636        0
57386.624437 18.816441      NaN   -40.0    36.0   o  0.0   1.41 210.92564 54.31529  8452.00  1045.17 4.34 3.39  13.4 -0.526    18.93 20.24 02a57386o0683o  -1.222222   524288
57387.583683 19.089302      NaN   -79.0    28.0   o  0.0   1.47 210.92564 54.31529  7609.80  2237.52 3.69 3.44   7.0 -0.483    18.92 19.99 02a57387o0634o  -2.964286   524288
57387.591656 19.128787      NaN   -59.0    27.0   o  0.0   1.27 210.92564 54.31529  7339.47  1661.35 3.91 3.43   2.4 -0.498    18.95 20.02 02a57387o0647o  -2.333333   524288
57387.605357 18.847027      NaN   -12.0    35.0   o  0.0   1.11 210.92564 54.31529  8170.33  2803.99 3.58 3.45  29.0 -0.476    18.97 20.08 02a57387o0661o  -0.457143        0
57387.612122 18.757738      NaN   -29.0    38.0   o  0.0   0.98 210.92564 54.31529  8453.24  1039.57 4.02 3.42  10.0 -0.517    19.01 20.11 02a57387o0672o  -0.868421        0
57409.597826 18.376212      NaN  -107.0    54.0   o  0.0   1.14 210.92564 54.31529  8189.39  1657.70 3.88 3.50  12.5 -0.489    18.59 19.61 02a57409o0642o  -2.055556  4194560
57409.623123 18.574166      NaN   -13.0    45.0   o  0.0   1.25 210.92564 54.31529  8477.65  2241.79 3.53 3.41  32.8 -0.506    18.69 19.72 02a57409o0679o  -0.377778        0
57409.630689 18.298627      NaN    70.0    36.0   o  0.0   1.17 210.92564 54.31529  7645.37  1101.39 3.82 3.36   5.1 -0.513    18.73 19.78 02a57409o0690o   1.833333        0
57409.635100 19.089302      NaN   -18.0    28.0   o  0.0   1.41 210.92564 54.31529  7337.02  2866.13 3.50 3.41  25.3 -0.459    18.75 19.82 02a57409o0697o  -0.785714        0
57414.610678 18.836735      NaN    14.0    32.0   o  0.0   1.22 210.92564 54.31529  8116.01  1925.12 3.87 3.44  11.9 -0.493    18.77 19.88 02a57414o0661o   0.312500        0
57414.627553 18.944322      NaN   -40.0    32.0   o  0.0   1.11 210.92564 54.31529  8403.59  2504.37 3.68 3.48  24.0 -0.478    18.77 19.88 02a57414o0687o  -1.375000        0
57414.645156 18.767304      NaN    36.0    27.0   o  0.0   1.65 210.92564 54.31529  7270.51  3125.55 3.52 3.40  21.0 -0.458    18.78 19.88 02a57414o0714o   1.185185   524288
57414.661382 18.767304      NaN    36.0    27.0   o  0.0   1.65 210.92564 54.31529  7343.11  2877.15 3.55 3.35  18.7 -0.469    18.77 19.85 02a57414o0740o   1.185185        0
57418.601312 19.142275      NaN    15.0    23.0   o  0.0   1.88 210.92564 54.31529  8285.11  1947.13 3.77 3.48  14.9 -0.480    19.19 20.72 02a57418o0642o   0.478261   524288
57418.622559 19.256669      NaN   -17.0    24.0   o  0.0   1.26 210.92564 54.31529  8565.40  2523.97 3.76 3.63  37.8 -0.450    19.14 20.72 02a57418o0674o  -0.875000   524288
57418.640915 19.351140      NaN     3.0    22.0   o  0.0   1.53 210.92564 54.31529  7450.03  3148.48 3.55 3.48  26.1 -0.437    19.18 20.73 02a57418o0701o  -0.045455        0
57418.657638 19.256669      NaN   -44.0    24.0   o  0.0   1.26 210.92564 54.31529  7353.23  2883.16 3.90 3.75  18.8 -0.420    19.06 20.63 02a57418o0727o  -2.000000   524288
57419.602717 19.351140      NaN    -3.0    22.0   o  0.0   2.12 210.92564 54.31529  7980.33  1391.41 4.13 3.58   7.3 -0.479    19.30 21.02 02a57419o0615o  -0.318182  4194560
57419.622718 19.142275      NaN    15.0    23.0   o  0.0   1.39 210.92564 54.31529  8261.38  1974.52 3.84 3.51  15.9 -0.480    19.33 21.02 02a57419o0644o   0.478261        0
57419.638318 19.351140      NaN    10.0    20.0   o  0.0   1.69 210.92564 54.31529  7137.67  2590.65 3.78 3.54  10.1 -0.446    19.30 21.20 02a57419o0668o   0.300000        0
57419.655984 18.990530      NaN    33.0    21.0   o  0.0   1.69 210.92564 54.31529  7356.33  2879.61 3.78 3.61  14.3 -0.433    19.30 21.01 02a57419o0695o   1.380952   524288
57440.518111 18.073966      NaN    44.0    58.0   o  0.0   1.05 210.92564 54.31529  8361.29  1375.90 4.30 3.46  13.3 -0.540    18.27 18.98 02a57440o0547o   0.689655   524288
57440.529939 18.504094      NaN   -68.0    48.0   o  0.0   1.51 210.92564 54.31529  8647.28  1953.01 3.98 3.44  21.8 -0.545    18.27 18.97 02a57440o0569o  -1.500000        0
57440.551953 18.481707      NaN    -1.0    49.0   o  0.0   1.17 210.92564 54.31529  7516.24  2585.82 3.88 3.45  12.9 -0.499    18.29 19.00 02a57440o0611o  -0.102041        0
57440.562821 18.598565      NaN   -68.0    44.0   o  0.0   1.20 210.92564 54.31529  7304.65  2866.86 3.77 3.43  11.7 -0.496    18.30 19.02 02a57440o0632o  -1.636364        0
57441.518643 18.417189      NaN    -8.0    52.0   o  0.0   1.15 210.92564 54.31529  8143.04  1775.66 3.99 3.40  15.1 -0.534    18.23 18.89 02a57441o0557o  -0.230769        0
57441.526896 18.550302      NaN   -25.0    46.0   o  0.0   1.43 210.92564 54.31529  8428.00  2350.36 3.79 3.38  24.9 -0.523    18.25 18.92 02a57441o0573o  -0.630435        0
57441.531928 18.598565      NaN   -59.0    44.0   o  0.0   1.09 210.92564 54.31529  7303.64  2969.87 3.57 3.38  13.0 -0.491    18.26 18.93 02a57441o0583o  -1.431818        0
57441.552276 18.550302      NaN   -42.0    46.0   o  0.0   1.27 210.92564 54.31529  7305.46  2860.77 3.65 3.40  15.9 -0.483    18.27 18.94 02a57441o0622o  -1.000000        0
57466.479054 18.504094      NaN    22.0    42.0   o  0.0   1.41 210.92564 54.31529  8216.73  1461.06 4.59 3.60  16.5 -0.540    18.73 19.97 02a57466o0545o   0.428571        0
57466.500550 18.847027      NaN     0.0    35.0   o  0.0   1.30 210.92564 54.31529  8515.49  2035.21 4.15 3.61  26.2 -0.544    18.77 20.03 02a57466o0585o  -0.114286   524288
57466.521973 19.051202      NaN   -52.0    29.0   o  0.0   1.34 210.92564 54.31529  7400.75  2661.74 3.85 3.39  11.9 -0.514    18.81 20.05 02a57466o0625o  -1.931034   524288
57466.532670 18.776955      NaN    26.0    30.0   o  0.0   1.51 210.92564 54.31529  7306.38  2859.63 3.85 3.43  10.1 -0.514    18.82 20.07 02a57466o0647o   0.733333        0
57470.480982 15.986147      NaN   493.0   325.0   o  0.0   1.09 210.92564 54.31529  7295.93  2853.58 3.95 3.64  10.9 -0.489    16.46 16.46 02a57470o0553o   1.504615 12584962
57474.485989 18.666446 0.306458   128.0    35.0   o  0.0   1.81 210.92564 54.31529  8171.16  1687.65 4.25 3.41  13.6 -0.526    18.71 19.95 02a57474o0492o   3.542857   524288
57474.506959 18.847027      NaN    -8.0    35.0   o  0.0   1.28 210.92564 54.31529  2176.47  8429.06 4.03 3.43 -65.4 -0.490    18.70 19.95 02a57474o0529o  -0.342857        0
57474.528572 18.534680      NaN    54.0    30.0   o  0.0   1.67 210.92564 54.31529  3291.16  7808.10 3.70 3.23 -71.1 -0.491    18.72 19.91 02a57474o0566o   1.666667        0
57474.543901 18.978793      NaN   -15.0    31.0   o  0.0   1.55 210.92564 54.31529  3315.41  7832.89 3.82 3.26 -69.9 -0.508    18.69 19.92 02a57474o0592o  -0.612903   524288
57492.402356 19.128787      NaN   -52.0    27.0   o  0.0   1.26 210.92564 54.31529  8231.55  1748.24 4.08 3.65  24.6 -0.505    19.02 20.45 02a57492o0382o  -2.074074        0
57492.415099 19.169763      NaN   -35.0    26.0   o  0.0   1.52 210.92564 54.31529  8516.66  2316.84 3.81 3.54  35.8 -0.502    19.10 20.55 02a57492o0405o  -1.500000   524288
57492.430506 19.401649      NaN   -21.0    21.0   o  0.0   2.01 210.92564 54.31529  7378.62  2945.43 3.68 3.53  31.1 -0.475    19.11 20.59 02a57492o0433o  -1.190476   524288
57492.449596 19.115465      NaN    14.0    24.0   o  0.0   1.23 210.92564 54.31529  7300.68  2850.38 3.74 3.58  19.9 -0.459    19.13 20.66 02a57492o0472o   0.416667        0
57523.355574 18.921935      NaN    18.0    28.0   o  0.0   1.84 210.92564 54.31529  6185.22  1379.10 4.31 3.45   1.8 -0.534    18.86 20.17 02a57523o0219o   0.500000   524288
57523.364398 18.910912      NaN   -46.0    33.0   o  0.0   1.25 210.92564 54.31529  4295.00  9119.77 3.89 3.60 -78.3 -0.470    18.84 20.22 02a57523o0237o  -1.515152        0
57523.381095 19.089302      NaN   -16.0    28.0   o  0.0   2.16 210.92564 54.31529  4358.16  9201.86 3.84 3.59 -75.4 -0.464    18.84 20.19 02a57523o0271o  -0.714286        0
57523.387699 18.910912      NaN    19.0    28.0   o  0.0   1.82 210.92564 54.31529  4382.66  9087.06 3.94 3.65 -75.2 -0.455    18.81 20.18 02a57523o0284o   0.535714        0
