         MJD         m       dm     uJy  duJy F  err  chi/N        RA      Dec        x        y  maj  min   phi  apfit  mag5sig   Sky            Obs    __tmp_SN     Mask
57396.587948 19.696897      NaN   -77.0    16 c    0   2.17 210.92213 54.31835  7762.99  2243.24 4.00 3.60   7.9 -0.427    19.59 21.57 02a57396o0607c   -9.375000  8912896
57396.598947 19.510313      NaN  -105.0    19 c    0   1.71 210.92213 54.31835  7476.69  1670.29 4.10 3.60   5.2 -0.444    19.60 21.58 02a57396o0625c   -9.368421  8912896
57396.614233 18.878500      NaN  -130.0    34 c    0   1.41 210.92213 54.31835  8290.15  2814.20 3.80 3.60  20.2 -0.419    19.60 21.56 02a57396o0650c   -5.970588  8912896
57396.627717 18.649074      NaN  -243.0    42 c    0   1.23 210.92213 54.31835  8552.65  1052.70 4.33 3.66  11.2 -0.431    19.59 21.57 02a57396o0672c   -7.523810  8912896
57424.598946 19.510313      NaN   -19.0    19 c    0   1.49 210.92213 54.31835  8261.51  1568.97 4.32 3.76  10.3 -0.440    19.70 21.79 02a57424o0633c   -4.842105        0
57424.604067 19.696897      NaN    16.0    16 c    0   2.32 210.92213 54.31835  8525.42  2139.03 4.25 3.83  15.2 -0.423    19.68 21.79 02a57424o0641c   -3.562500        0
57424.621336 19.569016      NaN   -59.0    18 c    0   1.80 210.92213 54.31835  7370.24  2756.88 4.02 3.71   9.9 -0.416    19.70 21.79 02a57424o0667c   -7.333333   528384
57424.633626 19.766969      NaN    27.0    15 c    0   1.69 210.92213 54.31835  7293.19  2850.75 3.97 3.67  11.4 -0.418    19.70 21.79 02a57424o0685c   -3.066667        0
57448.521048 19.302877      NaN     9.0    23 c    0   1.34 210.92213 54.31835  7928.16  1759.95 4.00 3.65  15.0 -0.450    19.26 20.81 02a57448o0458c   -2.782609        0
57448.543577 18.978793      NaN   100.0    22 c    0   1.83 210.92213 54.31835  8220.06  2340.24 3.94 3.73  23.0 -0.440    19.21 20.77 02a57448o0497c    1.227273   528384
57448.565924 19.401649      NaN    -7.0    21 c    0   1.62 210.92213 54.31835  7079.44  2962.67 4.38 3.91  -1.1 -0.389    19.09 20.75 02a57448o0536c   -3.809524        0
57448.596475 19.302877      NaN     0.0    23 c    0   1.68 210.92213 54.31835  3348.75  7835.48 3.87 3.61 -70.3 -0.422    19.20 20.80 02a57448o0592c   -3.173913        0
57449.515332 19.401649      NaN   -16.0    21 c    0   1.71 210.92213 54.31835  8164.86  1710.53 4.05 3.63  15.5 -0.462    19.45 21.19 02a57449o0610c   -4.238095        0
57449.538360 19.631075      NaN     1.0    17 c    0   1.82 210.92213 54.31835  8463.18  2288.36 3.82 3.59  30.4 -0.457    19.42 21.11 02a57449o0650c   -4.235294        0
57449.558557 19.569016      NaN   -45.0    18 c    0   1.78 210.92213 54.31835  7322.80  2916.21 3.78 3.62  15.0 -0.428    19.39 21.07 02a57449o0688c   -6.555556        0
57449.570520 19.510313      NaN    39.0    19 c    0   1.88 210.92213 54.31835  7304.67  2855.55 3.76 3.57  18.1 -0.439    19.39 21.06 02a57449o0709c   -1.789474        0
