         MJD         m       dm      uJy    duJy   F  err  chi/N        RA      Dec        x        y  maj  min   phi  apfit  mag5sig   Sky            Obs    __tmp_SN     Mask
57233.262703 18.356290      NaN     82.0    55.0   o  0.0   2.06 210.92213 54.31835  2816.55  8531.27 3.57 3.45 -65.8 -0.436    18.44 19.38 02a57233o0013o   -0.072727     8192
57233.282702 17.721771      NaN    217.0    55.0   o  0.0   2.14 210.92213 54.31835  2802.28  8539.91 3.53 3.35 -63.3 -0.452    18.41 19.29 02a57233o0029o    2.381818   532480
57365.645360 19.089302      NaN    -64.0    28.0   o  0.0   1.52 210.92213 54.31835  7604.96  2237.46 4.38 3.89   4.7 -0.436    18.89 20.47 02a57365o0696o   -5.357143     8192
57365.663252 18.226218      NaN     75.0    62.0   o  0.0   0.90 210.92213 54.31835  7349.23  1667.72 4.14 3.57   3.6 -0.484    18.19 18.98 02a57365o0723o   -0.177419     8192
57386.594331 19.051202      NaN    -44.0    29.0   o  0.0   2.06 210.92213 54.31835  7602.76  2233.75 3.86 3.33  10.9 -0.516    18.84 20.09 02a57386o0639o   -4.482759  8388608
57386.602983 18.944322      NaN    -49.0    32.0   o  0.0   1.31 210.92213 54.31835  7332.35  1658.97 4.12 3.41   6.2 -0.513    18.83 20.09 02a57386o0653o   -4.218750  8388608
57386.614803 18.910912      NaN     40.0    33.0   o  0.0   1.13 210.92213 54.31835  8165.01  2802.54 3.84 3.55  21.8 -0.476    18.88 20.21 02a57386o0669o   -1.393939  8388608
57386.624437 18.847027      NaN   -139.0    35.0   o  0.0   1.31 210.92213 54.31835  8447.82  1039.35 4.34 3.39  13.4 -0.526    18.93 20.24 02a57386o0683o   -6.428571  8912896
57387.583683 18.657725      NaN    130.0    27.0   o  0.0   1.55 210.92213 54.31835  7605.68  2231.69 3.69 3.44   6.9 -0.483    18.92 19.99 02a57387o0634o    1.629630   524288
57387.591656 18.666446      NaN    126.0    28.0   o  0.0   1.38 210.92213 54.31835  7335.37  1655.50 3.91 3.43   2.3 -0.498    18.95 20.02 02a57387o0647o    1.428571   524288
57387.605357 18.878500      NaN     57.0    34.0   o  0.0   1.33 210.92213 54.31835  8166.16  2798.19 3.58 3.45  28.6 -0.476    18.97 20.08 02a57387o0661o   -0.852941        0
57387.612122 18.729535      NaN     69.0    39.0   o  0.0   1.01 210.92213 54.31835  8449.06  1033.76 4.02 3.42  10.0 -0.517    19.01 20.11 02a57387o0672o   -0.435897        0
57409.597826 17.976960      NaN    140.0    60.0   o  0.0   0.89 210.92213 54.31835  8185.22  1651.89 3.88 3.50  12.4 -0.489    18.59 19.61 02a57409o0642o    0.900000  4194560
57409.623123 18.550302      NaN    -84.0    46.0   o  0.0   1.14 210.92213 54.31835  8473.47  2236.00 3.54 3.41  32.4 -0.506    18.69 19.72 02a57409o0679o   -3.695652        0
57409.630689 18.816441      NaN     33.0    36.0   o  0.0   1.29 210.92213 54.31835  7641.25  1095.52 3.82 3.36   5.1 -0.513    18.73 19.78 02a57409o0690o   -1.472222        0
57409.635100 19.089302      NaN      0.0    28.0   o  0.0   1.42 210.92213 54.31835  7332.92  2860.29 3.50 3.41  24.9 -0.459    18.75 19.82 02a57409o0697o   -3.071429        0
57414.610678 18.910912      NaN     36.0    33.0   o  0.0   1.20 210.92213 54.31835  8111.85  1919.31 3.87 3.44  11.8 -0.493    18.77 19.88 02a57414o0661o   -1.515152        0
57414.627553 18.944322      NaN      5.0    32.0   o  0.0   1.21 210.92213 54.31835  8399.41  2498.58 3.68 3.48  23.8 -0.478    18.77 19.88 02a57414o0687o   -2.531250        0
57414.645156 19.128787      NaN     18.0    27.0   o  0.0   1.70 210.92213 54.31835  7266.42  3119.71 3.52 3.40  20.7 -0.458    18.78 19.88 02a57414o0714o   -2.518519   524288
57414.661382 19.169763      NaN     66.0    26.0   o  0.0   1.96 210.92213 54.31835  7339.02  2871.31 3.55 3.35  18.5 -0.469    18.77 19.85 02a57414o0740o   -0.769231        0
57418.601312 19.241693 0.342081    159.0    23.0   o  0.0   1.69 210.92213 54.31835  8280.93  1941.33 3.77 3.48  14.8 -0.480    19.19 20.72 02a57418o0642o    3.173913  8916992
57418.622559 19.212347      NaN    -84.0    25.0   o  0.0   1.09 210.92213 54.31835  8561.20  2518.19 3.76 3.63  37.4 -0.450    19.14 20.72 02a57418o0674o   -6.800000  8912896
57418.640915 19.401649      NaN      0.0    21.0   o  0.0   1.54 210.92213 54.31835  7445.92  3142.65 3.55 3.48  25.6 -0.437    19.18 20.73 02a57418o0701o   -4.095238  8388608
57418.657638 19.401649      NaN   -109.0    21.0   o  0.0   1.37 210.92213 54.31835  7349.13  2877.32 3.90 3.75  18.6 -0.420    19.06 20.63 02a57418o0727o   -9.285714  8916992
57419.602717 19.351140      NaN   -175.0    22.0   o  0.0   1.48 210.92213 54.31835  7976.18  1385.58 4.13 3.58   7.2 -0.479    19.30 21.02 02a57419o0615o  -11.863636  4194560
57419.622718 19.256669      NaN      1.0    24.0   o  0.0   1.18 210.92213 54.31835  8257.21  1968.71 3.84 3.51  15.8 -0.480    19.33 21.02 02a57419o0644o   -3.541667        0
57419.638318 19.510313      NaN     30.0    19.0   o  0.0   1.91 210.92213 54.31835  7133.59  2584.79 3.78 3.54  10.0 -0.446    19.30 21.20 02a57419o0668o   -2.947368        0
57419.655984 19.454622      NaN    -88.0    20.0   o  0.0   1.72 210.92213 54.31835  7352.23  2873.77 3.78 3.61  14.1 -0.433    19.30 21.01 02a57419o0695o   -8.700000   528384
57440.518111 18.459772      NaN   -150.0    50.0   o  0.0   1.39 210.92213 54.31835  8357.11  1370.08 4.30 3.46  13.3 -0.540    18.27 18.98 02a57440o0547o   -4.720000  8912896
57440.529939 18.526952      NaN     45.0    47.0   o  0.0   1.47 210.92213 54.31835  8643.08  1947.22 3.99 3.44  21.7 -0.545    18.27 18.97 02a57440o0569o   -0.872340  8388608
57440.551953 18.623526      NaN     54.0    43.0   o  0.0   1.80 210.92213 54.31835  7512.12  2579.99 3.88 3.45  12.8 -0.499    18.29 19.00 02a57440o0611o   -0.744186  8388608
57440.562821 18.598565      NaN   -127.0    44.0   o  0.0   1.23 210.92213 54.31835  7300.55  2861.02 3.77 3.43  11.6 -0.496    18.30 19.02 02a57440o0632o   -4.840909  8388608
57441.518643 18.417189      NaN     21.0    52.0   o  0.0   1.19 210.92213 54.31835  8138.87  1769.85 3.99 3.40  15.0 -0.534    18.23 18.89 02a57441o0557o   -1.250000        0
