         MJD         m       dm  uJy  duJy F  err  chi/N        RA     Dec        x        y  maj  min   phi  apfit  mag5sig   Sky            Obs  __tmp_SN     Mask
57396.587948 18.978793      NaN   26    19 c    0   1.54 210.91688 54.3204  7756.93  2239.45 4.00 3.60   7.8 -0.428    19.59 21.57 02a57396o0607c  1.894737   524288
57396.598947 19.510313      NaN  -31    19 c    0   1.88 210.91688 54.3204  7470.65  1666.46 4.10 3.60   5.1 -0.444    19.60 21.58 02a57396o0625c -1.105263   524288
57396.614233 18.214605      NaN   61    39 c    0   1.12 210.91688 54.3204  8284.06  2810.45 3.80 3.60  20.0 -0.419    19.60 21.56 02a57396o0650c  1.820513   524288
57396.627717 18.566153      NaN   -6    44 c    0   1.07 210.91688 54.3204  8546.54  1048.95 4.33 3.66  11.1 -0.431    19.59 21.57 02a57396o0672c  0.090909   524288
57424.598946 19.051202      NaN   20    19 c    0   1.41 210.91688 54.3204  8255.43  1565.20 4.33 3.76  10.3 -0.440    19.70 21.79 02a57424o0633c  1.578947        0
57424.604067 19.142275      NaN   13    19 c    0   1.61 210.91688 54.3204  8519.32  2135.29 4.25 3.83  15.1 -0.423    19.68 21.79 02a57424o0641c  1.210526        0
57424.621336 18.944322      NaN   32    18 c    0   1.77 210.91688 54.3204  7364.21  2753.05 4.02 3.71   9.8 -0.416    19.70 21.79 02a57424o0667c  2.333333   524288
57424.633626 19.367717      NaN    4    17 c    0   1.29 210.91688 54.3204  7287.17  2846.91 3.97 3.67  11.3 -0.418    19.70 21.79 02a57424o0685c  0.823529        0
57448.521048 19.102305      NaN    7    22 c    0   1.41 210.91688 54.3204  7922.09  1756.16 4.00 3.65  14.9 -0.450    19.26 20.81 02a57448o0458c  0.772727        0
57448.543577 19.351140      NaN  -19    22 c    0   1.61 210.91688 54.3204  8213.98  2336.47 3.94 3.73  22.8 -0.441    19.21 20.77 02a57448o0497c -0.409091   524288
57448.565924 19.256669      NaN  -15    24 c    0   1.24 210.91688 54.3204  7073.43  2958.82 4.38 3.91  -1.1 -0.389    19.09 20.75 02a57448o0536c -0.208333        0
57448.596475 19.351140      NaN  -12    22 c    0   1.70 210.91688 54.3204  3354.77  7839.31 3.87 3.61 -70.4 -0.422    19.20 20.80 02a57448o0592c -0.090909        0
57449.515332 19.401649      NaN  -33    21 c    0   1.50 210.91688 54.3204  8158.78  1706.76 4.05 3.63  15.4 -0.462    19.45 21.19 02a57449o0610c -1.095238        0
57449.538360 19.076453      NaN   12    21 c    0   1.25 210.91688 54.3204  8457.08  2284.61 3.82 3.59  30.2 -0.457    19.42 21.11 02a57449o0650c  1.047619        0
57449.558557 19.076453      NaN   15    20 c    0   1.48 210.91688 54.3204  7316.78  2912.38 3.78 3.62  14.8 -0.428    19.39 21.07 02a57449o0688c  1.250000        0
57449.570520 19.436675      NaN   -9    20 c    0   1.36 210.91688 54.3204  7298.65  2851.72 3.76 3.57  17.9 -0.440    19.39 21.06 02a57449o0709c  0.050000        0
57458.509881 19.510313      NaN  -16    19 c    0   1.34 210.91688 54.3204  8241.30  1559.28 4.32 3.77  15.3 -0.446    19.65 21.70 02a57458o0606c -0.315789   524288
57458.513259 19.076453      NaN   18    19 c    0   1.71 210.91688 54.3204  8527.07  2128.04 4.21 3.91  23.6 -0.426    19.61 21.68 02a57458o0613c  1.473684        0
57458.536888 18.967180      NaN   33    17 c    0   1.51 210.91688 54.3204  7400.26  2753.81 4.12 3.83   2.1 -0.403    19.60 21.68 02a57458o0653c  2.529412  4195328
57458.567769 19.569016      NaN  -35    18 c    0   1.28 210.91688 54.3204  3351.08  7837.22 3.85 3.61 -72.9 -0.421    19.64 21.68 02a57458o0708c -1.388889   524288
57488.426551 19.454622      NaN  -28    20 c    0   1.47 210.91688 54.3204  8373.62  1631.57 4.33 3.81  20.0 -0.478    19.60 21.59 02a57488o0373c -0.900000   524288
57488.444090 18.816441      NaN   38    20 c    0   1.38 210.91688 54.3204  8660.92  2188.01 4.18 3.80  29.4 -0.461    19.60 21.61 02a57488o0405c  2.400000        0
57488.465855 19.026525      NaN   25    18 c    0   2.04 210.91688 54.3204  7539.16  2835.08 4.06 3.72  15.5 -0.447    19.57 21.56 02a57488o0444c  1.944444   524288
57488.475297 19.454622      NaN  -28    20 c    0   1.50 210.91688 54.3204  3337.11  7828.89 3.99 3.61 -65.0 -0.439    19.55 21.54 02a57488o0460c -0.900000        0
57512.362600 18.910912      NaN   26    21 c    0   1.47 210.91688 54.3204  9561.02  2698.25 4.67 4.15  38.2 -0.436    19.51 21.58 02a57512o0305c  1.714286        0
57512.371077 19.510313      NaN  -16    19 c    0   1.69 210.91688 54.3204  9583.92  2734.55 4.58 4.08  39.5 -0.441    19.53 21.60 02a57512o0322c -0.315789   524288
57512.373986 19.569016      NaN  -59    18 c    0   2.10 210.91688 54.3204   378.08  2622.62 5.07 3.82 -34.1 -0.413    19.58 21.60 02a57512o0328c -2.722222   524288
57512.383392 19.454622      NaN  -32    20 c    0   1.25 210.91688 54.3204   397.92  2659.79 5.11 3.92 -33.9 -0.414    19.54 21.60 02a57512o0347c -1.100000        0
57512.386899 19.384550      NaN    0    18 c    0   1.33 210.91688 54.3204   979.66  7910.17 4.45 3.82 -58.3 -0.428    19.55 21.63 02a57512o0354c  0.555556   524288
57512.388945 19.454622      NaN  -45    20 c    0   1.78 210.91688 54.3204   332.07  2583.33 5.16 3.88 -31.4 -0.404    19.57 21.61 02a57512o0358c -1.750000   524288
57512.397027 19.454622      NaN  -22    20 c    0   1.77 210.91688 54.3204  1010.14  7790.93 4.39 3.76 -57.8 -0.428    19.55 21.60 02a57512o0374c -0.600000   524288
57512.407432 19.510313      NaN  -25    19 c    0   1.57 210.91688 54.3204 10200.03  7855.82 4.60 3.71  81.1 -0.426    19.54 21.62 02a57512o0395c -0.789474        0
57512.416849 19.569016      NaN  -29    18 c    0   2.30 210.91688 54.3204  3611.30  8663.53 4.15 3.80 -61.8 -0.410    19.52 21.58 02a57512o0414c -1.055556        0
57515.371866 19.026525      NaN   16    21 c    0   1.62 210.91688 54.3204  1953.92   516.00 5.35 3.74 -16.2 -0.484    19.58 21.68 02a57515o0321c  1.238095        0
57515.372987 18.944322      NaN    5    27 c    0   1.69 210.91688 54.3204  7391.25   251.07 5.30 3.91  10.3 -0.491    19.61 21.70 02a57515o0323c  0.555556   524288
57515.374441 19.510313 0.361912   47    19 c    0   1.61 210.91688 54.3204  8561.03 10084.34 4.30 3.85  75.6 -0.415    19.60 21.66 02a57515o0326c  3.000000   524288
57515.383262 19.569016      NaN  -16    18 c    0   1.58 210.91688 54.3204  3099.73 10276.74 4.24 3.95 -48.2 -0.399    19.61 21.73 02a57515o0344c -0.333333        0
57515.385734 18.836735      NaN   36    20 c    0   1.85 210.91688 54.3204  8489.46 10004.82 4.17 3.76  74.6 -0.422    19.61 21.65 02a57515o0348c  2.300000        0
57515.386824 19.454622      NaN   -4    18 c    0   2.12 210.91688 54.3204  3151.79 10361.22 4.28 3.97 -54.0 -0.401    19.61 21.70 02a57515o0350c  0.333333        0
57515.400161 19.510313      NaN  -11    19 c    0   1.88 210.91688 54.3204  3186.28 10240.98 4.17 3.92 -48.2 -0.389    19.61 21.69 02a57515o0376c -0.052632   524288
57515.402098 18.826541      NaN   34    21 c    0   1.69 210.91688 54.3204  2035.60   441.78 5.17 3.65 -16.0 -0.485    19.58 21.64 02a57515o0380c  2.095238   524288
57515.409082 19.454622      NaN  -13    20 c    0   1.60 210.91688 54.3204  1986.87   504.44 5.24 3.65 -15.0 -0.478    19.58 21.61 02a57515o0393c -0.150000        0
57515.410533 19.401649      NaN   -4    19 c    0   1.65 210.91688 54.3204  3145.35 10304.67 4.12 3.91 -42.3 -0.391    19.61 21.65 02a57515o0396c  0.315789        0
57545.329395 19.183773      NaN   10    19 c    0   1.97 210.91688 54.3204  1114.66  8168.69 4.40 3.95 -56.1 -0.415    19.59 21.73 02a57545o0190c  1.052632        0
57545.338129 19.212347      NaN   -1    22 c    0   1.46 210.91688 54.3204  1101.78  8131.35 4.40 3.93 -61.1 -0.432    19.58 21.75 02a57545o0208c  0.409091   524288
57545.345896 19.212347      NaN   11    18 c    0   1.78 210.91688 54.3204 10312.39  8249.82 4.55 3.64  80.2 -0.430    19.64 21.77 02a57545o0224c  1.166667        0
