         MJD         m       dm     uJy    duJy   F  err  chi/N        RA     Dec        x        y  maj  min   phi  apfit  mag5sig   Sky            Obs   __tmp_SN     Mask
57233.262703 18.068904      NaN   -18.0    71.0   o  0.0   0.83 210.91688 54.3204  2822.60  8535.07 3.57 3.45 -65.8 -0.436    18.44 19.38 02a57233o0013o   0.028169     8192
57233.282702 18.163834      NaN    -9.0    62.0   o  0.0   1.44 210.91688 54.3204  2808.34  8543.70 3.53 3.35 -63.3 -0.453    18.41 19.29 02a57233o0029o   0.177419   532480
57365.645360 18.738855      NaN     6.0    30.0   o  0.0   1.47 210.91688 54.3204  7598.91  2233.65 4.38 3.89   4.6 -0.436    18.89 20.47 02a57365o0696o   0.866667     8192
57365.663252 18.273950      NaN    -1.0    53.0   o  0.0   1.18 210.91688 54.3204  7343.20  1663.88 4.14 3.57   3.6 -0.484    18.19 18.98 02a57365o0723o   0.358491     8192
57386.594331 18.558199      NaN    33.0    28.0   o  0.0   1.93 210.91688 54.3204  7596.71  2229.95 3.86 3.33  10.8 -0.516    18.84 20.09 02a57386o0639o   1.892857        0
57386.602983 19.038793      NaN   -19.0    29.0   o  0.0   1.64 210.91688 54.3204  7326.32  1655.13 4.12 3.41   6.2 -0.513    18.83 20.09 02a57386o0653o   0.034483        0
57386.614803 18.738855      NaN    -3.0    33.0   o  0.0   1.15 210.91688 54.3204  8158.93  2798.78 3.84 3.55  21.6 -0.476    18.88 20.21 02a57386o0669o   0.515152        0
57386.624437 18.757738      NaN    -8.0    34.0   o  0.0   1.49 210.91688 54.3204  8441.71  1035.59 4.34 3.39  13.3 -0.526    18.93 20.24 02a57386o0683o   0.352941   524288
57387.583683 18.534680      NaN    42.0    26.0   o  0.0   1.48 210.91688 54.3204  7599.63  2227.88 3.69 3.44   6.8 -0.483    18.92 19.99 02a57387o0634o   2.384615   524288
57387.591656 18.657725      NaN    12.0    31.0   o  0.0   1.11 210.91688 54.3204  7329.33  1651.66 3.91 3.43   2.3 -0.498    18.95 20.02 02a57387o0647o   1.032258   524288
57387.605357 18.317510      NaN    46.0    35.0   o  0.0   1.13 210.91688 54.3204  8160.08  2794.43 3.59 3.45  28.3 -0.476    18.97 20.08 02a57387o0661o   1.885714        0
57387.612122 18.606822      NaN     3.0    36.0   o  0.0   1.25 210.91688 54.3204  8442.95  1030.00 4.03 3.42   9.9 -0.516    19.01 20.11 02a57387o0672o   0.638889        0
57409.597826 17.751519      NaN    97.0    57.0   o  0.0   0.95 210.91688 54.3204  8179.14  1648.12 3.88 3.50  12.4 -0.490    18.59 19.61 02a57409o0642o   2.052632  4194560
57409.623123 18.389700      NaN    14.0    42.0   o  0.0   1.34 210.91688 54.3204  8467.37  2232.25 3.54 3.41  32.1 -0.506    18.69 19.72 02a57409o0679o   0.809524        0
57409.630689 18.292405      NaN    56.0    33.0   o  0.0   1.40 210.91688 54.3204  7635.19  1091.70 3.82 3.36   5.0 -0.513    18.73 19.78 02a57409o0690o   2.303030        0
57409.635100 19.051202      NaN   -47.0    29.0   o  0.0   1.28 210.91688 54.3204  7326.90  2856.46 3.50 3.41  24.5 -0.459    18.75 19.82 02a57409o0697o  -0.931034        0
57414.610678 18.558199      NaN    15.0    34.0   o  0.0   0.95 210.91688 54.3204  8105.78  1915.53 3.87 3.44  11.7 -0.493    18.77 19.88 02a57414o0661o   1.029412        0
57414.627553 18.978793      NaN   -20.0    31.0   o  0.0   1.30 210.91688 54.3204  8393.31  2494.83 3.68 3.48  23.6 -0.478    18.77 19.88 02a57414o0687o   0.000000        0
57414.645156 18.900000      NaN     2.0    26.0   o  0.0   1.57 210.91688 54.3204  7260.40  3115.87 3.52 3.40  20.3 -0.458    18.78 19.88 02a57414o0714o   0.846154   524288
57414.661382 18.944322      NaN    -2.0    26.0   o  0.0   1.76 210.91688 54.3204  7332.99  2867.48 3.55 3.35  18.4 -0.469    18.77 19.85 02a57414o0740o   0.692308        0
57418.601312 19.351140      NaN   -32.0    22.0   o  0.0   1.78 210.91688 54.3204  8274.85  1937.56 3.77 3.48  14.7 -0.480    19.19 20.72 02a57418o0642o  -0.545455   524288
57418.622559 19.302877      NaN   -17.0    22.0   o  0.0   1.64 210.91688 54.3204  8555.10  2514.45 3.76 3.63  37.1 -0.450    19.14 20.72 02a57418o0674o   0.136364   524288
57418.640915 18.847027      NaN    25.0    20.0   o  0.0   1.67 210.91688 54.3204  7439.89  3138.83 3.56 3.48  25.1 -0.437    19.18 20.73 02a57418o0701o   2.250000        0
57418.657638 19.241693      NaN   -10.0    21.0   o  0.0   2.11 210.91688 54.3204  7343.11  2873.49 3.91 3.75  18.4 -0.420    19.06 20.63 02a57418o0727o   0.476190   524288
57419.602717 19.212347 0.347436    55.0    24.0   o  0.0   1.66 210.91688 54.3204  7970.11  1381.78 4.13 3.58   7.2 -0.479    19.30 21.02 02a57419o0615o   3.125000  4194560
57419.622718 19.014394      NaN    -2.0    24.0   o  0.0   1.39 210.91688 54.3204  8251.12  1964.94 3.84 3.51  15.7 -0.480    19.33 21.02 02a57419o0644o   0.750000        0
57419.638318 19.169763      NaN    -5.0    21.0   o  0.0   1.33 210.91688 54.3204  7127.58  2580.94 3.78 3.54   9.9 -0.446    19.30 21.20 02a57419o0668o   0.714286        0
57419.655984 19.038793      NaN     5.0    21.0   o  0.0   2.12 210.91688 54.3204  7346.21  2869.94 3.78 3.61  14.0 -0.433    19.30 21.01 02a57419o0695o   1.190476   524288
57440.518111 18.452558      NaN   -19.0    50.0   o  0.0   1.36 210.91688 54.3204  8351.01  1366.33 4.30 3.46  13.2 -0.540    18.27 18.98 02a57440o0547o   0.020000   524288
57440.529939 18.424171      NaN    -9.0    48.0   o  0.0   1.43 210.91688 54.3204  8636.96  1943.49 3.99 3.44  21.6 -0.545    18.27 18.97 02a57440o0569o   0.229167        0
57440.551953 18.330283      NaN    14.0    45.0   o  0.0   1.52 210.91688 54.3204  7506.08  2576.17 3.89 3.45  12.7 -0.499    18.29 19.00 02a57440o0611o   0.755556        0
57440.562821 18.152867      NaN    44.0    45.0   o  0.0   1.21 210.91688 54.3204  7294.53  2857.19 3.77 3.43  11.5 -0.496    18.30 19.02 02a57440o0632o   1.422222        0
57441.518643 18.249822      NaN    -3.0    55.0   o  0.0   0.95 210.91688 54.3204  8132.79  1766.08 3.99 3.40  14.9 -0.534    18.23 18.89 02a57441o0557o   0.309091        0
57441.526896 18.053859      NaN    48.0    50.0   o  0.0   1.23 210.91688 54.3204  8417.72  2340.82 3.79 3.38  24.6 -0.523    18.25 18.92 02a57441o0573o   1.360000        0
57441.531928 18.481707      NaN     4.0    41.0   o  0.0   1.23 210.91688 54.3204  7293.51  2960.21 3.57 3.38  12.6 -0.492    18.26 18.93 02a57441o0583o   0.585366        0
57441.552276 18.243872      NaN    28.0    45.0   o  0.0   1.33 210.91688 54.3204  7295.34  2851.11 3.66 3.39  15.6 -0.484    18.27 18.94 02a57441o0622o   1.066667        0
57466.479054 18.452558      NaN     8.0    41.0   o  0.0   1.26 210.91688 54.3204  8206.48  1451.47 4.59 3.60  16.4 -0.540    18.73 19.97 02a57466o0545o   0.682927        0
57466.500550 18.382935      NaN    42.0    33.0   o  0.0   1.48 210.91688 54.3204  8505.19  2025.67 4.15 3.61  25.9 -0.544    18.77 20.03 02a57466o0585o   1.878788   524288
57466.521973 19.051202      NaN   -26.0    29.0   o  0.0   1.20 210.91688 54.3204  7390.62  2652.07 3.85 3.39  11.7 -0.515    18.81 20.05 02a57466o0625o  -0.206897   524288
57466.532670 18.467034      NaN    45.0    28.0   o  0.0   1.74 210.91688 54.3204  7296.26  2849.95 3.85 3.43   9.9 -0.514    18.82 20.07 02a57466o0647o   2.321429        0
57470.480982 16.118487      NaN   262.0   338.0   o  0.0   0.91 210.91688 54.3204  7285.81  2843.91 3.95 3.64  10.7 -0.488    16.46 16.46 02a57470o0553o   0.834320 12584962
57474.485989 18.542463      NaN   -13.0    44.0   o  0.0   1.06 210.91688 54.3204  8160.92  1678.06 4.26 3.41  13.4 -0.526    18.71 19.95 02a57474o0492o   0.159091   524288
57474.506959 18.826541      NaN   -12.0    33.0   o  0.0   1.47 210.91688 54.3204  2186.76  8438.60 4.03 3.43 -65.4 -0.490    18.70 19.95 02a57474o0529o   0.242424        0
57474.528572 18.720295      NaN     2.0    32.0   o  0.0   1.20 210.91688 54.3204  3301.29  7817.76 3.70 3.23 -71.1 -0.491    18.72 19.91 02a57474o0566o   0.687500        0
57474.543901 18.292405      NaN    56.0    33.0   o  0.0   1.22 210.91688 54.3204  3325.54  7842.57 3.81 3.26 -69.9 -0.508    18.69 19.92 02a57474o0592o   2.303030   524288
57492.402356 18.657725      NaN    33.0    24.0   o  0.0   1.78 210.91688 54.3204  8221.29  1738.66 4.09 3.65  24.3 -0.505    19.02 20.45 02a57492o0382o   2.208333        0
57492.415099 19.212347      NaN   -30.0    25.0   o  0.0   1.66 210.91688 54.3204  8506.37  2307.31 3.81 3.54  35.3 -0.502    19.10 20.55 02a57492o0405o  -0.400000   524288
57492.430506 19.351140      NaN   -22.0    22.0   o  0.0   1.96 210.91688 54.3204  7368.48  2935.77 3.68 3.53  30.3 -0.475    19.11 20.59 02a57492o0433o  -0.090909   524288
57492.449596 18.878500      NaN    22.0    20.0   o  0.0   1.98 210.91688 54.3204  7290.56  2840.71 3.75 3.58  19.3 -0.459    19.13 20.66 02a57492o0472o   2.100000        0
57523.355574 18.566153      NaN    17.0    33.0   o  0.0   1.52 210.91688 54.3204  6175.23  1369.23 4.32 3.45   1.8 -0.534    18.86 20.17 02a57523o0219o   1.121212   524288
57523.364398 18.640491      NaN    20.0    29.0   o  0.0   1.45 210.91688 54.3204  4305.01  9129.62 3.89 3.60 -78.4 -0.470    18.84 20.22 02a57523o0237o   1.379310        0
57523.381095 19.002397      NaN    -7.0    26.0   o  0.0   2.14 210.91688 54.3204  4368.17  9211.72 3.84 3.59 -75.5 -0.464    18.84 20.19 02a57523o0271o   0.500000        0
