         MJD         m       dm    uJy  duJy F  err  chi/N        RA      Dec        x        y  maj  min   phi  apfit  mag5sig   Sky            Obs   __tmp_SN     Mask
57233.262703 18.226218      NaN    -54    62 o    0   0.98 210.91068 54.32112  2829.67  8536.24 3.57 3.45 -65.8 -0.436    18.44 19.38 02a57233o0013o  -0.854839     8192
57233.282702 18.005163      NaN     59    56 o    0   1.72 210.91068 54.32112  2815.41  8544.88 3.53 3.35 -63.3 -0.453    18.41 19.29 02a57233o0029o   1.071429   532480
57365.645360 18.990530      NaN      1    30 o    0   1.09 210.91068 54.32112  7591.85  2232.46 4.38 3.89   4.6 -0.436    18.89 20.47 02a57365o0696o   0.066667     8192
57365.663252 18.280067      NaN     17    53 o    0   1.19 210.91068 54.32112  7336.14  1662.67 4.14 3.57   3.5 -0.484    18.19 18.98 02a57365o0723o   0.339623     8192
57386.594331 18.878500      NaN     -3    34 o    0   0.78 210.91068 54.32112  7589.65  2228.76 3.86 3.33  10.8 -0.516    18.84 20.09 02a57386o0639o  -0.058824        0
57386.602983 18.526952      NaN     44    32 o    0   1.21 210.91068 54.32112  7319.26  1653.92 4.13 3.41   6.1 -0.513    18.83 20.09 02a57386o0653o   1.406250        0
57386.614803 18.748255      NaN     15    33 o    0   0.97 210.91068 54.32112  8151.85  2797.64 3.84 3.55  21.5 -0.476    18.88 20.21 02a57386o0669o   0.484848        0
57386.624437 18.816441      NaN    -72    36 o    0   1.16 210.91068 54.32112  8434.61  1034.49 4.34 3.39  13.3 -0.526    18.93 20.24 02a57386o0683o  -1.972222   524288
57387.583683 18.757738      NaN     32    27 o    0   1.05 210.91068 54.32112  7592.57  2226.69 3.70 3.44   6.7 -0.483    18.92 19.99 02a57387o0634o   1.222222   524288
57387.591656 18.816441      NaN     17    30 o    0   0.85 210.91068 54.32112  7322.28  1650.45 3.91 3.43   2.2 -0.498    18.95 20.02 02a57387o0647o   0.600000   524288
57387.605357 18.847027      NaN     -3    35 o    0   1.07 210.91068 54.32112  8153.00  2793.29 3.59 3.45  28.0 -0.476    18.97 20.08 02a57387o0661o  -0.057143        0
57387.612122 18.757738      NaN    -40    38 o    0   0.84 210.91068 54.32112  8435.85  1028.90 4.03 3.42   9.9 -0.516    19.01 20.11 02a57387o0672o  -1.026316        0
57409.597826 18.330283      NaN      6    54 o    0   1.13 210.91068 54.32112  8172.05  1646.98 3.88 3.50  12.3 -0.490    18.59 19.61 02a57409o0642o   0.129630  4194560
57409.623123 18.280067      NaN     35    47 o    0   0.83 210.91068 54.32112  8460.28  2231.14 3.54 3.41  31.8 -0.506    18.69 19.72 02a57409o0679o   0.765957        0
57409.630689 18.776955      NaN      3    36 o    0   0.97 210.91068 54.32112  7628.12  1090.51 3.82 3.36   5.0 -0.513    18.73 19.78 02a57409o0690o   0.111111        0
57409.635100 18.978793      NaN    -24    31 o    0   1.06 210.91068 54.32112  7319.85  2855.23 3.50 3.41  24.3 -0.459    18.75 19.82 02a57409o0697o  -0.741935        0
57414.610678 18.261819      NaN     74    35 o    0   0.79 210.91068 54.32112  8098.70  1914.38 3.87 3.44  11.7 -0.493    18.77 19.88 02a57414o0661o   2.142857        0
57414.627553 18.767304      NaN     10    34 o    0   0.96 210.91068 54.32112  8386.23  2493.71 3.68 3.48  23.5 -0.478    18.77 19.88 02a57414o0687o   0.323529        0
