         MJD         m       dm    uJy  duJy F  err  chi/N        RA     Dec        x        y  maj  min   phi  apfit  mag5sig   Sky            Obs  __tmp_SN     Mask
57396.587948 19.002397      NaN   34.0    19 c    0   1.07 210.90449 54.3204  7742.89  2239.90 4.00 3.60   7.7 -0.428    19.59 21.57 02a57396o0607c  1.789474   524288
57396.598947 19.510313      NaN  -10.0    19 c    0   0.95 210.90449 54.3204  7456.60  1666.86 4.10 3.60   5.0 -0.444    19.60 21.58 02a57396o0625c -0.526316   524288
57396.614233 18.191747      NaN   81.0    37 c    0   0.79 210.90449 54.3204  8270.01  2810.98 3.80 3.60  19.8 -0.419    19.60 21.56 02a57396o0650c  2.189189   524288
57396.627717 18.623526      NaN  -73.0    43 c    0   1.04 210.90449 54.3204  8532.42  1049.57 4.33 3.66  11.1 -0.431    19.59 21.57 02a57396o0672c -1.697674   524288
57424.598946 19.384550      NaN    1.0    21 c    0   0.82 210.90449 54.3204  8241.34  1565.75 4.33 3.76  10.2 -0.440    19.70 21.79 02a57424o0633c  0.047619        0
57424.604067 19.334813      NaN   13.0    18 c    0   1.02 210.90449 54.3204  8505.23  2135.88 4.25 3.83  15.0 -0.423    19.68 21.79 02a57424o0641c  0.722222        0
57424.621336 19.334813      NaN   16.0    17 c    0   0.95 210.90449 54.3204  7350.19  2753.41 4.02 3.71   9.7 -0.416    19.70 21.79 02a57424o0667c  0.941176   524288
57424.633626 19.631075      NaN   -4.0    17 c    0   0.86 210.90449 54.3204  7273.16  2847.25 3.97 3.67  11.2 -0.418    19.70 21.79 02a57424o0685c -0.235294        0
57448.521048 19.401649      NaN  -19.0    21 c    0   1.36 210.90449 54.3204  7908.03  1756.65 4.00 3.65  14.7 -0.450    19.26 20.81 02a57448o0458c -0.904762        0
57448.543577 19.212347      NaN   12.0    21 c    0   1.08 210.90449 54.3204  8199.92  2337.00 3.94 3.73  22.6 -0.440    19.21 20.77 02a57448o0497c  0.571429   524288
57448.565924 19.212347      NaN   -8.0    25 c    0   0.83 210.90449 54.3204  7059.42  2959.12 4.38 3.91  -1.2 -0.388    19.09 20.75 02a57448o0536c -0.320000        0
57448.596475 18.836735      NaN   34.0    24 c    0   0.82 210.90449 54.3204  3368.79  7838.96 3.87 3.61 -70.5 -0.422    19.20 20.80 02a57448o0592c  1.416667        0
57449.515332 19.318728      NaN    2.0    22 c    0   0.86 210.90449 54.3204  8144.71  1707.29 4.05 3.63  15.2 -0.462    19.45 21.19 02a57449o0610c  0.090909        0
57449.538360 19.076453      NaN   28.0    19 c    0   1.02 210.90449 54.3204  8443.00  2285.19 3.82 3.59  29.9 -0.457    19.42 21.11 02a57449o0650c  1.473684        0
57449.558557 19.569016      NaN   -1.0    18 c    0   1.02 210.90449 54.3204  7302.76  2912.72 3.78 3.62  14.4 -0.428    19.39 21.07 02a57449o0688c -0.055556        0
57449.570520 19.212347      NaN   18.0    19 c    0   1.13 210.90449 54.3204  7284.63  2852.06 3.76 3.57  17.6 -0.439    19.39 21.06 02a57449o0709c  0.947368        0
57458.509881 19.454622      NaN   -4.0    20 c    0   0.89 210.90449 54.3204  8227.22  1559.83 4.32 3.77  15.2 -0.446    19.65 21.70 02a57458o0606c -0.200000   524288
57458.513259 19.401649      NaN  -10.0    21 c    0   0.88 210.90449 54.3204  8512.99  2128.63 4.21 3.90  23.4 -0.426    19.61 21.68 02a57458o0613c -0.476190        0
57458.536888 19.569016      NaN  -14.0    18 c    0   0.85 210.90449 54.3204  7386.24  2754.18 4.12 3.83   1.9 -0.403    19.60 21.68 02a57458o0653c -0.777778  4195328
57458.567769 19.401649      NaN   12.0    17 c    0   1.19 210.90449 54.3204  3365.10  7836.86 3.85 3.61 -73.0 -0.421    19.64 21.68 02a57458o0708c  0.705882   524288
57488.426551 19.454622      NaN  -12.0    20 c    0   0.97 210.90449 54.3204  8359.53  1632.14 4.32 3.81  19.8 -0.478    19.60 21.59 02a57488o0373c -0.600000   524288
57488.444090 19.026525      NaN   23.0    22 c    0   0.93 210.90449 54.3204  8646.83  2188.63 4.18 3.80  29.2 -0.461    19.60 21.61 02a57488o0405c  1.045455        0
57488.465855 19.454622      NaN  -12.0    20 c    0   0.91 210.90449 54.3204  7525.13  2835.47 4.06 3.72  15.3 -0.447    19.57 21.56 02a57488o0444c -0.600000   524288
57488.475297 19.401649      NaN    6.0    19 c    0   1.01 210.90449 54.3204  3351.13  7828.53 3.99 3.61 -65.0 -0.439    19.55 21.54 02a57488o0460c  0.315789        0
57512.362600 19.271854      NaN   11.0    20 c    0   1.10 210.90449 54.3204  9546.88  2699.04 4.67 4.15  38.0 -0.436    19.51 21.58 02a57512o0305c  0.550000        0
57512.371077 19.256669      NaN   12.0    20 c    0   1.07 210.90449 54.3204  9569.77  2735.34 4.57 4.08  39.3 -0.441    19.53 21.60 02a57512o0322c  0.600000   524288
57512.373986 19.419021      NaN    2.0    20 c    0   0.86 210.90449 54.3204   363.89  2621.67 5.07 3.82 -34.2 -0.413    19.58 21.60 02a57512o0328c  0.100000   524288
57512.383392 19.510313      NaN  -28.0    19 c    0   0.99 210.90449 54.3204   383.74  2658.83 5.11 3.92 -33.9 -0.413    19.54 21.60 02a57512o0347c -1.473684        0
57512.386899 19.510313      NaN   -3.0    19 c    0   0.94 210.90449 54.3204   993.80  7909.36 4.45 3.82 -58.4 -0.429    19.55 21.63 02a57512o0354c -0.157895   524288
57512.388945 19.454622      NaN  -10.0    20 c    0   1.07 210.90449 54.3204   317.88  2582.36 5.16 3.88 -31.5 -0.404    19.57 21.61 02a57512o0358c -0.500000   524288
57512.397027 19.226921      NaN   14.0    20 c    0   0.95 210.90449 54.3204  1024.27  7790.13 4.38 3.76 -57.8 -0.429    19.55 21.60 02a57512o0374c  0.700000   524288
57512.407432 19.076453      NaN   34.0    17 c    0   1.07 210.90449 54.3204 10214.23  7856.77 4.60 3.71  81.1 -0.426    19.54 21.62 02a57512o0395c  2.000000        0
57512.416849 19.454622      NaN   -4.0    20 c    0   0.81 210.90449 54.3204  3625.33  8663.22 4.14 3.80 -61.9 -0.410    19.52 21.58 02a57512o0414c -0.200000        0
57515.371866 19.256669      NaN  -28.0    24 c    0   0.76 210.90449 54.3204  1968.04   515.50 5.35 3.74 -16.1 -0.483    19.58 21.68 02a57515o0321c -1.166667        0
57515.372987 19.212347      NaN   -1.0    25 c    0   1.10 210.90449 54.3204  7377.16   251.47 5.30 3.91  10.2 -0.491    19.61 21.70 02a57515o0323c -0.040000   524288
57515.374441 19.454622      NaN    3.0    19 c    0   1.12 210.90449 54.3204  8546.90 10084.80 4.30 3.85  75.6 -0.415    19.60 21.66 02a57515o0326c  0.157895   524288
57515.383262 19.454622      NaN   -5.0    20 c    0   0.87 210.90449 54.3204  3113.82 10276.30 4.24 3.95 -48.3 -0.399    19.61 21.73 02a57515o0344c -0.250000        0
57515.385734 19.569016      NaN  -21.0    18 c    0   1.13 210.90449 54.3204  8475.34 10005.27 4.16 3.76  74.6 -0.422    19.61 21.65 02a57515o0348c -1.166667        0
