         MJD         m       dm     uJy    duJy   F  err  chi/N        RA     Dec        x        y  maj  min   phi  apfit  mag5sig   Sky            Obs  __tmp_SN     Mask
57233.262703 18.208845      NaN     5.0    63.0   o  0.0   0.93 210.90449 54.3204  2836.65  8534.61 3.57 3.45 -65.9 -0.436    18.44 19.38 02a57233o0013o -0.031746     8192
57233.282702 18.197417      NaN     9.0    63.0   o  0.0   1.17 210.90449 54.3204  2822.39  8543.25 3.53 3.35 -63.4 -0.453    18.41 19.29 02a57233o0029o  0.031746   532480
57365.645360 18.910912      NaN   -21.0    33.0   o  0.0   0.77 210.90449 54.3204  7584.88  2234.07 4.38 3.89   4.5 -0.435    18.89 20.47 02a57365o0696o -0.848485     8192
57365.663252 18.232071      NaN    39.0    51.0   o  0.0   1.35 210.90449 54.3204  7329.16  1664.26 4.14 3.57   3.5 -0.484    18.19 18.98 02a57365o0723o  0.627451     8192
57386.594331 18.878500      NaN     2.0    34.0   o  0.0   0.84 210.90449 54.3204  7582.67  2230.37 3.86 3.33  10.7 -0.516    18.84 20.09 02a57386o0639o -0.147059        0
57386.602983 18.978793      NaN   -10.0    31.0   o  0.0   1.33 210.90449 54.3204  7312.28  1655.51 4.12 3.41   6.1 -0.512    18.83 20.09 02a57386o0653o -0.548387        0
57386.614803 18.910912      NaN   -33.0    33.0   o  0.0   0.94 210.90449 54.3204  8144.88  2799.30 3.84 3.55  21.4 -0.476    18.88 20.21 02a57386o0669o -1.212121        0
57386.624437 18.816441      NaN   -17.0    36.0   o  0.0   0.99 210.90449 54.3204  8427.61  1036.20 4.34 3.39  13.2 -0.526    18.93 20.24 02a57386o0683o -0.666667   524288
57387.583683 19.076453      NaN     8.0    28.0   o  0.0   0.99 210.90449 54.3204  7585.60  2228.31 3.70 3.44   6.7 -0.483    18.92 19.99 02a57387o0634o  0.035714   524288
57387.591656 18.826541      NaN    30.0    28.0   o  0.0   1.08 210.90449 54.3204  7315.30  1652.04 3.91 3.43   2.2 -0.498    18.95 20.02 02a57387o0647o  0.821429   524288
