         MJD         m  dm    uJy  duJy   F  err  chi/N        RA      Dec        x        y  maj  min   phi  apfit  mag5sig   Sky            Obs  __tmp_SN     Mask
57396.587948 19.510313 NaN  -19.0  19.0   c  0.0   0.86 210.89924 54.31835  7737.04  2244.08 4.00 3.60   7.7 -0.428    19.59 21.57 02a57396o0607c -1.000000   524288
57396.598947 19.318728 NaN   17.0  17.0   c  0.0   1.25 210.89924 54.31835  7450.74  1671.03 4.10 3.60   5.0 -0.444    19.60 21.58 02a57396o0625c  1.000000   524288
57396.614233 18.878500 NaN  -61.0  34.0   c  0.0   1.15 210.89924 54.31835  8264.18  2815.19 3.80 3.60  19.8 -0.419    19.60 21.56 02a57396o0650c -1.794118   524288
57396.627717 18.550302 NaN  -20.0  46.0   c  0.0   0.82 210.89924 54.31835  8526.57  1053.84 4.33 3.66  11.0 -0.431    19.59 21.57 02a57396o0672c -0.434783   524288
57424.598946 19.318728 NaN   14.0  18.0   c  0.0   1.22 210.89924 54.31835  8235.49  1569.98 4.32 3.76  10.1 -0.440    19.70 21.79 02a57424o0633c  0.777778        0
57424.604067 19.183773 NaN   23.0  18.0   c  0.0   1.14 210.89924 54.31835  8499.40  2140.12 4.25 3.83  15.0 -0.423    19.68 21.79 02a57424o0641c  1.277778        0
57424.621336 19.696897 NaN  -27.0  16.0   c  0.0   1.02 210.89924 54.31835  7344.33  2757.54 4.02 3.71   9.6 -0.415    19.70 21.79 02a57424o0667c -1.687500   524288
57424.633626 19.589310 NaN    2.0  17.0   c  0.0   0.99 210.89924 54.31835  7267.30  2851.37 3.97 3.67  11.2 -0.418    19.70 21.79 02a57424o0685c  0.117647        0
57448.521048 19.197966 NaN   10.0  22.0   c  0.0   1.40 210.89924 54.31835  7902.18  1760.85 4.00 3.65  14.7 -0.450    19.26 20.81 02a57448o0458c  0.454545        0
57448.543577 19.002397 NaN   25.0  22.0   c  0.0   1.06 210.89924 54.31835  8194.08  2341.21 3.94 3.73  22.5 -0.440    19.21 20.77 02a57448o0497c  1.136364   524288
57448.565924 19.183773 NaN   11.0  22.0   c  0.0   0.98 210.89924 54.31835  7053.55  2963.23 4.38 3.91  -1.2 -0.388    19.09 20.75 02a57448o0536c  0.500000        0
57448.596475 19.401649 NaN  -29.0  21.0   c  0.0   1.25 210.89924 54.31835  3374.65  7834.83 3.87 3.61 -70.5 -0.422    19.20 20.80 02a57448o0592c -1.380952        0
57449.515332 19.351140 NaN  -18.0  22.0   c  0.0   0.87 210.89924 54.31835  8138.86  1711.52 4.05 3.63  15.2 -0.462    19.45 21.19 02a57449o0610c -0.818182        0
57449.538360 19.063754 NaN   23.0  21.0   c  0.0   0.91 210.89924 54.31835  8437.17  2289.42 3.82 3.59  29.9 -0.456    19.42 21.11 02a57449o0650c  1.095238        0
57449.558557 19.569016 NaN  -18.0  18.0   c  0.0   0.89 210.89924 54.31835  7296.90  2916.85 3.78 3.62  14.3 -0.427    19.39 21.07 02a57449o0688c -1.000000        0
57449.570520 19.510313 NaN   -6.0  19.0   c  0.0   1.14 210.89924 54.31835  7278.77  2856.18 3.76 3.57  17.5 -0.439    19.39 21.06 02a57449o0709c -0.315789        0
57458.509881 19.454622 NaN  -17.0  20.0   c  0.0   0.89 210.89924 54.31835  8221.37  1564.06 4.32 3.77  15.2 -0.446    19.65 21.70 02a57458o0606c -0.850000   524288
57458.513259 18.738855 NaN   53.0  21.0   c  0.0   0.86 210.89924 54.31835  8507.15  2132.87 4.21 3.90  23.3 -0.426    19.61 21.68 02a57458o0613c  2.523810     4096
57458.536888 19.631075 NaN  -33.0  17.0   c  0.0   1.02 210.89924 54.31835  7380.38  2758.31 4.12 3.83   1.9 -0.403    19.60 21.68 02a57458o0653c -1.941176  4195328
57458.567769 19.569016 NaN  -12.0  18.0   c  0.0   1.07 210.89924 54.31835  3370.95  7832.73 3.85 3.61 -73.1 -0.421    19.64 21.68 02a57458o0708c -0.666667   524288
57488.426551 19.334813 NaN    4.0  21.0   c  0.0   0.85 210.89924 54.31835  8353.69  1636.39 4.32 3.81  19.8 -0.478    19.60 21.59 02a57488o0373c  0.190476   524288
57488.444090 19.115465 NaN   28.0  18.0   c  0.0   1.07 210.89924 54.31835  8641.00  2192.88 4.18 3.80  29.1 -0.461    19.60 21.61 02a57488o0405c  1.555556        0
57488.465855 19.436675 NaN    4.0  19.0   c  0.0   1.06 210.89924 54.31835  7519.28  2839.61 4.06 3.72  15.3 -0.447    19.57 21.56 02a57488o0444c  0.210526   524288
57488.475297 19.631075 NaN  -40.0  17.0   c  0.0   1.18 210.89924 54.31835  3356.99  7824.40 3.99 3.61 -65.1 -0.439    19.55 21.54 02a57488o0460c -2.352941        0
57512.362600 19.510313 NaN  -29.0  19.0   c  0.0   1.25 210.89924 54.31835  9541.07  2703.36 4.66 4.15  38.0 -0.435    19.51 21.58 02a57512o0305c -1.526316        0
57512.371077 19.183773 NaN   11.0  22.0   c  0.0   0.97 210.89924 54.31835  9563.97  2739.66 4.57 4.08  39.3 -0.440    19.53 21.60 02a57512o0322c  0.500000   524288
57512.373986 19.454622 NaN  -28.0  20.0   c  0.0   0.92 210.89924 54.31835   357.65  2625.25 5.07 3.82 -34.2 -0.412    19.58 21.60 02a57512o0328c -1.400000   524288
57512.383392 19.318728 NaN   11.0  19.0   c  0.0   1.00 210.89924 54.31835   377.50  2662.42 5.11 3.92 -34.0 -0.413    19.54 21.60 02a57512o0347c  0.578947        0
57512.386899 19.510313 NaN   -8.0  19.0   c  0.0   1.03 210.89924 54.31835   999.60  7905.03 4.45 3.82 -58.4 -0.429    19.55 21.63 02a57512o0354c -0.421053   524288
57512.388945 19.454622 NaN  -28.0  20.0   c  0.0   1.05 210.89924 54.31835   311.63  2585.95 5.17 3.88 -31.5 -0.404    19.57 21.61 02a57512o0358c -1.400000   524288
57512.397027 19.510313 NaN  -14.0  19.0   c  0.0   1.01 210.89924 54.31835  1030.07  7785.80 4.38 3.76 -57.8 -0.429    19.55 21.60 02a57512o0374c -0.736842   524288
57512.407432 19.569016 NaN  -16.0  18.0   c  0.0   0.93 210.89924 54.31835 10220.47  7853.18 4.61 3.71  81.1 -0.426    19.54 21.62 02a57512o0395c -0.888889        0
57512.416849 19.454622 NaN  -28.0  20.0   c  0.0   0.84 210.89924 54.31835  3631.20  8659.10 4.14 3.80 -61.9 -0.410    19.52 21.58 02a57512o0414c -1.400000        0
57515.371866 19.256669 NaN    0.0  24.0   c  0.0   0.78 210.89924 54.31835  1973.83   511.26 5.35 3.74 -16.1 -0.483    19.58 21.68 02a57515o0321c  0.000000        0
57515.372987 19.089302 NaN    3.0  27.0   c  0.0   0.95 210.89924 54.31835  7371.27   255.67 5.30 3.91  10.2 -0.491    19.61 21.70 02a57515o0323c  0.111111   524288
57515.374441 18.990530 NaN   32.0  20.0   c  0.0   1.05 210.89924 54.31835  8541.09 10089.02 4.30 3.86  75.5 -0.415    19.60 21.66 02a57515o0326c  1.600000   524288
57515.383262 19.510313 NaN   -4.0  19.0   c  0.0   0.94 210.89924 54.31835  3119.70 10272.09 4.24 3.95 -48.3 -0.399    19.61 21.73 02a57515o0344c -0.210526        0
57515.385734 19.510313 NaN   -2.0  19.0   c  0.0   1.03 210.89924 54.31835  8469.53 10009.49 4.16 3.76  74.6 -0.422    19.61 21.65 02a57515o0348c -0.105263        0
57515.386824 19.212347 NaN   18.0  19.0   c  0.0   0.95 210.89924 54.31835  3171.77 10356.58 4.28 3.97 -54.2 -0.401    19.61 21.70 02a57515o0350c  0.947368        0
57515.400161 19.510313 NaN  -14.0  19.0   c  0.0   1.02 210.89924 54.31835  3206.26 10236.36 4.17 3.92 -48.3 -0.390    19.61 21.69 02a57515o0376c -0.736842   524288
57515.402098 19.302877 NaN  -15.0  23.0   c  0.0   0.96 210.89924 54.31835  2055.52   437.07 5.16 3.65 -15.9 -0.485    19.58 21.64 02a57515o0380c -0.652174   524288
57515.409082 19.256669 NaN   -9.0  24.0   c  0.0   0.79 210.89924 54.31835  2006.79   499.72 5.24 3.65 -14.9 -0.479    19.58 21.61 02a57515o0393c -0.375000        0
57515.410533 19.226921 NaN   20.0  18.0   c  0.0   1.09 210.89924 54.31835  3165.33 10300.04 4.12 3.91 -42.4 -0.391    19.61 21.65 02a57515o0396c  1.111111        0
57545.329395 19.026525 NaN   32.0  19.0   c  0.0   1.08 210.89924 54.31835  1134.61  8163.58 4.40 3.94 -56.1 -0.415    19.59 21.73 02a57545o0190c  1.684211        0
57545.338129 18.757738 NaN   51.0  21.0   c  0.0   1.00 210.89924 54.31835  1121.72  8126.24 4.40 3.93 -61.1 -0.432    19.58 21.75 02a57545o0208c  2.428571   524288
57545.345896 19.510313 NaN  -13.0  19.0   c  0.0   0.97 210.89924 54.31835 10332.86  8247.23 4.55 3.64  80.2 -0.430    19.64 21.77 02a57545o0224c -0.684211        0
57545.355107 19.367717 NaN   17.0  16.0   c  0.0   1.38 210.89924 54.31835  1180.15  8202.05 4.15 3.77 -57.0 -0.430    19.62 21.73 02a57545o0243c  1.062500  4194560
