         MJD         m       dm     uJy    duJy   F  err   chi/N        RA      Dec        x        y  maj  min   phi  apfit  mag5sig   Sky            Obs   __tmp_SN     Mask
57233.262703 18.286218      NaN    -3.0    58.0   o  0.0    1.20 210.89924 54.31835  2842.50  8530.42 3.57 3.45 -65.9 -0.436    18.44 19.38 02a57233o0013o   0.034483     8192
57233.282702 17.829663      NaN    83.0    60.0   o  0.0    1.05 210.89924 54.31835  2828.24  8539.06 3.53 3.35 -63.5 -0.453    18.41 19.29 02a57233o0029o   1.466667   532480
57365.645360 18.403357      NaN    57.0    32.0   o  0.0    0.84 210.89924 54.31835  7579.03  2238.24 4.38 3.89   4.5 -0.435    18.89 20.47 02a57365o0696o   1.937500     8192
57365.663252 18.459772      NaN   -28.0    50.0   o  0.0    1.36 210.89924 54.31835  7323.29  1668.42 4.14 3.57   3.4 -0.484    18.19 18.98 02a57365o0723o  -0.460000     8192
57386.594331 18.598565      NaN    31.0    32.0   o  0.0    0.99 210.89924 54.31835  7576.82  2234.54 3.86 3.33  10.7 -0.516    18.84 20.09 02a57386o0639o   1.125000        0
57386.602983 18.729535      NaN    16.0    32.0   o  0.0    1.08 210.89924 54.31835  7306.41  1659.67 4.12 3.41   6.0 -0.512    18.83 20.09 02a57386o0653o   0.656250        0
57386.614803 18.675237      NaN    19.0    33.0   o  0.0    0.99 210.89924 54.31835  8139.05  2803.50 3.84 3.55  21.4 -0.476    18.88 20.21 02a57386o0669o   0.727273        0
57386.624437 18.816441      NaN   -12.0    36.0   o  0.0    0.93 210.89924 54.31835  8421.76  1040.46 4.34 3.39  13.2 -0.526    18.93 20.24 02a57386o0683o  -0.194444   524288
57387.583683 18.796518      NaN    21.0    28.0   o  0.0    1.01 210.89924 54.31835  7579.75  2232.47 3.69 3.44   6.6 -0.483    18.92 19.99 02a57387o0634o   0.928571   524288
57387.591656 19.051202      NaN   -23.0    29.0   o  0.0    1.00 210.89924 54.31835  7309.43  1656.20 3.91 3.43   2.2 -0.498    18.95 20.02 02a57387o0647o  -0.620690   524288
57387.605357 18.867907      NaN    -4.0    34.0   o  0.0    1.21 210.89924 54.31835  8140.20  2799.15 3.58 3.45  28.0 -0.476    18.97 20.08 02a57387o0661o   0.029412        0
57387.612122 18.542463      NaN    26.0    36.0   o  0.0    1.19 210.89924 54.31835  8423.00  1034.88 4.03 3.42   9.8 -0.516    19.01 20.11 02a57387o0672o   0.861111        0
57409.597826 18.226218 0.338563   181.0    58.0   o  0.0    0.83 210.89924 54.31835  8159.22  1652.87 3.88 3.50  12.2 -0.489    18.59 19.61 02a57409o0642o   3.206897  4194560
57409.623123 18.649074      NaN   -51.0    42.0   o  0.0    1.23 210.89924 54.31835  8447.45  2237.06 3.54 3.41  31.7 -0.506    18.69 19.72 02a57409o0679o  -1.095238        0
57409.630689 18.978793      NaN   -25.0    31.0   o  0.0    1.38 210.89924 54.31835  7615.25  1096.32 3.82 3.36   4.9 -0.513    18.73 19.78 02a57409o0690o  -0.645161        0
57409.635100 19.089302      NaN   -42.0    28.0   o  0.0    1.13 210.89924 54.31835  7307.02  2860.93 3.50 3.41  24.1 -0.458    18.75 19.82 02a57409o0697o  -1.321429        0
57414.610678 19.014394      NaN    -8.0    30.0   o  0.0    1.32 210.89924 54.31835  8085.86  1920.25 3.87 3.44  11.6 -0.492    18.77 19.88 02a57414o0661o  -0.100000        0
57414.627553 18.944322      NaN   -62.0    32.0   o  0.0    1.00 210.89924 54.31835  8373.41  2499.60 3.68 3.48  23.4 -0.478    18.77 19.88 02a57414o0687o  -1.781250        0
57414.645156 19.089302      NaN   -73.0    28.0   o  0.0    1.10 210.89924 54.31835  7240.53  3120.32 3.52 3.40  20.0 -0.458    18.78 19.88 02a57414o0714o  -2.428571   524288
57414.661382 19.038793      NaN    -1.0    28.0   o  0.0    1.37 210.89924 54.31835  7313.11  2871.95 3.55 3.35  18.1 -0.469    18.77 19.85 02a57414o0740o   0.142857        0
57418.601312 18.921935      NaN    15.0    26.0   o  0.0    0.95 210.89924 54.31835  8254.93  1942.33 3.77 3.48  14.5 -0.480    19.19 20.72 02a57418o0642o   0.769231   524288
57418.622559 18.921935      NaN    21.0    24.0   o  0.0    1.12 210.89924 54.31835  8535.19  2519.26 3.76 3.63  36.9 -0.450    19.14 20.72 02a57418o0674o   1.083333   524288
57418.640915 19.102305      NaN    15.0    21.0   o  0.0    0.99 210.89924 54.31835  7420.02  3143.32 3.56 3.48  24.6 -0.437    19.18 20.73 02a57418o0701o   0.952381        0
