         MJD         m       dm    uJy  duJy   F  err  chi/N        RA      Dec        x        y  maj  min   phi  apfit  mag5sig   Sky            Obs  __tmp_SN     Mask
57396.587948 19.510313      NaN  -25.0  19.0   c  0.0   0.85 210.89573 54.31529  7733.22  2250.15 4.00 3.60   7.7 -0.428    19.59 21.57 02a57396o0607c -1.526316   524288
57396.598947 19.510313      NaN    0.0  19.0   c  0.0   1.10 210.89573 54.31529  7446.89  1677.11 4.10 3.60   5.0 -0.444    19.60 21.58 02a57396o0625c -0.210526   524288
57396.614233 18.615142      NaN   32.0  34.0   c  0.0   1.08 210.89573 54.31529  8260.39  2821.29 3.80 3.60  19.8 -0.419    19.60 21.56 02a57396o0650c  0.823529   524288
57396.627717 18.336727      NaN   46.0  42.0   c  0.0   1.21 210.89573 54.31529  8522.77  1060.01 4.33 3.66  11.0 -0.431    19.59 21.57 02a57396o0672c  1.000000   524288
57424.598946 19.510313      NaN  -10.0  19.0   c  0.0   0.96 210.89573 54.31529  8231.68  1576.11 4.32 3.76  10.1 -0.440    19.70 21.79 02a57424o0633c -0.736842        0
57424.604067 19.051202      NaN   37.0  18.0   c  0.0   0.97 210.89573 54.31529  8495.61  2146.24 4.25 3.83  15.0 -0.423    19.68 21.79 02a57424o0641c  1.833333        0
57424.621336 19.569016      NaN  -11.0  18.0   c  0.0   0.84 210.89573 54.31529  7340.48  2763.58 4.02 3.71   9.6 -0.415    19.70 21.79 02a57424o0667c -0.833333   524288
57424.633626 19.051202      NaN   34.0  19.0   c  0.0   0.80 210.89573 54.31529  7263.44  2857.40 3.97 3.67  11.2 -0.418    19.70 21.79 02a57424o0685c  1.578947        0
57448.521048 19.256669      NaN   -8.0  24.0   c  0.0   0.91 210.89573 54.31529  7898.35  1766.95 4.00 3.65  14.7 -0.450    19.26 20.81 02a57448o0458c -0.500000        0
57448.543577 19.401649      NaN  -10.0  21.0   c  0.0   1.19 210.89573 54.31529  8190.28  2347.31 3.94 3.73  22.6 -0.440    19.21 20.77 02a57448o0497c -0.666667   524288
57448.565924 19.302877      NaN   -1.0  23.0   c  0.0   1.07 210.89573 54.31529  7049.69  2969.25 4.38 3.91  -1.3 -0.388    19.09 20.75 02a57448o0536c -0.217391        0
57448.596475 19.401649      NaN  -30.0  21.0   c  0.0   1.37 210.89573 54.31529  3378.49  7828.79 3.87 3.61 -70.5 -0.422    19.20 20.80 02a57448o0592c -1.619048        0
57449.515332 18.967180      NaN   32.0  22.0   c  0.0   0.90 210.89573 54.31529  8135.05  1717.63 4.04 3.63  15.2 -0.462    19.45 21.19 02a57449o0610c  1.272727        0
57449.538360 19.002397      NaN   38.0  19.0   c  0.0   1.06 210.89573 54.31529  8433.38  2295.53 3.82 3.59  29.9 -0.456    19.42 21.11 02a57449o0650c  1.789474        0
