         MJD         m       dm     uJy    duJy   F  err    chi/N        RA      Dec        x        y  maj  min   phi  apfit  mag5sig   Sky            Obs   __tmp_SN     Mask
57233.262703 18.208845      NaN    -9.0    63.0   o  0.0     0.95 210.89573 54.31529  2846.33  8524.33 3.57 3.45 -66.0 -0.436    18.44 19.38 02a57233o0013o  -0.126984     8192
57233.282702 18.261819      NaN   -22.0    60.0   o  0.0     1.13 210.89573 54.31529  2832.07  8532.97 3.53 3.35 -63.5 -0.453    18.41 19.29 02a57233o0029o  -0.350000   532480
57365.645360 19.014394      NaN    -1.0    30.0   o  0.0     1.08 210.89573 54.31529  7575.20  2244.31 4.38 3.89   4.4 -0.435    18.89 20.47 02a57365o0696o   0.000000     8192
57365.663252 18.574166      NaN   -84.0    45.0   o  0.0     1.56 210.89573 54.31529  7319.44  1674.49 4.14 3.57   3.4 -0.484    18.19 18.98 02a57365o0723o  -1.844444     8192
57386.594331 18.944322      NaN   -79.0    32.0   o  0.0     1.00 210.89573 54.31529  7572.99  2240.61 3.86 3.33  10.7 -0.516    18.84 20.09 02a57386o0639o  -2.437500        0
57386.602983 18.836735      NaN     9.0    32.0   o  0.0     1.04 210.89573 54.31529  7302.56  1665.74 4.12 3.41   6.0 -0.512    18.83 20.09 02a57386o0653o   0.312500        0
57386.614803 18.910912      NaN   -29.0    33.0   o  0.0     0.94 210.89573 54.31529  8135.25  2809.59 3.84 3.55  21.5 -0.476    18.88 20.21 02a57386o0669o  -0.848485        0
57386.624437 18.944322      NaN    -8.0    32.0   o  0.0     1.26 210.89573 54.31529  8417.95  1046.62 4.34 3.39  13.2 -0.526    18.93 20.24 02a57386o0683o  -0.218750   524288
57387.583683 18.748255      NaN    36.0    26.0   o  0.0     1.12 210.89573 54.31529  7575.92  2238.54 3.69 3.44   6.6 -0.483    18.92 19.99 02a57387o0634o   1.423077   524288
57387.591656 19.089302      NaN   -23.0    28.0   o  0.0     1.11 210.89573 54.31529  7305.58  1662.27 3.91 3.43   2.1 -0.498    18.95 20.02 02a57387o0647o  -0.785714   524288
57387.605357 18.720295      NaN    15.0    34.0   o  0.0     1.19 210.89573 54.31529  8136.41  2805.24 3.58 3.45  28.1 -0.475    18.97 20.08 02a57387o0661o   0.470588        0
57387.612122 18.693037      NaN     6.0    38.0   o  0.0     1.04 210.89573 54.31529  8419.19  1041.04 4.02 3.42   9.8 -0.516    19.01 20.11 02a57387o0672o   0.184211        0
57409.597826 18.280067      NaN  -132.0    59.0   o  0.0     0.82 210.89573 54.31529  8155.40  1658.99 3.88 3.50  12.2 -0.489    18.59 19.61 02a57409o0642o  -2.220339  4194560
57409.623123 18.649074      NaN   -56.0    42.0   o  0.0     1.18 210.89573 54.31529  8443.66  2243.18 3.54 3.41  31.9 -0.505    18.69 19.72 02a57409o0679o  -1.309524        0
57409.630689 18.806434      NaN     6.0    34.0   o  0.0     1.15 210.89573 54.31529  7611.40  1102.42 3.82 3.36   4.9 -0.513    18.73 19.78 02a57409o0690o   0.205882        0
