         MJD         m       dm     uJy    duJy   F  err    chi/N        RA      Dec        x        y  maj  min   phi  apfit  mag5sig   Sky            Obs   __tmp_SN    Mask
57233.262703 18.158337      NaN    25.0    58.0   o  0.0     1.21 210.89449 54.31167  2847.56  8517.24 3.57 3.45 -66.1 -0.436    18.44 19.38 02a57233o0013o   0.413793    8192
57233.282702 18.261819      NaN   -59.0    60.0   o  0.0     1.35 210.89449 54.31167  2833.30  8525.87 3.53 3.35 -63.6 -0.453    18.41 19.29 02a57233o0029o  -1.000000    True
57365.645360 18.910912      NaN   -11.0    33.0   o  0.0     0.86 210.89449 54.31167  7573.96  2251.39 4.37 3.89   4.4 -0.435    18.89 20.47 02a57365o0696o  -0.363636    8192
57365.663252 18.431198      NaN    11.0    48.0   o  0.0     1.60 210.89449 54.31167  7318.18  1681.58 4.14 3.57   3.4 -0.484    18.19 18.98 02a57365o0723o   0.208333    8192
57386.594331 18.978793      NaN   -26.0    31.0   o  0.0     1.06 210.89449 54.31167  7571.76  2247.69 3.85 3.33  10.7 -0.515    18.84 20.09 02a57386o0639o  -0.870968   False
57386.602983 18.944322      NaN   -31.0    32.0   o  0.0     1.00 210.89449 54.31167  7301.30  1672.83 4.12 3.41   6.0 -0.512    18.83 20.09 02a57386o0653o  -1.000000   False
57386.614803 18.729535      NaN    19.0    33.0   o  0.0     0.91 210.89449 54.31167  8134.07  2816.67 3.84 3.55  21.6 -0.476    18.88 20.21 02a57386o0669o   0.545455   False
57386.624437 18.816441      NaN   -14.0    36.0   o  0.0     0.85 210.89449 54.31167  8416.76  1053.77 4.33 3.39  13.2 -0.527    18.93 20.24 02a57386o0683o  -0.416667    True
57387.583683 19.128787      NaN   -39.0    27.0   o  0.0     1.23 210.89449 54.31167  7574.69  2245.63 3.69 3.44   6.6 -0.483    18.92 19.99 02a57387o0634o  -1.481481    True
57387.591656 19.063754      NaN     3.0    28.0   o  0.0     1.23 210.89449 54.31167  7304.32  1669.36 3.91 3.43   2.1 -0.498    18.95 20.02 02a57387o0647o   0.071429    True
57387.605357 18.826541      NaN    15.0    31.0   o  0.0     1.40 210.89449 54.31167  8135.22  2812.32 3.58 3.45  28.4 -0.475    18.97 20.08 02a57387o0661o   0.451613    8192
57387.612122 18.174913      NaN    82.0    38.0   o  0.0     1.01 210.89449 54.31167  8418.00  1048.18 4.02 3.42   9.8 -0.516    19.01 20.11 02a57387o0672o   2.131579    8192
57409.597826 18.298627      NaN   -94.0    58.0   o  0.0     1.05 210.89449 54.31167  8154.20  1666.11 3.87 3.50  12.3 -0.489    18.59 19.61 02a57409o0642o  -1.637931    True
57409.623123 18.534680      NaN     3.0    46.0   o  0.0     0.81 210.89449 54.31167  8442.48  2250.28 3.53 3.41  32.2 -0.505    18.69 19.72 02a57409o0679o   0.043478   False
57409.630689 18.878500      NaN   -59.0    34.0   o  0.0     1.10 210.89449 54.31167  7610.15  1109.54 3.82 3.36   4.9 -0.512    18.73 19.78 02a57409o0690o  -1.764706   False
57409.635100 19.089302      NaN   -28.0    28.0   o  0.0     1.22 210.89449 54.31167  7301.91  2874.03 3.50 3.41  24.7 -0.458    18.75 19.82 02a57409o0697o  -1.035714   False
57414.610678 18.878500      NaN   -89.0    34.0   o  0.0     1.03 210.89449 54.31167  8080.84  1933.46 3.87 3.44  11.7 -0.492    18.77 19.88 02a57414o0661o  -2.647059   False
57414.627553 18.910912      NaN   -26.0    33.0   o  0.0     1.05 210.89449 54.31167  8368.44  2512.80 3.68 3.48  23.6 -0.478    18.77 19.88 02a57414o0687o  -0.818182   False
