         MJD         m       dm      uJy    duJy   F  err  chi/N        RA      Dec        x        y  maj  min   phi  apfit  mag5sig   Sky            Obs   __tmp_SN    Mask
57233.262703 18.104842      NaN     21.5    62.0   o  0.0   0.99 210.89573 54.30806  2845.97  8510.25 3.57 3.45 -66.2 -0.436    18.44 19.38 02a57233o0013o   0.354839    8192
57233.282702 18.280067      NaN     -8.5    59.0   o  0.0   1.29 210.89573 54.30806  2831.71  8518.88 3.53 3.35 -63.7 -0.453    18.41 19.29 02a57233o0029o  -0.135593    True
57365.645360 18.857417      NaN     13.5    30.0   o  0.0   1.06 210.89573 54.30806  7575.54  2258.37 4.37 3.89   4.5 -0.435    18.89 20.47 02a57365o0696o   0.466667    8192
57365.663252 18.000411      NaN     72.5    52.0   o  0.0   1.43 210.89573 54.30806  7319.73  1688.58 4.13 3.57   3.4 -0.483    18.19 18.98 02a57365o0723o   1.403846    8192
57386.594331 18.867907      NaN      6.5    32.0   o  0.0   0.82 210.89573 54.30806  7573.34  2254.67 3.85 3.33  10.7 -0.515    18.84 20.09 02a57386o0639o   0.218750   False
57386.602983 18.921935      NaN     10.5    29.0   o  0.0   1.20 210.89573 54.30806  7302.85  1679.83 4.12 3.41   6.0 -0.512    18.83 20.09 02a57386o0653o   0.379310   False
57386.614803 18.910912      NaN    -58.5    33.0   o  0.0   0.97 210.89573 54.30806  8135.69  2823.63 3.84 3.55  21.7 -0.476    18.88 20.21 02a57386o0669o  -1.757576   False
57386.624437 18.481707      NaN     38.5    36.0   o  0.0   0.79 210.89573 54.30806  8418.39  1060.77 4.33 3.39  13.3 -0.527    18.93 20.24 02a57386o0683o   1.083333    True
57387.583683 18.921935      NaN     16.5    27.0   o  0.0   1.25 210.89573 54.30806  7576.26  2252.61 3.69 3.44   6.7 -0.483    18.92 19.99 02a57387o0634o   0.629630    True
57387.591656 19.014394      NaN      5.5    28.0   o  0.0   1.11 210.89573 54.30806  7305.87  1676.36 3.91 3.43   2.1 -0.498    18.95 20.02 02a57387o0647o   0.214286    True
57387.605357 18.757738      NaN    -50.5    38.0   o  0.0   0.79 210.89573 54.30806  8136.85  2819.28 3.58 3.45  28.8 -0.475    18.97 20.08 02a57387o0661o  -1.315789    8192
57387.612122 18.666446      NaN     12.5    37.0   o  0.0   1.07 210.89573 54.30806  8419.64  1055.19 4.02 3.42   9.9 -0.516    19.01 20.11 02a57387o0672o   0.351351    8192
57409.597826 18.191747      NaN    -52.5    64.0   o  0.0   0.88 210.89573 54.30806  8155.81  1673.10 3.87 3.50  12.4 -0.489    18.59 19.61 02a57409o0642o  -0.812500    True
57409.623123 18.343209      NaN     28.5    46.0   o  0.0   0.88 210.89573 54.30806  8444.13  2257.25 3.53 3.41  32.6 -0.505    18.69 19.72 02a57409o0679o   0.630435   False
57409.630689 18.910912      NaN      5.5    31.0   o  0.0   1.24 210.89573 54.30806  7611.71  1116.56 3.82 3.36   4.9 -0.512    18.73 19.78 02a57409o0690o   0.193548   False
57409.635100 19.014394      NaN    -41.5    30.0   o  0.0   1.04 210.89573 54.30806  7303.46  2881.00 3.50 3.41  25.1 -0.458    18.75 19.82 02a57409o0697o  -1.366667   False
57414.610678 18.944322      NaN     -7.5    32.0   o  0.0   1.00 210.89573 54.30806  8082.45  1940.44 3.86 3.44  11.7 -0.492    18.77 19.88 02a57414o0661o  -0.218750   False
57414.627553 18.978793      NaN    -53.5    31.0   o  0.0   1.07 210.89573 54.30806  8370.07  2519.77 3.68 3.48  23.8 -0.478    18.77 19.88 02a57414o0687o  -1.709677   False
57414.645156 19.051202      NaN    -26.5    29.0   o  0.0   1.23 210.89573 54.30806  7236.96  3140.37 3.51 3.40  20.6 -0.458    18.78 19.88 02a57414o0714o  -0.896552   False
57414.661382 18.933071      NaN     15.5    27.0   o  0.0   1.17 210.89573 54.30806  7309.55  2892.01 3.54 3.35  18.5 -0.468    18.77 19.85 02a57414o0740o   0.592593   False
57418.601312 19.302877      NaN    -29.5    23.0   o  0.0   1.03 210.89573 54.30806  8251.55  1962.53 3.77 3.48  14.7 -0.479    19.19 20.72 02a57418o0642o  -1.260870    True
57418.622559 19.212347      NaN      5.5    23.0   o  0.0   1.18 210.89573 54.30806  8531.89  2539.44 3.76 3.63  37.8 -0.450    19.14 20.72 02a57418o0674o   0.260870    True
57418.640915 19.115465      NaN     18.5    21.0   o  0.0   1.16 210.89573 54.30806  7416.49  3163.38 3.55 3.48  25.6 -0.436    19.18 20.73 02a57418o0701o   0.904762    8192
57418.657638 19.351140      NaN     -2.5    22.0   o  0.0   1.25 210.89573 54.30806  7319.66  2898.02 3.90 3.75  18.6 -0.420    19.06 20.63 02a57418o0727o  -0.090909    True
57419.602717 19.115465      NaN     12.5    23.0   o  0.0   1.13 210.89573 54.30806  7946.71  1406.72 4.12 3.58   7.1 -0.478    19.30 21.02 02a57419o0615o   0.565217    True
57419.622718 19.367717      NaN      1.5    21.0   o  0.0   1.12 210.89573 54.30806  8227.81  1989.89 3.84 3.51  15.7 -0.479    19.33 21.02 02a57419o0644o   0.095238    8192
57419.638318 19.401649      NaN    -10.5    21.0   o  0.0   1.12 210.89573 54.30806  7104.07  2605.43 3.78 3.54   9.9 -0.445    19.30 21.20 02a57419o0668o  -0.476190    8192
