         MJD         m  dm    uJy  duJy   F  err  chi/N        RA      Dec        x        y  maj  min   phi  apfit  mag5sig   Sky            Obs  __tmp_SN    Mask
57396.587948 19.256669 NaN   21.0  18.0   c  0.0   1.25 210.89924 54.30499  7737.72  2270.06 3.99 3.60   7.8 -0.427    19.59 21.57 02a57396o0607c  1.000000 8388609
57396.598947 19.631075 NaN   -7.0  17.0   c  0.0   1.11 210.89924 54.30499  7451.31  1697.07 4.10 3.60   5.0 -0.444    19.60 21.58 02a57396o0625c -0.588235 8388609
57396.614233 18.590371 NaN   31.0  35.0   c  0.0   1.06 210.89924 54.30499  8265.02  2841.14 3.80 3.60  20.3 -0.418    19.60 21.56 02a57396o0650c  0.800000 8388609
57396.627717 18.261819 NaN   60.0  41.0   c  0.0   1.08 210.89924 54.30499  8527.42  1079.99 4.32 3.66  11.1 -0.431    19.59 21.57 02a57396o0672c  1.390244 8388609
57424.598946 19.510313 NaN  -15.0  19.0   c  0.0   1.03 210.89924 54.30499  8236.26  1596.05 4.32 3.76  10.2 -0.439    19.70 21.79 02a57424o0633c -0.947368    True
57424.604067 19.002397 NaN   34.0  20.0   c  0.0   0.84 210.89924 54.30499  8500.27  2166.13 4.25 3.83  15.1 -0.423    19.68 21.79 02a57424o0641c  1.550000    8192
57424.621336 19.696897 NaN  -59.0  16.0   c  0.0   1.20 210.89924 54.30499  7344.88  2783.47 4.01 3.71   9.8 -0.415    19.70 21.79 02a57424o0667c -3.875000    True
57424.633626 19.631075 NaN  -18.0  17.0   c  0.0   0.91 210.89924 54.30499  7267.81  2877.29 3.96 3.67  11.3 -0.417    19.70 21.79 02a57424o0685c -1.235294    8192
57448.521048 18.944322 NaN   27.0  24.0   c  0.0   0.95 210.89924 54.30499  7902.87  1786.89 3.99 3.65  14.9 -0.450    19.26 20.81 02a57448o0458c  1.000000   False
57448.543577 19.256669 NaN    6.0  23.0   c  0.0   0.95 210.89924 54.30499  8194.87  2367.20 3.94 3.73  23.1 -0.439    19.21 20.77 02a57448o0497c  0.130435    True
57448.565924 19.128787 NaN   18.0  22.0   c  0.0   1.09 210.89924 54.30499  7054.02  2989.14 4.37 3.91  -1.3 -0.388    19.09 20.75 02a57448o0536c  0.681818   False
57448.596475 19.401649 NaN   -9.0  21.0   c  0.0   1.15 210.89924 54.30499  3374.10  7808.88 3.87 3.61 -70.5 -0.422    19.20 20.80 02a57448o0592c -0.571429   False
57449.515332 19.454622 NaN  -12.0  20.0   c  0.0   1.02 210.89924 54.30499  8139.62  1737.57 4.04 3.63  15.4 -0.461    19.45 21.19 02a57449o0610c -0.750000   False
57449.538360 19.491430 NaN    7.0  18.0   c  0.0   1.13 210.89924 54.30499  8438.03  2315.42 3.82 3.59  30.5 -0.456    19.42 21.11 02a57449o0650c  0.222222   False
57449.558557 19.089302 NaN   21.0  22.0   c  0.0   0.77 210.89924 54.30499  7297.44  2942.77 3.78 3.62  14.8 -0.427    19.39 21.07 02a57449o0688c  0.818182   False
57449.570520 19.510313 NaN  -27.0  19.0   c  0.0   1.05 210.89924 54.30499  7279.30  2882.11 3.75 3.57  18.0 -0.439    19.39 21.06 02a57449o0709c -1.578947   False
57458.509881 19.351140 NaN   12.0  19.0   c  0.0   0.94 210.89924 54.30499  8222.14  1590.13 4.31 3.77  15.3 -0.446    19.65 21.70 02a57458o0606c  0.473684    True
57458.513259 19.454622 NaN  -11.0  20.0   c  0.0   0.86 210.89924 54.30499  8508.03  2158.89 4.20 3.90  23.7 -0.426    19.61 21.68 02a57458o0613c -0.700000    8192
57458.536888 19.569016 NaN   -5.0  18.0   c  0.0   1.02 210.89924 54.30499  7380.94  2784.25 4.12 3.83   1.9 -0.402    19.60 21.68 02a57458o0653c -0.444444    True
57458.567769 19.569016 NaN  -14.0  18.0   c  0.0   0.90 210.89924 54.30499  3370.41  7806.79 3.85 3.61 -73.0 -0.421    19.64 21.68 02a57458o0708c -0.944444    True
57488.426551 19.063754 NaN   32.0  19.0   c  0.0   1.05 210.89924 54.30499  8354.51  1662.45 4.31 3.81  20.0 -0.477    19.60 21.59 02a57488o0373c  1.526316   False
57488.444090 19.169763 NaN   21.0  20.0   c  0.0   0.86 210.89924 54.30499  8641.92  2218.90 4.17 3.80  29.6 -0.460    19.60 21.61 02a57488o0405c  0.900000   False
57488.465855 19.510313 NaN    1.0  19.0   c  0.0   0.88 210.89924 54.30499  7519.89  2865.54 4.05 3.72  15.5 -0.446    19.57 21.56 02a57488o0444c -0.105263    True
57488.475297 19.076453 NaN   31.0  19.0   c  0.0   0.94 210.89924 54.30499  3356.44  7798.45 3.98 3.61 -65.1 -0.439    19.55 21.54 02a57488o0460c  1.473684   False
57512.362600 19.014394 NaN   30.0  21.0   c  0.0   0.98 210.89924 54.30499  9542.29  2729.35 4.66 4.15  38.4 -0.435    19.51 21.58 02a57512o0305c  1.285714   False
57512.371077 19.401649 NaN  -13.0  21.0   c  0.0   1.06 210.89924 54.30499  9565.19  2765.65 4.57 4.07  39.8 -0.440    19.53 21.60 02a57512o0322c -0.761905    True
57512.373986 19.454622 NaN    1.0  20.0   c  0.0   1.02 210.89924 54.30499   356.14  2651.27 5.07 3.82 -34.3 -0.412    19.58 21.60 02a57512o0328c -0.100000    True
57512.383392 19.454622 NaN  -14.0  20.0   c  0.0   0.86 210.89924 54.30499   375.99  2688.43 5.10 3.92 -34.1 -0.413    19.54 21.60 02a57512o0347c -0.850000   False
57512.386899 19.155932 NaN   28.0  18.0   c  0.0   1.11 210.89924 54.30499   998.36  7879.02 4.45 3.81 -58.4 -0.429    19.55 21.63 02a57512o0354c  1.388889    True
57512.388945 19.454622 NaN  -28.0  20.0   c  0.0   0.75 210.89924 54.30499   310.12  2611.97 5.16 3.88 -31.6 -0.403    19.57 21.61 02a57512o0358c -1.550000    True
57512.397027 19.569016 NaN  -20.0  18.0   c  0.0   1.15 210.89924 54.30499  1028.84  7759.80 4.38 3.76 -57.8 -0.429    19.55 21.60 02a57512o0374c -1.277778    True
57512.407432 19.367717 NaN   14.0  18.0   c  0.0   1.03 210.89924 54.30499 10221.94  7827.15 4.60 3.71  81.1 -0.426    19.54 21.62 02a57512o0395c  0.611111   False
57512.416849 19.454622 NaN  -23.0  20.0   c  0.0   0.82 210.89924 54.30499  3630.76  8633.07 4.14 3.80 -62.0 -0.410    19.52 21.58 02a57512o0414c -1.300000   False
57515.371866 19.351140 NaN  -18.0  22.0   c  0.0   0.99 210.89924 54.30499  1972.57   485.01 5.36 3.74 -16.0 -0.483    19.58 21.68 02a57515o0321c -0.954545   False
57515.372987 19.128787 NaN  -20.0  27.0   c  0.0   1.06 210.89924 54.30499  7371.76   281.92 5.28 3.91  10.2 -0.491    19.61 21.70 02a57515o0323c -0.851852    True
57515.374441 19.102305 NaN   32.0  18.0   c  0.0   0.96 210.89924 54.30499  8542.30 10115.31 4.30 3.86  75.3 -0.415    19.60 21.66 02a57515o0326c  1.611111    True
57515.383262 19.318728 NaN   17.0  18.0   c  0.0   0.97 210.89924 54.30499  3119.15 10245.81 4.23 3.94 -48.7 -0.400    19.61 21.73 02a57515o0344c  0.777778   False
57515.385734 19.401649 NaN  -27.0  21.0   c  0.0   0.90 210.89924 54.30499  8470.71 10035.76 4.17 3.76  74.3 -0.422    19.61 21.65 02a57515o0348c -1.428571   False
57515.386824 19.569016 NaN  -23.0  18.0   c  0.0   1.10 210.89924 54.30499  3171.24 10330.29 4.28 3.96 -54.5 -0.403    19.61 21.70 02a57515o0350c -1.444444   False
57515.400161 19.454622 NaN  -14.0  20.0   c  0.0   0.79 210.89924 54.30499  3205.73 10210.09 4.17 3.91 -48.7 -0.391    19.61 21.69 02a57515o0376c -0.850000    True
57515.402098 19.401649 NaN    3.0  21.0   c  0.0   0.93 210.89924 54.30499  2054.30   410.81 5.17 3.65 -15.8 -0.484    19.58 21.64 02a57515o0380c  0.000000    True
57515.409082 19.351140 NaN    9.0  20.0   c  0.0   1.19 210.89924 54.30499  2005.55   473.47 5.25 3.65 -14.9 -0.478    19.58 21.61 02a57515o0393c  0.300000   False
57515.410533 19.128787 NaN   24.0  20.0   c  0.0   0.93 210.89924 54.30499  3164.80 10273.76 4.12 3.91 -42.9 -0.393    19.61 21.65 02a57515o0396c  1.050000   False
57545.329395 19.472870 NaN    8.0  18.0   c  0.0   1.06 210.89924 54.30499  1133.43  8137.55 4.40 3.94 -56.1 -0.416    19.59 21.73 02a57545o0190c  0.277778   False
57545.338129 19.401649 NaN    0.0  21.0   c  0.0   0.86 210.89924 54.30499  1120.54  8100.21 4.40 3.93 -61.1 -0.432    19.58 21.75 02a57545o0208c -0.142857    True
57545.345896 19.631075 NaN  -17.0  17.0   c  0.0   1.15 210.89924 54.30499 10334.35  8221.16 4.55 3.63  80.2 -0.431    19.64 21.77 02a57545o0224c -1.176471   False
57545.355107 19.631075 NaN  -23.0  17.0   c  0.0   1.12 210.89924 54.30499  1179.00  8176.02 4.15 3.77 -57.1 -0.430    19.62 21.73 02a57545o0243c -1.529412    True
57545.356559 19.226921 NaN   26.0  17.0   c  0.0   1.30 210.89924 54.30499 10322.47  8183.48 4.65 3.62  82.6 -0.426    19.64 21.79 02a57545o0246c  1.352941   False
57545.358980 19.569016 NaN  -46.0  18.0   c  0.0   0.86 210.89924 54.30499 10379.54  8265.51 4.64 3.65  81.3 -0.435    19.64 21.79 02a57545o0251c -2.722222    True
57545.361400 19.155932 NaN   22.0  20.0   c  0.0   0.90 210.89924 54.30499  1191.91  8058.75 4.39 3.92 -58.1 -0.425    19.56 21.74 02a57545o0256c  0.950000   False
57545.371093 19.351140 NaN  -13.0  22.0   c  0.0   0.88 210.89924 54.30499  1159.26  8119.41 4.36 3.89 -56.8 -0.427    19.46 21.59 02a57545o0276c -0.727273    True
57545.380784 19.351140 NaN  -33.0  22.0   c  0.0   1.20 210.89924 54.30499 10392.21  8152.85 4.68 3.68  80.3 -0.421    19.41 21.51 02a57545o0296c -1.636364   False
57545.390661 19.401649 NaN    6.0  20.0   c  0.0   0.97 210.89924 54.30499 10354.65  8212.67 4.89 3.82  79.3 -0.420    19.52 21.66 02a57545o0315c  0.150000   False
57549.332077 19.454622 NaN  -11.0  20.0   c  0.0   1.22 210.89924 54.30499  2421.71  9663.04 4.08 3.84 -55.4 -0.425    19.44 21.31 02a57549o0078c -0.700000   False
57549.342782 19.051202 NaN   24.0  22.0   c  0.0   0.86 210.89924 54.30499  2411.55  9623.26 4.16 3.87 -54.0 -0.417    19.44 21.33 02a57549o0100c  0.954545   False
57549.359807 19.454622 NaN  -45.0  20.0   c  0.0   0.92 210.89924 54.30499  2467.91  9698.67 4.11 3.83 -48.6 -0.420    19.46 21.36 02a57549o0135c -2.400000    True
57549.367069 19.089302 NaN   21.0  22.0   c  0.0   0.85 210.89924 54.30499  2480.56  9581.89 4.12 3.84 -53.9 -0.424    19.47 21.39 02a57549o0150c  0.818182    True
