         MJD         m       dm     uJy    duJy   F  err  chi/N        RA      Dec        x        y  maj  min   phi  apfit  mag5sig   Sky            Obs  __tmp_SN    Mask
57233.262703 18.043943      NaN    16.0    67.0   o  0.0   0.89 210.89924 54.30499  2841.84  8504.40 3.57 3.45 -66.3 -0.436    18.44 19.38 02a57233o0013o  0.283582    8192
57233.282702 18.039019      NaN    26.0    64.0   o  0.0   1.03 210.89924 54.30499  2827.58  8513.03 3.53 3.35 -63.7 -0.453    18.41 19.29 02a57233o0029o  0.453125    True
57365.645360 19.014394      NaN   -26.0    30.0   o  0.0   1.07 210.89924 54.30499  7579.66  2264.22 4.37 3.89   4.5 -0.435    18.89 20.47 02a57365o0696o -0.766667    8192
57365.663252 18.089294      NaN    64.0    48.0   o  0.0   1.27 210.89924 54.30499  7323.83  1694.46 4.13 3.57   3.5 -0.483    18.19 18.98 02a57365o0723o  1.395833    8192
57386.594331 19.128787      NaN   -35.0    27.0   o  0.0   1.26 210.89924 54.30499  7577.46  2260.52 3.85 3.33  10.8 -0.515    18.84 20.09 02a57386o0639o -1.185185   False
57386.602983 18.910912      NaN   -16.0    33.0   o  0.0   0.88 210.89924 54.30499  7306.96  1685.71 4.11 3.41   6.1 -0.512    18.83 20.09 02a57386o0653o -0.393939   False
57386.614803 18.598565      NaN    30.0    33.0   o  0.0   1.07 210.89924 54.30499  8139.86  2829.44 3.83 3.55  21.9 -0.476    18.88 20.21 02a57386o0669o  1.000000   False
57386.624437 18.376212      NaN    60.0    33.0   o  0.0   1.23 210.89924 54.30499  8422.58  1066.61 4.33 3.39  13.3 -0.527    18.93 20.24 02a57386o0683o  1.909091    True
57387.583683 18.574166      NaN    42.0    30.0   o  0.0   0.80 210.89924 54.30499  7580.39  2258.46 3.69 3.44   6.8 -0.483    18.92 19.99 02a57387o0634o  1.500000    True
57387.591656 19.089302      NaN   -24.0    28.0   o  0.0   1.15 210.89924 54.30499  7309.97  1682.24 3.91 3.43   2.2 -0.498    18.95 20.02 02a57387o0647o -0.750000    True
57387.605357 18.582238      NaN    11.0    40.0   o  0.0   0.76 210.89924 54.30499  8141.02  2825.10 3.58 3.45  29.1 -0.475    18.97 20.08 02a57387o0661o  0.350000    8192
57387.612122 18.786693      NaN   -39.0    37.0   o  0.0   1.01 210.89924 54.30499  8423.82  1061.02 4.02 3.42   9.9 -0.516    19.01 20.11 02a57387o0672o -0.972973    8192
57409.597826 18.104842      NaN    43.0    54.0   o  0.0   1.09 210.89924 54.30499  8159.98  1678.93 3.87 3.50  12.4 -0.488    18.59 19.61 02a57409o0642o  0.851852    True
57409.623123 18.174913      NaN    60.0    44.0   o  0.0   1.00 210.89924 54.30499  8448.31  2263.06 3.53 3.41  33.0 -0.505    18.69 19.72 02a57409o0679o  1.431818   False
57409.630689 18.757738      NaN     9.0    34.0   o  0.0   1.15 210.89924 54.30499  7615.83  1122.44 3.81 3.36   5.0 -0.512    18.73 19.78 02a57409o0690o  0.352941   False
57409.635100 18.889197      NaN    11.0    29.0   o  0.0   1.20 210.89924 54.30499  7307.56  2886.86 3.50 3.41  25.5 -0.458    18.75 19.82 02a57409o0697o  0.482759   False
57414.610678 18.910912      NaN    -3.0    33.0   o  0.0   1.09 210.89924 54.30499  8086.61  1946.28 3.86 3.44  11.8 -0.492    18.77 19.88 02a57414o0661o  0.000000   False
57414.627553 18.323878      NaN    59.0    36.0   o  0.0   0.81 210.89924 54.30499  8374.25  2525.58 3.68 3.48  24.0 -0.478    18.77 19.88 02a57414o0687o  1.722222   False
57414.645156 18.816441      NaN    21.0    28.0   o  0.0   1.15 210.89924 54.30499  7241.05  3146.23 3.51 3.40  21.0 -0.458    18.78 19.88 02a57414o0714o  0.857143   False
57414.661382 18.836735      NaN    13.0    30.0   o  0.0   1.07 210.89924 54.30499  7313.65  2897.87 3.54 3.36  18.7 -0.468    18.77 19.85 02a57414o0740o  0.533333   False
57418.601312 19.102305      NaN     8.0    24.0   o  0.0   1.00 210.89924 54.30499  8255.72  1968.36 3.77 3.48  14.8 -0.479    19.19 20.72 02a57418o0642o  0.458333    True
57418.622559 19.169763      NaN    -7.0    26.0   o  0.0   1.02 210.89924 54.30499  8536.08  2545.24 3.76 3.63  38.2 -0.449    19.14 20.72 02a57418o0674o -0.153846    True
57418.640915 19.510313      NaN   -22.0    19.0   o  0.0   1.45 210.89924 54.30499  7420.59  3169.23 3.55 3.48  26.2 -0.436    19.18 20.73 02a57418o0701o -1.000000    8192
57418.657638 19.302877      NaN   -23.0    23.0   o  0.0   1.21 210.89924 54.30499  7323.76  2903.88 3.90 3.75  18.8 -0.420    19.06 20.63 02a57418o0727o -0.869565    True
57419.602717 19.256669      NaN   -26.0    24.0   o  0.0   0.97 210.89924 54.30499  7950.86  1412.58 4.12 3.58   7.1 -0.478    19.30 21.02 02a57419o0615o -0.958333    True
57419.622718 18.944322      NaN    27.0    22.0   o  0.0   1.08 210.89924 54.30499  8231.98  1995.72 3.83 3.51  15.8 -0.479    19.33 21.02 02a57419o0644o  1.363636    8192
57419.638318 19.401649      NaN    -5.0    21.0   o  0.0   1.02 210.89924 54.30499  7108.15  2611.31 3.78 3.54  10.0 -0.445    19.30 21.20 02a57419o0668o -0.095238    8192
57419.655984 19.401649      NaN    -4.0    21.0   o  0.0   1.11 210.89924 54.30499  7326.86  2900.34 3.78 3.61  14.2 -0.433    19.30 21.01 02a57419o0695o -0.047619    True
57440.518111 18.280067      NaN    -4.0    59.0   o  0.0   0.85 210.89924 54.30499  8331.88  1397.25 4.29 3.46  13.2 -0.539    18.27 18.98 02a57440o0547o -0.016949    True
57440.529939 17.935984      NaN    81.0    53.0   o  0.0   1.00 210.89924 54.30499  8617.95  1974.41 3.98 3.44  21.7 -0.545    18.27 18.97 02a57440o0569o  1.584906   False
57440.551953 18.255804      NaN    34.0    48.0   o  0.0   0.96 210.89924 54.30499  7486.80  2606.66 3.88 3.45  12.6 -0.498    18.29 19.00 02a57440o0611o  0.770833   False
57440.562821 18.317510      NaN    24.0    48.0   o  0.0   0.99 210.89924 54.30499  7275.19  2887.58 3.77 3.43  11.4 -0.495    18.30 19.02 02a57440o0632o  0.562500   False
57441.518643 18.459772      NaN   -19.0    50.0   o  0.0   1.21 210.89924 54.30499  8113.64  1796.87 3.98 3.40  14.9 -0.533    18.23 18.89 02a57441o0557o -0.320000   False
57441.526896 18.136622      NaN    37.0    54.0   o  0.0   0.94 210.89924 54.30499  8398.68  2371.61 3.78 3.38  24.8 -0.522    18.25 18.92 02a57441o0573o  0.740741   False
57441.531928 18.120615      NaN    58.0    48.0   o  0.0   0.91 210.89924 54.30499  7274.19  2990.60 3.57 3.38  12.6 -0.491    18.26 18.93 02a57441o0583o  1.270833   False
57441.552276 18.438271      NaN    -8.0    51.0   o  0.0   0.75 210.89924 54.30499  7276.01  2881.51 3.65 3.40  15.6 -0.483    18.27 18.94 02a57441o0622o -0.098039   False
57466.479054 18.757738      NaN   -49.0    38.0   o  0.0   0.97 210.89924 54.30499  8187.31  1482.33 4.58 3.60  16.3 -0.539    18.73 19.97 02a57466o0545o -1.210526    8192
57466.500550 18.757738      NaN    -8.0    38.0   o  0.0   0.89 210.89924 54.30499  8486.14  2056.53 4.14 3.60  26.0 -0.544    18.77 20.03 02a57466o0585o -0.131579    True
57466.521973 19.051202      NaN   -11.0    29.0   o  0.0   1.08 210.89924 54.30499  7371.29  2682.51 3.84 3.39  11.7 -0.514    18.81 20.05 02a57466o0625o -0.275862    True
57466.532670 18.558199      NaN    44.0    30.0   o  0.0   1.12 210.89924 54.30499  7276.91  2880.35 3.84 3.43   9.8 -0.514    18.82 20.07 02a57466o0647o  1.566667    8192
57470.480982 16.359507      NaN   183.0   284.0   o  0.0   1.66 210.89924 54.30499  7266.47  2874.31 3.94 3.64  10.6 -0.488    16.46 16.46 02a57470o0553o  0.654930 8388609
57474.485989 18.702047      NaN   -21.0    40.0   o  0.0   1.02 210.89924 54.30499  8141.75  1708.87 4.24 3.41  13.4 -0.525    18.71 19.95 02a57474o0492o -0.450000    True
57474.506959 18.417189      NaN    36.0    39.0   o  0.0   0.93 210.89924 54.30499  2205.80  8407.75 4.02 3.43 -65.6 -0.490    18.70 19.95 02a57474o0529o  1.000000    8192
57474.528572 18.944322      NaN   -44.0    32.0   o  0.0   0.89 210.89924 54.30499  3320.61  7787.32 3.70 3.22 -71.3 -0.492    18.72 19.91 02a57474o0566o -1.281250    8192
57474.543901 19.014394      NaN   -43.0    30.0   o  0.0   1.14 210.89924 54.30499  3344.87  7812.13 3.81 3.25 -70.0 -0.508    18.69 19.92 02a57474o0592o -1.333333    True
57492.402356 18.878500      NaN    21.0    26.0   o  0.0   1.23 210.89924 54.30499  8202.15  1769.48 4.08 3.65  24.4 -0.504    19.02 20.45 02a57492o0382o  0.923077   False
57492.415099 19.212347      NaN   -11.0    25.0   o  0.0   1.25 210.89924 54.30499  8487.34  2338.14 3.81 3.54  35.8 -0.501    19.10 20.55 02a57492o0405o -0.320000   False
57492.430506 19.212347      NaN   -32.0    25.0   o  0.0   0.81 210.89924 54.30499  7349.17  2966.18 3.67 3.53  31.0 -0.475    19.11 20.59 02a57492o0433o -1.160000    True
57492.449596 19.454622      NaN    -5.0    20.0   o  0.0   1.36 210.89924 54.30499  7271.22  2871.11 3.74 3.58  19.6 -0.458    19.13 20.66 02a57492o0472o -0.100000   False
57523.355574 18.786693      NaN    12.0    32.0   o  0.0   0.99 210.89924 54.30499  6155.49  1399.50 4.31 3.45   1.6 -0.534    18.86 20.17 02a57523o0219o  0.468750    True
57523.364398 18.933071      NaN    10.0    28.0   o  0.0   1.28 210.89924 54.30499  4324.70  9099.29 3.88 3.60 -78.7 -0.470    18.84 20.22 02a57523o0237o  0.464286   False
57523.381095 18.711133      NaN    29.0    29.0   o  0.0   1.09 210.89924 54.30499  4387.88  9181.39 3.84 3.58 -75.9 -0.463    18.84 20.19 02a57523o0271o  1.103448   False
57523.387699 19.089302      NaN    -4.0    28.0   o  0.0   1.20 210.89924 54.30499  4412.38  9066.62 3.94 3.65 -75.6 -0.455    18.81 20.18 02a57523o0284o -0.035714   False
57523.409491 18.431198      NaN    46.0    35.0   o  0.0   0.76 210.89924 54.30499  4369.53  9126.86 3.83 3.53 -77.8 -0.473    18.80 20.13 02a57523o0325o  1.400000   False
57527.358027 18.459772      NaN    18.0    43.0   o  0.0   0.91 210.89924 54.30499  2675.80  9373.34 4.15 3.76 -55.3 -0.471    18.46 19.51 02a57527o0104o  0.488372    True
57527.369297 18.526952      NaN    -8.0    47.0   o  0.0   1.12 210.89924 54.30499  2661.48  9337.74 4.31 3.88 -46.8 -0.459    18.41 19.50 02a57527o0126o -0.106383    8192
57527.371716 18.623526      NaN   -49.0    43.0   o  0.0   1.18 210.89924 54.30499  2720.18  9416.82 4.05 3.65 -57.1 -0.481    18.46 19.48 02a57527o0131o -1.069767    8192
57527.394983 18.574166      NaN   -92.0    45.0   o  0.0   0.90 210.89924 54.30499  2741.29  9301.76 4.32 3.86 -63.4 -0.462    18.38 19.45 02a57527o0177o -1.977778    True
57527.405379 18.511660      NaN    11.0    43.0   o  0.0   1.32 210.89924 54.30499  2710.66  9361.19 4.33 3.85 -61.4 -0.456    18.37 19.43 02a57527o0198o  0.325581    True
57535.336981 15.866206      NaN  -559.0   545.0   o  0.0   1.16 210.89924 54.30499  2465.18  8193.65 3.91 3.44 -66.4 -0.479    15.47 16.84 02a57535o0225o -1.020183    True
57535.346198 17.323930      NaN    46.0   126.0   o  0.0   1.06 210.89924 54.30499  2453.50  8152.72 3.83 3.37 -66.1 -0.485    17.61 19.09 02a57535o0244o  0.388889    True
57535.363162 18.009935      NaN    47.0    59.0   o  0.0   0.95 210.89924 54.30499  2512.98  8227.97 3.85 3.44 -67.3 -0.476    18.26 19.82 02a57535o0278o  0.847458    True
57535.369944 18.847027      NaN    -3.0    35.0   o  0.0   0.79 210.89924 54.30499  2527.02  8111.07 3.84 3.44 -66.0 -0.460    18.86 20.44 02a57535o0292o  0.000000    8192
57535.380630 19.169763      NaN   -14.0    26.0   o  0.0   0.96 210.89924 54.30499  2492.68  8177.88 3.84 3.47 -62.6 -0.454    19.07 20.70 02a57535o0313o -0.423077    8192
57568.311481 18.955691      NaN    14.0    26.0   o  0.0   1.11 210.89924 54.30499  2690.37  7868.87 3.89 3.50 -66.0 -0.471    19.04 20.65 02a57568o0155o  0.653846    True
57568.321807 19.256669      NaN   -17.0    24.0   o  0.0   1.06 210.89924 54.30499  2678.61  7826.67 3.77 3.41 -65.8 -0.475    19.08 20.69 02a57568o0176o -0.583333    True
57568.337986 19.351140      NaN   -25.0    22.0   o  0.0   1.38 210.89924 54.30499  2734.53  7901.05 3.85 3.46 -62.7 -0.470    19.09 20.74 02a57568o0209o -1.000000    True
57568.343307 19.401649      NaN   -31.0    21.0   o  0.0   1.30 210.89924 54.30499  2746.14  7783.07 3.78 3.37 -67.0 -0.460    19.12 20.79 02a57568o0220o -1.333333    8192
57568.356106 19.256669      NaN   -30.0    24.0   o  0.0   1.03 210.89924 54.30499  2713.03  7842.84 3.76 3.39 -64.5 -0.463    19.13 20.81 02a57568o0246o -1.125000    True
57589.280444 18.174913      NaN     6.0    62.0   o  0.0   1.08 210.89924 54.30499  2892.57  9824.53 3.77 3.57 -44.2 -0.497    18.28 19.15 02a57589o0116o  0.145161    8192
57589.288075       NaN      NaN     NaN     NaN NaN  NaN    NaN       NaN      NaN      NaN      NaN  NaN  NaN   NaN    NaN      NaN   NaN            NaN       NaN    8192
57589.293601 18.063866      NaN   -25.0    72.0   o  0.0   1.37 210.89924 54.30499  2868.44  9784.67 3.80 3.56 -48.4 -0.508    18.19 19.03 02a57589o0142o -0.305556    True
57598.263361 18.900000      NaN    25.0    24.0   o  0.0   1.12 210.89924 54.30499  3948.69  8861.63 4.11 3.89 -68.8 -0.436    19.08 20.79 02a57598o0056o  1.166667    8192
57598.273753 18.921935      NaN    17.0    26.0   o  0.0   0.87 210.89924 54.30499  3924.61  8821.95 4.31 3.97 -67.6 -0.422    19.06 20.87 02a57598o0077o  0.769231    True
57598.286435 19.302877      NaN   -20.0    23.0   o  0.0   1.02 210.89924 54.30499  3979.38  8898.15 4.27 3.91 -69.2 -0.436    19.06 20.87 02a57598o0103o -0.739130    8192
57598.302465 18.566153      NaN    49.0    28.0   o  0.0   1.01 210.89924 54.30499  4002.32  8776.28 4.60 4.18 -71.5 -0.416    18.98 20.86 02a57598o0136o  1.857143    True
57598.311407 18.369531      NaN    70.0    30.0   o  0.0   0.88 210.89924 54.30499  3969.32  8836.55 4.57 4.14 -69.6 -0.450    18.96 20.84 02a57598o0154o  2.433333    True
57613.253769 18.806434      NaN    -2.0    36.0   o  0.0   1.23 210.89924 54.30499  2780.15  8658.08 3.66 3.62  55.8 -0.444    18.68 20.28 02a57613o0050o  0.027778 8388609
57613.267021 18.816441      NaN   -29.0    36.0   o  0.0   1.15 210.89924 54.30499  1663.25  8662.32 3.77 3.73 -75.8 -0.455    18.65 20.29 02a57613o0075o -0.722222 8388609
57613.286519 18.590371      NaN     7.0    41.0   o  0.0   1.05 210.89924 54.30499  1714.91  8734.88 3.80 3.67 -56.2 -0.451    18.59 20.15 02a57613o0111o  0.243902 8388609
57613.295862 18.729535      NaN   -41.0    39.0   o  0.0   1.17 210.89924 54.30499  1737.01  8614.15 3.71 3.55 -53.3 -0.466    18.58 20.10 02a57613o0129o -0.974359 8388609
57613.300693 18.649074      NaN   -33.0    42.0   o  0.0   1.00 210.89924 54.30499  1700.95  8673.86 3.62 3.45 -57.8 -0.469    18.58 20.04 02a57613o0138o -0.714286 8388609
57617.259169 17.433532      NaN    77.0   102.0   o  0.0   0.80 210.89924 54.30499 10282.04  8520.30 4.93 3.21  87.6 -0.483    18.31 19.62 02a57617o0071o  0.784314   False
57617.268637 17.515292      NaN    31.0   108.0   o  0.0   0.83 210.89924 54.30499 10256.41  8478.51 4.96 3.22  87.5 -0.492    18.29 19.58 02a57617o0089o  0.314815   False
57617.277966 17.558604      NaN    71.0    90.0   o  0.0   1.07 210.89924 54.30499  1076.42  8424.27 4.05 3.29 -57.3 -0.517    18.16 19.35 02a57617o0107o  0.822222   False
57617.285399 17.603715      NaN    -8.0   110.0   o  0.0   1.02 210.89924 54.30499 10311.71  8558.89 5.18 3.22  87.7 -0.478    18.23 19.49 02a57617o0121o -0.045455   False
57617.296271 17.574501      NaN   -12.0   113.0   o  0.0   0.98 210.89924 54.30499 10332.59  8441.88 5.23 3.26  86.8 -0.444    18.20 19.42 02a57617o0142o -0.079646   False
57617.300548 17.286444      NaN    70.0   123.0   o  0.0   1.06 210.89924 54.30499 10286.13  8496.55 5.28 3.27  89.6 -0.511    18.18 19.42 02a57617o0150o  0.593496    True
57620.277061 16.416409      NaN   121.0   287.0   o  0.0   0.12 210.89924 54.30499 10476.10  9002.12 4.77 3.43  85.9 -0.513    18.50 19.93 02a57620o0085o  0.432056    True
57620.286887 17.389435      NaN    51.0   116.0   o  0.0   0.42 210.89924 54.30499 10449.28  8962.27 4.92 3.51  85.2 -0.519    18.39 19.81 02a57620o0103o  0.465517    8192
57620.299398 16.598387      NaN    20.0   270.0   o  0.0   0.15 210.89924 54.30499 10504.19  9044.60 5.16 3.64  86.9 -0.503    18.30 19.68 02a57620o0127o  0.085185    True
57762.575567 18.878500      NaN    15.0    28.0   o  0.0   1.12 210.89924 54.30499  6035.96  2454.81 3.59 3.51 -75.8 -0.429    18.96 20.19 02a57762o0748o  0.642857    True
57762.587569 19.115465      NaN    16.0    21.0   o  0.0   1.11 210.89924 54.30499  6056.68  2496.46 3.55 3.41 -81.7 -0.435    19.22 20.65 02a57762o0770o  0.904762    True
57762.598663 19.569016      NaN   -11.0    18.0   o  0.0   0.98 210.89924 54.30499  6001.49  2420.80 3.56 3.44 -76.2 -0.433    19.50 21.20 02a57762o0791o -0.444444    True
57762.609868 19.569016      NaN    -6.0    18.0   o  0.0   1.00 210.89924 54.30499  5976.97  2538.25 3.53 3.41 -83.9 -0.432    19.58 21.35 02a57762o0812o -0.166667    True
57762.621499 19.351140      NaN     6.0    19.0   o  0.0   0.88 210.89924 54.30499  6021.19  2480.49 3.59 3.46 -83.0 -0.429    19.55 21.33 02a57762o0834o  0.473684    8192
57766.588053 18.729535      NaN   -14.0    39.0   o  0.0   1.23 210.89924 54.30499  8255.37  2326.43 3.54 3.21  87.7 -0.478    18.50 19.21 02a57766o0718o -0.282051    8192
57766.600816 18.757738      NaN   -65.0    38.0   o  0.0   0.98 210.89924 54.30499  8266.63  2368.35 3.55 3.17  89.3 -0.478    18.53 19.25 02a57766o0741o -1.631579    True
57766.614587 18.369531      NaN    43.0    39.0   o  0.0   1.15 210.89924 54.30499  8211.56  2294.44 3.55 3.25  85.4 -0.470    18.54 19.28 02a57766o0765o  1.179487    True
57766.628115 18.606822      NaN    17.0    37.0   o  0.0   1.15 210.89924 54.30499  8196.91  2413.58 3.61 3.29  86.7 -0.467    18.55 19.32 02a57766o0789o  0.540541    True
57766.640067 18.311179      NaN    55.0    38.0   o  0.0   1.04 210.89924 54.30499  8232.05  2355.69 3.58 3.27  86.6 -0.475    18.57 19.35 02a57766o0811o  1.526316    8192
57774.572690 18.878500      NaN    42.0    19.0   o  0.0   1.24 210.89924 54.30499  7890.18  3276.16 3.67 3.41  87.4 -0.423    19.28 20.84 02a57774o0747o  2.368421    True
57774.585373 19.367717      NaN    -1.0    21.0   o  0.0   1.03 210.89924 54.30499  7912.57  3315.56 3.62 3.31  87.6 -0.432    19.32 20.87 02a57774o0771o  0.095238    True
57774.598083 19.401649      NaN   -16.0    21.0   o  0.0   0.95 210.89924 54.30499  7857.30  3241.81 3.58 3.29  88.7 -0.439    19.33 20.88 02a57774o0795o -0.619048    8192
57774.610853 19.256669      NaN    12.0    19.0   o  0.0   1.29 210.89924 54.30499  7836.87  3362.92 3.55 3.24  89.9 -0.440    19.34 20.89 02a57774o0819o  0.789474    8192
57774.623493 19.472870      NaN    -1.0    19.0   o  0.0   1.35 210.89924 54.30499  7880.73  3303.86 3.55 3.26  86.6 -0.443    19.35 20.90 02a57774o0843o  0.105263    True
57794.512274 18.504094      NaN   -25.0    48.0   o  0.0   0.97 210.89924 54.30499  9394.94  1064.26 3.62 3.24  83.4 -0.482    18.37 19.00 02a57794o0591o -0.458333   False
57794.523666 18.396507      NaN   -51.0    53.0   o  0.0   0.81 210.89924 54.30499   173.85   979.35 3.98 3.73 -89.6 -0.428    18.35 19.00 02a57794o0611o -0.905660   False
57794.525313 17.922662      NaN    99.0    48.0   o  0.0   1.40 210.89924 54.30499  9405.37  1104.29 3.68 3.32  82.2 -0.491    18.34 19.00 02a57794o0614o  2.125000   False
57794.536683 18.120615      NaN    31.0    57.0   o  0.0   0.99 210.89924 54.30499   196.02  1020.91 3.94 3.66  88.0 -0.442    18.20 18.84 02a57794o0634o  0.596491   False
57794.538476 16.922529      NaN    39.0   192.0   o  0.0   1.15 210.89924 54.30499  9346.38  1030.92 3.60 3.25  85.8 -0.546    16.86 16.79 02a57794o0637o  0.218750    True
57794.542087 17.990970      NaN   -29.0    77.0   o  0.0   0.93 210.89924 54.30499  2510.41   493.15 3.93 3.81 -70.0 -0.668    18.26 19.26 01a57794o0644o -0.337662    True
57794.544733 17.896499      NaN    27.0    74.0   o  0.0   1.06 210.89924 54.30499  3700.16 10285.56 3.45 3.36  -3.2 -0.708    18.31 19.30 01a57794o0649o  0.405405   False
57794.549409 18.298627      NaN     0.0    57.0   o  0.0   1.19 210.89924 54.30499   134.26   937.45 3.95 3.63  89.5 -0.404    18.14 18.77 02a57794o0657o  0.052632    True
57794.551239 17.623637      NaN    48.0    91.0   o  0.0   1.24 210.89924 54.30499  9334.10  1151.81 3.66 3.25  85.7 -0.479    17.67 18.01 02a57794o0660o  0.560440   False
57794.554417 17.981610      NaN     5.0    75.0   o  0.0   1.13 210.89924 54.30499  2483.13   454.63 3.90 3.75 -67.3 -0.671    18.30 19.28 01a57794o0667o  0.106667   False
57794.557073 18.019544      NaN  -130.0    75.0   o  0.0   1.38 210.89924 54.30499  3678.25 10245.84 3.32 3.25  10.2 -0.720    18.36 19.33 01a57794o0672o -1.693333   False
57794.561701 17.352267      NaN   155.0    86.0   o  0.0   1.02 210.89924 54.30499   111.33  1055.59 3.90 3.63  89.5 -0.426    17.83 18.24 02a57794o0680o  1.837209   False
57794.563362 18.034118      NaN   -11.0    74.0   o  0.0   0.88 210.89924 54.30499  9370.05  1093.82 3.63 3.21  86.2 -0.499    17.97 18.32 02a57794o0683o -0.108108   False
57794.566749 18.094452      NaN   -60.0    70.0   o  0.0   1.06 210.89924 54.30499  2549.85   529.51 3.80 3.64 -68.4 -0.651    18.33 19.30 01a57794o0690o -0.814286   False
57794.569493 17.990970      NaN   -26.0    77.0   o  0.0   0.98 210.89924 54.30499  3737.10 10321.02 3.33 3.25   7.2 -0.697    18.38 19.36 01a57794o0695o -0.298701   False
57794.573926 16.275986      NaN   329.0   263.0   o  0.0   1.59 210.89924 54.30499   145.33  1000.31 3.86 3.56  85.9 -0.448    16.48 16.20 02a57794o0703o  1.262357    True
57794.579025 17.976960      NaN   -11.0    78.0   o  0.0   0.98 210.89924 54.30499  2567.25   409.42 3.82 3.68 -69.0 -0.650    18.33 19.32 01a57794o0713o -0.102564    True
57794.581760 18.110074      NaN    -6.0    69.0   o  0.0   1.14 210.89924 54.30499  3760.19 10200.46 3.36 3.25   1.9 -0.684    18.38 19.38 01a57794o0718o -0.043478   False
57794.591341 18.079051      NaN   -72.0    71.0   o  0.0   1.14 210.89924 54.30499  2521.48   468.53 3.83 3.68 -65.9 -0.664    18.36 19.34 01a57794o0736o -0.971831   False
57794.594018 17.990970      NaN   -59.0    77.0   o  0.0   0.71 210.89924 54.30499  3727.34 10258.22 3.43 3.29  -3.0 -0.686    18.38 19.40 01a57794o0741o -0.727273    True
