         MJD         m       dm    uJy  duJy   F  err  chi/N        RA      Dec        x        y  maj  min   phi  apfit  mag5sig   Sky            Obs  __tmp_SN    Mask
57396.587948 19.419021      NaN    2.0  20.0   c  0.0   1.00 210.90449 54.30295  7743.77  2273.84 3.99 3.60   7.9 -0.427    19.59 21.57 02a57396o0607c  0.100000 8388609
57396.598947 19.510313      NaN  -15.0  19.0   c  0.0   0.84 210.90449 54.30295  7457.35  1700.88 4.09 3.60   5.1 -0.444    19.60 21.58 02a57396o0625c -0.789474 8388609
57396.614233 18.757738      NaN  -41.0  38.0   c  0.0   1.01 210.90449 54.30295  8271.11  2844.88 3.80 3.60  20.4 -0.418    19.60 21.56 02a57396o0650c -1.078947 8388609
57396.627717 18.474346      NaN   31.0  39.0   c  0.0   1.20 210.90449 54.30295  8533.53  1083.72 4.32 3.66  11.1 -0.431    19.59 21.57 02a57396o0672c  0.794872 8388609
57424.598946 19.631075      NaN    0.0  17.0   c  0.0   1.30 210.90449 54.30295  8242.35  1599.80 4.31 3.76  10.3 -0.439    19.70 21.79 02a57424o0633c  0.000000    True
57424.604067 19.569016      NaN  -12.0  18.0   c  0.0   0.96 210.90449 54.30295  8506.37  2169.86 4.24 3.83  15.2 -0.423    19.68 21.79 02a57424o0641c -0.666667    8192
57424.621336 19.454622      NaN    3.0  19.0   c  0.0   0.79 210.90449 54.30295  7350.90  2787.28 4.01 3.71   9.8 -0.415    19.70 21.79 02a57424o0667c  0.157895    True
57424.633626 19.696897      NaN  -13.0  16.0   c  0.0   1.07 210.90449 54.30295  7273.84  2881.11 3.96 3.67  11.4 -0.417    19.70 21.79 02a57424o0685c -0.812500    8192
57448.521048 19.351140      NaN  -15.0  22.0   c  0.0   1.00 210.90449 54.30295  7908.94  1790.66 3.99 3.65  15.0 -0.450    19.26 20.81 02a57448o0458c -0.681818   False
57448.543577 19.351140      NaN  -27.0  22.0   c  0.0   1.01 210.90449 54.30295  8200.95  2370.94 3.93 3.73  23.3 -0.439    19.21 20.77 02a57448o0497c -1.227273    True
57448.565924 19.169763      NaN    6.0  24.0   c  0.0   0.98 210.90449 54.30295  7060.03  2992.97 4.37 3.91  -1.2 -0.388    19.09 20.75 02a57448o0536c  0.250000   False
57448.596475 19.271854      NaN   14.0  19.0   c  0.0   1.27 210.90449 54.30295  3368.08  7805.07 3.87 3.61 -70.4 -0.422    19.20 20.80 02a57448o0592c  0.736842   False
57449.515332 19.454622      NaN   -6.0  20.0   c  0.0   1.14 210.90449 54.30295  8145.70  1741.32 4.04 3.63  15.5 -0.461    19.45 21.19 02a57449o0610c -0.300000   False
57449.538360 19.142275      NaN   23.0  19.0   c  0.0   1.07 210.90449 54.30295  8444.13  2319.14 3.82 3.59  30.8 -0.456    19.42 21.11 02a57449o0650c  1.210526   False
57449.558557 19.569016      NaN  -27.0  18.0   c  0.0   0.97 210.90449 54.30295  7303.47  2946.58 3.77 3.62  15.0 -0.427    19.39 21.07 02a57449o0688c -1.500000   False
57449.570520 19.454622      NaN   -4.0  20.0   c  0.0   0.91 210.90449 54.30295  7285.33  2885.92 3.75 3.57  18.2 -0.439    19.39 21.06 02a57449o0709c -0.200000   False
57458.509881 19.631075      NaN  -14.0  17.0   c  0.0   1.14 210.90449 54.30295  8228.23  1593.88 4.31 3.77  15.4 -0.446    19.65 21.70 02a57458o0606c -0.823529    True
57458.513259 19.102305      NaN   23.0  20.0   c  0.0   0.98 210.90449 54.30295  8514.13  2162.61 4.20 3.90  23.8 -0.426    19.61 21.68 02a57458o0613c  1.150000    8192
57458.536888 19.589310      NaN    2.0  17.0   c  0.0   1.08 210.90449 54.30295  7386.98  2788.05 4.11 3.83   1.9 -0.402    19.60 21.68 02a57458o0653c  0.117647    True
57458.567769 19.696897      NaN   -8.0  16.0   c  0.0   1.25 210.90449 54.30295  3364.38  7802.97 3.85 3.61 -73.0 -0.421    19.64 21.68 02a57458o0708c -0.500000    True
57488.426551 19.510313      NaN  -50.0  19.0   c  0.0   0.91 210.90449 54.30295  8360.60  1666.19 4.31 3.81  20.1 -0.477    19.60 21.59 02a57488o0373c -2.631579   False
57488.444090 19.401649      NaN    3.0  20.0   c  0.0   0.88 210.90449 54.30295  8648.03  2222.61 4.17 3.80  29.7 -0.460    19.60 21.61 02a57488o0405c  0.150000   False
57488.465855 19.510313      NaN   -3.0  19.0   c  0.0   0.90 210.90449 54.30295  7525.93  2869.34 4.05 3.72  15.6 -0.446    19.57 21.56 02a57488o0444c -0.157895    True
57488.475297 19.569016      NaN   -3.0  18.0   c  0.0   1.01 210.90449 54.30295  3350.42  7794.64 3.98 3.61 -65.0 -0.439    19.55 21.54 02a57488o0460c -0.166667   False
