         MJD         m       dm     uJy    duJy   F  err  chi/N        RA      Dec        x        y  maj  min   phi  apfit  mag5sig   Sky            Obs   __tmp_SN    Mask
57233.262703 17.944957      NaN    35.0    68.0   o  0.0   0.70 210.90449 54.30295  2835.78  8500.62 3.57 3.45 -66.3 -0.436    18.44 19.38 02a57233o0013o   0.544118    8192
57233.282702 18.261819      NaN   -33.0    60.0   o  0.0   1.25 210.90449 54.30295  2821.52  8509.25 3.53 3.35 -63.7 -0.453    18.41 19.29 02a57233o0029o  -0.516667    True
57365.645360 19.014394      NaN    -6.0    30.0   o  0.0   0.92 210.90449 54.30295  7585.71  2268.01 4.37 3.89   4.5 -0.435    18.89 20.47 02a57365o0696o  -0.133333    8192
57365.663252 17.931525      NaN    92.0    50.0   o  0.0   1.24 210.90449 54.30295  7329.87  1698.27 4.13 3.57   3.5 -0.483    18.19 18.98 02a57365o0723o   1.880000    8192
57386.594331 18.816441      NaN    25.0    27.0   o  0.0   1.35 210.90449 54.30295  7583.51  2264.31 3.85 3.33  10.9 -0.515    18.84 20.09 02a57386o0639o   1.000000   False
57386.602983 18.944322      NaN   -12.0    32.0   o  0.0   1.03 210.90449 54.30295  7312.99  1689.52 4.11 3.41   6.1 -0.512    18.83 20.09 02a57386o0653o  -0.312500   False
57386.614803 18.459772      NaN    58.0    30.0   o  0.0   1.36 210.90449 54.30295  8145.94  2833.19 3.83 3.55  22.0 -0.476    18.88 20.21 02a57386o0669o   2.000000   False
57386.624437 18.748255      NaN    14.0    33.0   o  0.0   1.22 210.90449 54.30295  8428.68  1070.35 4.33 3.39  13.3 -0.526    18.93 20.24 02a57386o0683o   0.484848    True
57387.583683 18.640491      NaN    38.0    29.0   o  0.0   0.89 210.90449 54.30295  7586.43  2262.25 3.69 3.44   6.9 -0.483    18.92 19.99 02a57387o0634o   1.379310    True
57387.591656 18.847027      NaN    22.0    27.0   o  0.0   1.13 210.90449 54.30295  7316.01  1686.06 3.91 3.43   2.2 -0.497    18.95 20.02 02a57387o0647o   0.888889    True
57387.605357 18.631975      NaN    15.0    37.0   o  0.0   0.85 210.90449 54.30295  8147.10  2828.84 3.58 3.45  29.5 -0.475    18.97 20.08 02a57387o0661o   0.459459    8192
57387.612122 18.944322      NaN   -15.0    32.0   o  0.0   1.27 210.90449 54.30295  8429.93  1064.76 4.02 3.42  10.0 -0.516    19.01 20.11 02a57387o0672o  -0.406250    8192
57409.597826 18.068904      NaN    27.0    62.0   o  0.0   0.90 210.90449 54.30295  8166.06  1682.69 3.87 3.50  12.5 -0.488    18.59 19.61 02a57409o0642o   0.467742    True
57409.623123 18.702047      NaN   -80.0    40.0   o  0.0   1.29 210.90449 54.30295  8454.41  2266.79 3.53 3.41  33.3 -0.505    18.69 19.72 02a57409o0679o  -1.950000   False
57409.630689 18.657725      NaN    24.0    33.0   o  0.0   1.12 210.90449 54.30295  7621.88  1126.25 3.81 3.36   5.0 -0.512    18.73 19.78 02a57409o0690o   0.787879   False
57409.635100 18.910912      NaN    16.0    27.0   o  0.0   1.30 210.90449 54.30295  7313.58  2890.67 3.49 3.41  25.9 -0.458    18.75 19.82 02a57409o0697o   0.666667   False
57414.610678 18.757738      NaN    13.0    33.0   o  0.0   1.03 210.90449 54.30295  8092.69  1950.04 3.86 3.44  11.9 -0.492    18.77 19.88 02a57414o0661o   0.454545   False
57414.627553 18.452558      NaN    47.0    34.0   o  0.0   0.90 210.90449 54.30295  8380.35  2529.31 3.68 3.48  24.2 -0.478    18.77 19.88 02a57414o0687o   1.441176   False
57414.645156 19.014394      NaN   -52.0    30.0   o  0.0   0.85 210.90449 54.30295  7247.07  3150.04 3.51 3.40  21.4 -0.458    18.78 19.88 02a57414o0714o  -1.666667   False
57414.661382 19.051202      NaN     1.0    28.0   o  0.0   1.12 210.90449 54.30295  7319.67  2901.69 3.54 3.36  18.8 -0.468    18.77 19.85 02a57414o0740o   0.107143   False
57418.601312 19.026525      NaN    18.0    23.0   o  0.0   1.12 210.90449 54.30295  8261.81  1972.10 3.76 3.48  14.9 -0.479    19.19 20.72 02a57418o0642o   0.869565    True
57418.622559 19.102305      NaN     9.0    24.0   o  0.0   1.23 210.90449 54.30295  8542.18  2548.96 3.76 3.63  38.5 -0.449    19.14 20.72 02a57418o0674o   0.458333    True
57418.640915 19.401649      NaN   -47.0    21.0   o  0.0   1.19 210.90449 54.30295  7426.62  3173.03 3.55 3.48  26.6 -0.436    19.18 20.73 02a57418o0701o  -2.142857    8192
57418.657638 19.142275      NaN     6.0    24.0   o  0.0   1.01 210.90449 54.30295  7329.78  2907.70 3.90 3.75  19.0 -0.420    19.06 20.63 02a57418o0727o   0.333333    True
57419.602717 18.857417      NaN    33.0    23.0   o  0.0   1.15 210.90449 54.30295  7956.93  1416.35 4.12 3.58   7.2 -0.478    19.30 21.02 02a57419o0615o   1.521739    True
