         MJD         m       dm    uJy  duJy F  err  chi/N        RA      Dec        x        y  maj  min   phi  apfit  mag5sig   Sky            Obs  __tmp_SN    Mask
57396.587948 19.102305      NaN   11.0    21 c    0   0.84 210.91068 54.30223  7750.83  2275.02 3.99 3.60   7.9 -0.427    19.59 21.57 02a57396o0607c  0.952381 8388609
57396.598947 19.384550      NaN   -2.0    19 c    0   0.77 210.91068 54.30223  7464.40  1702.08 4.09 3.60   5.1 -0.444    19.60 21.58 02a57396o0625c  0.368421 8388609
57396.614233 18.757738      NaN  -43.0    38 c    0   1.04 210.91068 54.30223  8278.18  2846.01 3.80 3.60  20.6 -0.418    19.60 21.56 02a57396o0650c -0.894737 8388609
57396.627717 18.481707      NaN    9.0    43 c    0   0.88 210.91068 54.30223  8540.63  1084.82 4.32 3.66  11.2 -0.431    19.59 21.57 02a57396o0672c  0.418605 8388609
57424.598946 19.287255      NaN    7.0    18 c    0   1.09 210.91068 54.30223  8249.43  1600.94 4.31 3.76  10.3 -0.439    19.70 21.79 02a57424o0633c  0.888889    True
57424.604067 19.436675      NaN    1.0    17 c    0   1.10 210.91068 54.30223  8513.46  2170.97 4.24 3.83  15.3 -0.423    19.68 21.79 02a57424o0641c  0.588235    8192
57424.621336 19.631075      NaN  -10.0    17 c    0   0.84 210.91068 54.30223  7357.94  2788.50 4.01 3.71   9.9 -0.415    19.70 21.79 02a57424o0667c -0.058824    True
57424.633626 19.014394      NaN   24.0    19 c    0   0.77 210.91068 54.30223  7280.87  2882.34 3.96 3.67  11.5 -0.417    19.70 21.79 02a57424o0685c  1.736842    8192
57448.521048 19.142275      NaN    5.0    22 c    0   1.07 210.91068 54.30223  7916.01  1791.82 3.99 3.65  15.1 -0.449    19.26 20.81 02a57448o0458c  0.636364   False
57448.543577 19.351140      NaN  -32.0    22 c    0   1.03 210.91068 54.30223  8208.03  2372.08 3.93 3.73  23.4 -0.439    19.21 20.77 02a57448o0497c -1.045455    True
57448.565924 19.183773      NaN   -4.0    24 c    0   0.87 210.91068 54.30223  7067.06  2994.22 4.37 3.91  -1.2 -0.388    19.09 20.75 02a57448o0536c  0.208333   False
