         MJD         m       dm      uJy    duJy   F  err  chi/N        RA      Dec        x        y  maj  min   phi  apfit  mag5sig   Sky            Obs  __tmp_SN    Mask
57233.262703 18.163834      NaN     35.5    55.0   o  0.0   1.27 210.91688 54.30295  2821.73  8501.08 3.57 3.45 -66.3 -0.436    18.44 19.38 02a57233o0013o  0.581818    8192
57233.282702 18.063866      NaN     30.5    63.0   o  0.0   1.04 210.91688 54.30295  2807.47  8509.71 3.53 3.35 -63.6 -0.452    18.41 19.29 02a57233o0029o  0.428571    True
57365.645360 19.089302      NaN      6.5    27.0   o  0.0   1.34 210.91688 54.30295  7599.75  2267.59 4.37 3.89   4.6 -0.435    18.89 20.47 02a57365o0696o  0.111111    8192
57365.663252 18.396507      NaN     -0.5    53.0   o  0.0   1.10 210.91688 54.30295  7343.91  1697.90 4.13 3.57   3.6 -0.483    18.19 18.98 02a57365o0723o -0.075472    8192
57386.594331 18.978793      NaN     -1.5    31.0   o  0.0   1.11 210.91688 54.30295  7597.55  2263.89 3.85 3.33  11.0 -0.515    18.84 20.09 02a57386o0639o -0.161290   False
57386.602983 18.847027      NaN    -43.5    35.0   o  0.0   0.83 210.91688 54.30295  7327.03  1689.15 4.11 3.41   6.2 -0.512    18.83 20.09 02a57386o0653o -1.342857   False
57386.614803 19.014394      NaN     -2.5    30.0   o  0.0   0.97 210.91688 54.30295  8160.00  2832.67 3.83 3.55  22.2 -0.476    18.88 20.21 02a57386o0669o -0.200000   False
57386.624437 18.944322      NaN      0.5    32.0   o  0.0   1.00 210.91688 54.30295  8442.80  1069.74 4.33 3.39  13.4 -0.526    18.93 20.24 02a57386o0683o -0.093750    True
57387.583683 18.944322      NaN    -38.5    32.0   o  0.0   0.89 210.91688 54.30295  7600.47  2261.82 3.69 3.44   7.0 -0.483    18.92 19.99 02a57387o0634o -1.312500    True
57387.591656 19.089302      NaN      1.5    28.0   o  0.0   0.97 210.91688 54.30295  7330.05  1685.68 3.90 3.43   2.3 -0.497    18.95 20.02 02a57387o0647o -0.071429    True
57387.605357 18.526952      NaN     27.5    39.0   o  0.0   0.71 210.91688 54.30295  8161.15  2828.32 3.58 3.45  29.8 -0.475    18.97 20.08 02a57387o0661o  0.615385    8192
57387.612122 18.847027      NaN    -57.5    35.0   o  0.0   1.00 210.91688 54.30295  8444.04  1064.15 4.02 3.42  10.0 -0.516    19.01 20.11 02a57387o0672o -1.742857    8192
57409.597826 17.883650      NaN     96.5    54.0   o  0.0   1.25 210.91688 54.30295  8180.14  1682.15 3.87 3.50  12.6 -0.488    18.59 19.61 02a57409o0642o  1.722222    True
57409.623123 18.675237      NaN     -8.5    41.0   o  0.0   1.53 210.91688 54.30295  8468.50  2266.22 3.53 3.41  33.7 -0.505    18.69 19.72 02a57409o0679o -0.292683   False
57409.630689 18.693037      NaN     19.5    35.0   o  0.0   1.05 210.91688 54.30295  7635.96  1125.82 3.81 3.36   5.1 -0.512    18.73 19.78 02a57409o0690o  0.457143   False
57409.635100 18.693037      NaN     37.5    29.0   o  0.0   0.95 210.91688 54.30295  7327.61  2890.32 3.49 3.41  26.4 -0.458    18.75 19.82 02a57409o0697o  1.172414   False
57414.610678 18.836735      NaN      7.5    34.0   o  0.0   0.86 210.91688 54.30295  8106.76  1949.53 3.86 3.44  12.0 -0.492    18.77 19.88 02a57414o0661o  0.117647   False
57414.627553 18.910912      NaN     -3.5    33.0   o  0.0   1.01 210.91688 54.30295  8394.42  2528.76 3.68 3.48  24.5 -0.478    18.77 19.88 02a57414o0687o -0.212121   False
57414.645156 18.857417      NaN     20.5    29.0   o  0.0   0.95 210.91688 54.30295  7261.09  3149.71 3.51 3.40  21.8 -0.458    18.78 19.88 02a57414o0714o  0.586207   False
57414.661382 18.955691      NaN     26.5    24.0   o  0.0   1.52 210.91688 54.30295  7333.70  2901.34 3.54 3.35  19.1 -0.468    18.77 19.85 02a57414o0740o  0.958333   False
57418.601312 18.910912      NaN     30.5    24.0   o  0.0   0.93 210.91688 54.30295  8275.89  1971.56 3.76 3.48  15.0 -0.480    19.19 20.72 02a57418o0642o  1.125000    True
57418.622559 18.978793      NaN     15.5    27.0   o  0.0   0.87 210.91688 54.30295  8556.27  2548.38 3.76 3.63  38.8 -0.449    19.14 20.72 02a57418o0674o  0.444444    True
