         MJD         m       dm  uJy  duJy F  err  chi/N        RA      Dec        x        y  maj  min   phi  apfit  mag5sig   Sky            Obs  __tmp_SN    Mask
57396.587948 19.454622      NaN  -19    20 c    0   0.75 210.92564 54.30806  7767.49  2263.13 3.99 3.60   8.0 -0.427    19.59 21.57 02a57396o0607c -0.950000 8388609
57396.598947 19.419021      NaN    8    18 c    0   1.22 210.92564 54.30806  7481.11  1690.23 4.10 3.60   5.2 -0.444    19.60 21.58 02a57396o0625c  0.444444 8388609
57396.614233 18.816441      NaN    0    36 c    0   1.22 210.92564 54.30806  8294.79  2834.03 3.80 3.60  20.6 -0.418    19.60 21.56 02a57396o0650c  0.000000 8388609
57396.627717 18.068904      NaN   86    43 c    0   1.14 210.92564 54.30806  8557.30  1072.66 4.33 3.66  11.2 -0.431    19.59 21.57 02a57396o0672c  2.000000 8388609
57424.598946 19.454622      NaN    6    18 c    0   1.06 210.92564 54.30806  8266.10  1588.90 4.32 3.76  10.4 -0.440    19.70 21.79 02a57424o0633c  0.333333    True
57424.604067 19.569016      NaN  -10    18 c    0   1.03 210.92564 54.30806  8530.09  2158.90 4.25 3.83  15.4 -0.423    19.68 21.79 02a57424o0641c -0.555556    8192
57424.621336 19.766969      NaN   -8    15 c    0   1.25 210.92564 54.30806  7374.64  2776.76 4.01 3.71  10.0 -0.415    19.70 21.79 02a57424o0667c -0.533333    True
57424.633626 19.569016      NaN    3    17 c    0   0.91 210.92564 54.30806  7297.57  2870.62 3.96 3.67  11.6 -0.418    19.70 21.79 02a57424o0685c  0.176471    8192
57448.521048 18.967180      NaN   28    22 c    0   1.04 210.92564 54.30806  7932.69  1779.87 4.00 3.65  15.2 -0.449    19.26 20.81 02a57448o0458c  1.272727   False
57448.543577 19.401649      NaN  -15    21 c    0   0.96 210.92564 54.30806  8224.67  2360.10 3.94 3.73  23.5 -0.440    19.21 20.77 02a57448o0497c -0.714286    True
57448.565924 19.351140      NaN   -1    22 c    0   1.13 210.92564 54.30806  7083.77  2982.54 4.37 3.91  -1.1 -0.388    19.09 20.75 02a57448o0536c -0.045455   False
57448.596475 19.051202      NaN   27    20 c    0   1.18 210.92564 54.30806  3344.35  7815.60 3.87 3.61 -70.2 -0.421    19.20 20.80 02a57448o0592c  1.350000   False
57449.515332 19.212347      NaN  -10    25 c    0   0.65 210.92564 54.30806  8169.45  1730.45 4.04 3.63  15.7 -0.462    19.45 21.19 02a57449o0610c -0.400000   False
57449.538360 19.569016      NaN  -29    18 c    0   1.10 210.92564 54.30806  8467.84  2308.22 3.82 3.59  31.0 -0.456    19.42 21.11 02a57449o0650c -1.611111   False
57449.558557 18.806434      NaN   52    19 c    0   0.93 210.92564 54.30806  7327.19  2936.07 3.78 3.62  15.4 -0.427    19.39 21.07 02a57449o0688c  2.736842   False
