 MJDbin  Nclip  Ngood  Nexcluded    Mask          MJD           uJy         duJy       stdev       x2         m       dm  __tmp_SN       SNR     SNRsum  SNRsumnorm
57233.5      0      1          1    8192 57233.262703      8.000000    65.000000         NaN      NaN 18.131260      NaN  0.123077  0.123077   0.123009    0.246017
57234.5      0      0          0 8388608          NaN           NaN          NaN         NaN      NaN       NaN      NaN       NaN  0.000000   0.123009    0.233567
57235.5      0      0          0 8388608          NaN           NaN          NaN         NaN      NaN       NaN      NaN       NaN  0.000000   0.122463    0.221377
57236.5      0      0          0 8388608          NaN           NaN          NaN         NaN      NaN       NaN      NaN       NaN  0.000000   0.121379    0.209459
57237.5      0      0          0 8388608          NaN           NaN          NaN         NaN      NaN       NaN      NaN       NaN  0.000000   0.119772    0.197826
57238.5      0      0          0 8388608          NaN           NaN          NaN         NaN      NaN       NaN      NaN       NaN  0.000000   0.117661    0.186487
57239.5      0      0          0 8388608          NaN           NaN          NaN         NaN      NaN       NaN      NaN       NaN  0.000000   0.115075    0.175455
57240.5      0      0          0 8388608          NaN           NaN          NaN         NaN      NaN       NaN      NaN       NaN  0.000000   0.112047    0.164740
57241.5      0      0          0 8388608          NaN           NaN          NaN         NaN      NaN       NaN      NaN       NaN  0.000000   0.108615    0.154352
57242.5      0      0          0 8388608          NaN           NaN          NaN         NaN      NaN       NaN      NaN       NaN  0.000000   0.104821    0.144303
57243.5      0      0          0 8388608          NaN           NaN          NaN         NaN      NaN       NaN      NaN       NaN  0.000000   0.100711    0.134601
57244.5      0      0          0 8388608          NaN           NaN          NaN         NaN      NaN       NaN      NaN       NaN  0.000000   0.096333    0.125256
57245.5      0      0          0 8388608          NaN           NaN          NaN         NaN      NaN       NaN      NaN       NaN  0.000000   0.091737    0.116274
57246.5      0      0          0 8388608          NaN           NaN          NaN         NaN      NaN       NaN      NaN       NaN  0.000000   0.086972    0.107664
57247.5      0      0          0 8388608          NaN           NaN          NaN         NaN      NaN       NaN      NaN       NaN  0.000000   0.082089    0.099430
57248.5      0      0          0 8388608          NaN           NaN          NaN         NaN      NaN       NaN      NaN       NaN  0.000000   0.077137    0.091578
57249.5      0      0          0 8388608          NaN           NaN          NaN         NaN      NaN       NaN      NaN       NaN  0.000000   0.072163    0.084111
57250.5      0      0          0 8388608          NaN           NaN          NaN         NaN      NaN       NaN      NaN       NaN  0.000000   0.067209    0.077030
57251.5      0      0          0 8388608          NaN           NaN          NaN         NaN      NaN       NaN      NaN       NaN  0.000000   0.062318    0.070336
57252.5      0      0          0 8388608          NaN           NaN          NaN         NaN      NaN       NaN      NaN       NaN  0.000000   0.057527    0.064027
57253.5      0      0          0 8388608          NaN           NaN          NaN         NaN      NaN       NaN      NaN       NaN  0.000000   0.052869    0.058102
57254.5      0      0          0 8388608          NaN           NaN          NaN         NaN      NaN       NaN      NaN       NaN  0.000000   0.048372    0.052555
57255.5      0      0          0 8388608          NaN           NaN          NaN         NaN      NaN       NaN      NaN       NaN  0.000000   0.044062    0.047380
57256.5      0      0          0 8388608          NaN           NaN          NaN         NaN      NaN       NaN      NaN       NaN  0.000000   0.039957    0.042570
57257.5      0      0          0 8388608          NaN           NaN          NaN         NaN      NaN       NaN      NaN       NaN  0.000000   0.036075    0.038116
57258.5      0      0          0 8388608          NaN           NaN          NaN         NaN      NaN       NaN      NaN       NaN  0.000000   0.032425    0.034007
57259.5      0      0          0 8388608          NaN           NaN          NaN         NaN      NaN       NaN      NaN       NaN  0.000000   0.029015    0.030232
57260.5      0      0          0 8388608          NaN           NaN          NaN         NaN      NaN       NaN      NaN       NaN  0.000000   0.025849    0.026776
57261.5      0      0          0 8388608          NaN           NaN          NaN         NaN      NaN       NaN      NaN       NaN  0.000000   0.022926    0.023627
57262.5      0      0          0 8388608          NaN           NaN          NaN         NaN      NaN       NaN      NaN       NaN  0.000000   0.020243    0.020768
57263.5      0      0          0 8388608          NaN           NaN          NaN         NaN      NaN       NaN      NaN       NaN  0.000000   0.017795    0.018185
57264.5      0      0          0 8388608          NaN           NaN          NaN         NaN      NaN       NaN      NaN       NaN  0.000000   0.015574    0.015860
57265.5      0      0          0 8388608          NaN           NaN          NaN         NaN      NaN       NaN      NaN       NaN  0.000000   0.013569    0.013778
57266.5      0      0          0 8388608          NaN           NaN          NaN         NaN      NaN       NaN      NaN       NaN  0.000000   0.011770    0.011920
57267.5      0      0          0 8388608          NaN           NaN          NaN         NaN      NaN       NaN      NaN       NaN  0.000000   0.010165    0.010271
57268.5      0      0          0 8388608          NaN           NaN          NaN         NaN      NaN       NaN      NaN       NaN  0.000000   0.008739    0.008814
57269.5      0      0          0 8388608          NaN           NaN          NaN         NaN      NaN       NaN      NaN       NaN  0.000000   0.007480    0.007532
57270.5      0      0          0 8388608          NaN           NaN          NaN         NaN      NaN       NaN      NaN       NaN  0.000000   0.006374    0.006409
57271.5      0      0          0 8388608          NaN           NaN          NaN         NaN      NaN       NaN      NaN       NaN  0.000000   0.005408    0.005431
57272.5      0      0          0 8388608          NaN           NaN          NaN         NaN      NaN       NaN      NaN       NaN  0.000000   0.004567    0.004582
